osmid,oneway,highway,reversed,length,junction,geometry,name,maxspeed,lanes
124654170,True,tertiary,False,8.592,,"LINESTRING (2.1107911 41.5066121, 2.1107325 41.5065485)",,,
124654166,True,tertiary,False,6.862,roundabout,"LINESTRING (2.1107911 41.5066121, 2.1108202 41.5065811, 2.110845 41.5065662)",,,
124654166,True,tertiary,False,18.689999999999998,roundabout,"LINESTRING (2.1109593 41.5067647, 2.1109086 41.5067675, 2.1108548 41.5067552, 2.1108147 41.5067317, 2.1107879 41.5066994, 2.1107828 41.5066883)",,,
124654171,True,tertiary,False,211.87199999999996,,"LINESTRING (2.1109593 41.5067647, 2.1109024 41.5068044, 2.1107841 41.5068887, 2.110464 41.5071151, 2.1103445 41.5072222, 2.110295 41.5072999, 2.1102762 41.5073661, 2.1102816 41.5074385, 2.1103123 41.5074934, 2.1103835 41.507565, 2.1106463 41.5077694, 2.111005 41.5080484, 2.1110587 41.5080902, 2.111199 41.5081993)",Avinguda de la Via de la Plata,30,
124654166,True,tertiary,False,11.268,roundabout,"LINESTRING (2.110845 41.5065662, 2.1108754 41.5065552, 2.1109255 41.5065491, 2.1109754 41.5065562)",,,
124654173,True,tertiary,False,5.689,roundabout,"LINESTRING (2.1132358 41.5098698, 2.1132117 41.509865, 2.1131745 41.5098483)",,,
124654154,True,tertiary,False,24.137,roundabout,"LINESTRING (2.1177225 41.5066471, 2.1176645 41.5066319, 2.1176161 41.5066035, 2.1175825 41.5065649, 2.1175674 41.5065202, 2.1175688 41.5064874)",Placeta de Montjuïc,,
"[464752058, 124655591]",True,residential,False,30.136999999999997,,"LINESTRING (2.1177225 41.5066471, 2.1175229 41.5066804, 2.1174733 41.5067019, 2.1173866 41.5067394)",Avinguda de Burgos,,
124654166,True,tertiary,False,8.654,roundabout,"LINESTRING (2.1107828 41.5066883, 2.1107779 41.5066683, 2.1107823 41.5066304, 2.1107911 41.5066121)",,,
124654147,True,residential,False,323.892,,"LINESTRING (2.111199 41.5081993, 2.111337 41.5081, 2.1115608 41.507939, 2.1121984 41.5074801, 2.1124433 41.5073039, 2.1125318 41.5072336, 2.1126177 41.5071874, 2.1126552 41.5071771, 2.1127196 41.5071593, 2.1127947 41.5071613, 2.1128644 41.5071793, 2.1131726 41.5073857, 2.1135216 41.5076618, 2.1139199 41.5079749, 2.1140403 41.5080681)",Carrer de la Bètica,,
124654171,True,tertiary,False,118.14599999999999,,"LINESTRING (2.111199 41.5081993, 2.1113371 41.5083067, 2.1119941 41.5088177, 2.1120499 41.5088611, 2.112088 41.5088907, 2.1121831 41.5089647)",Avinguda de la Via de la Plata,30,
"[125103056, 124654153, 125103057]",False,residential,False,159.493,,"LINESTRING (2.1134062 41.5096297, 2.1135785 41.5095035, 2.1137369 41.5093874, 2.1138782 41.5092839, 2.1141773 41.5090654, 2.1146298 41.5087349, 2.1147766 41.5086276)",Avinguda de Burgos,50,2
124655590,True,residential,False,13.851,,"LINESTRING (2.1134062 41.5096297, 2.1133821 41.5096699, 2.1133741 41.5097061, 2.1133746 41.5097499)",Avinguda de Burgos,,
124654173,True,tertiary,False,3.608,roundabout,"LINESTRING (2.1131745 41.5098483, 2.1131472 41.5098231)",,,
124654173,True,tertiary,False,5.33,roundabout,"LINESTRING (2.1132065 41.5096925, 2.1132698 41.5096854)",,,
124654166,True,tertiary,False,16.762,roundabout,"LINESTRING (2.1109754 41.5065562, 2.1110137 41.5065724, 2.1110477 41.5066007, 2.1110675 41.5066396, 2.1110675 41.5066777)",,,
"[124654169, 1042052106, 1042052105]",True,tertiary,False,397.03700000000003,,"LINESTRING (2.1109754 41.5065562, 2.1110231 41.5065453, 2.1110714 41.5065272, 2.1111371 41.5065004, 2.1111974 41.506467, 2.1114523 41.5062822, 2.1115609 41.5062132, 2.1117044 41.5061456, 2.1118439 41.5060974, 2.1119498 41.5060746, 2.1120598 41.5060585, 2.1121858 41.5060505, 2.1125196 41.5060288, 2.1125548 41.5060265, 2.1126404 41.5060209, 2.1131676 41.5059867, 2.1142266 41.5059178, 2.1143457 41.5059101, 2.1145158 41.505899, 2.1152504 41.5058512, 2.1155184 41.5058338)",Avinguda del Mediterrani,"['20', '30']",
124654149,True,residential,False,14.684999999999999,roundabout,"LINESTRING (2.1168796 41.5072069, 2.1168509 41.5072222, 2.1168172 41.5072299, 2.1167819 41.5072292, 2.1167488 41.5072201, 2.1167213 41.5072035)",,,
124655595,False,residential,True,103.916,,"LINESTRING (2.1168796 41.5072069, 2.1169998 41.5072998, 2.1177478 41.5078782)",Avinguda de Saragossa,,
124654147,True,residential,False,9.62,,"LINESTRING (2.1111159 41.5082594, 2.111199 41.5081993)",Carrer de la Bètica,,
124654163,True,tertiary,False,224.72,,"LINESTRING (2.1111159 41.5082594, 2.1109736 41.5081491, 2.1106116 41.5078685, 2.1105637 41.5078313, 2.1102938 41.5076221, 2.1102095 41.5075373, 2.1101654 41.5074585, 2.1101638 41.5074366, 2.110158 41.5073593, 2.1101829 41.5072714, 2.1102448 41.5071743, 2.1103782 41.5070547, 2.1106952 41.5068317, 2.1107429 41.5067977, 2.1107669 41.5067676, 2.1107804 41.5067374, 2.1107828 41.5066883)",Avinguda de la Via de la Plata,30,
124654152,True,tertiary,False,9.573,,"LINESTRING (2.1107325 41.5065485, 2.110845 41.5065662)",,,
124654149,True,residential,False,14.986,roundabout,"LINESTRING (2.1167213 41.5072035, 2.116702 41.5071808, 2.1166935 41.5071546, 2.1166969 41.5071277, 2.1167118 41.5071032, 2.1167365 41.5070836)",,,
125103057,False,residential,True,226.51099999999997,,"LINESTRING (2.1167213 41.5072035, 2.1166122 41.5072829, 2.1163231 41.5074934, 2.1162748 41.5075286, 2.1162209 41.5075678, 2.1155782 41.5080357, 2.1154975 41.5080944, 2.1151573 41.5083421, 2.1150866 41.5083918, 2.1149983 41.5084637, 2.1149463 41.5085021, 2.1147766 41.5086276)",Avinguda de Burgos,50,2
124654163,True,tertiary,False,124.33300000000001,,"LINESTRING (2.1131472 41.5098231, 2.113079 41.5097824, 2.1130428 41.5097531, 2.1129547 41.5096848, 2.1129014 41.5096435, 2.112293 41.5091719, 2.1122315 41.5091242, 2.112103 41.5090246)",Avinguda de la Via de la Plata,30,
124654173,True,tertiary,False,17.194,roundabout,"LINESTRING (2.1131472 41.5098231, 2.1131354 41.5098008, 2.1131322 41.5097685, 2.1131447 41.5097362, 2.1131704 41.5097103, 2.1132065 41.5096925)",,,
124665461,False,residential,False,106.55099999999999,,"LINESTRING (2.1156168 41.5092878, 2.1158953 41.5095033, 2.1159087 41.5095414, 2.1158859 41.5095703, 2.1158175 41.5096177, 2.1157693 41.5096337, 2.115725 41.5096225, 2.1155078 41.5094437, 2.1154876 41.5094089, 2.1154876 41.5093848, 2.1155145 41.5093587, 2.1156168 41.5092878)",Carrer de Santander,,
124665461,False,residential,True,106.55099999999999,,"LINESTRING (2.1156168 41.5092878, 2.1155145 41.5093587, 2.1154876 41.5093848, 2.1154876 41.5094089, 2.1155078 41.5094437, 2.115725 41.5096225, 2.1157693 41.5096337, 2.1158175 41.5096177, 2.1158859 41.5095703, 2.1159087 41.5095414, 2.1158953 41.5095033, 2.1156168 41.5092878)",Carrer de Santander,,
124665461,False,residential,True,101.414,,"LINESTRING (2.1156168 41.5092878, 2.1155082 41.5092038, 2.1151124 41.5088976, 2.1149799 41.5087911, 2.1147766 41.5086276)",Carrer de Santander,,
124654154,True,tertiary,False,1.887,roundabout,"LINESTRING (2.1175688 41.5064874, 2.1175735 41.5064708)",Placeta de Montjuïc,,
124654149,True,residential,False,14.917000000000002,roundabout,"LINESTRING (2.1168743 41.5070869, 2.1168971 41.5071076, 2.1169098 41.5071327, 2.116911 41.5071595, 2.1169006 41.5071852, 2.1168796 41.5072069)",,,
124655578,False,residential,False,57.558,,"LINESTRING (2.1168743 41.5070869, 2.1169791 41.5070158, 2.1173866 41.5067394)",Avinguda de Burgos,,
124654173,True,tertiary,False,10.803,roundabout,"LINESTRING (2.1133523 41.5098369, 2.1133194 41.509858, 2.113279 41.5098695, 2.1132358 41.5098698)",,,
125103059,True,tertiary,False,57.594,,"LINESTRING (2.1133523 41.5098369, 2.1133687 41.5098728, 2.1133969 41.5099017, 2.113513 41.5099925, 2.1138071 41.5102226)",Avinguda de la Via de la Plata,,1
124654154,True,tertiary,False,2.741,roundabout,"LINESTRING (2.1177593 41.5063677, 2.117792 41.5063705)",Placeta de Montjuïc,,
124654154,True,tertiary,False,1.863,roundabout,"LINESTRING (2.1179426 41.5065113, 2.1179408 41.506528)",Placeta de Montjuïc,,
124654154,True,tertiary,False,21.665,roundabout,"LINESTRING (2.117792 41.5063705, 2.1178526 41.5063883, 2.1179014 41.5064204, 2.1179326 41.5064632, 2.1179426 41.5065113)",Placeta de Montjuïc,,
124655954,True,residential,False,119.077,,"LINESTRING (2.117792 41.5063705, 2.1178507 41.5063578, 2.1178882 41.5063437, 2.1179365 41.5063156, 2.1180415 41.5062625, 2.1187038 41.5057607, 2.1188422 41.5056558)",Avinguda d'Eivissa,,
124654166,True,tertiary,False,13.921,roundabout,"LINESTRING (2.1110675 41.5066777, 2.1110584 41.5067009, 2.1110309 41.5067329, 2.1109904 41.5067559, 2.1109593 41.5067647)",,,
124654145,True,residential,False,13.068,,"LINESTRING (2.1132698 41.5096854, 2.1133177 41.5096739, 2.1133687 41.5096518, 2.1134062 41.5096297)",Avinguda de Burgos,,
124654173,True,tertiary,False,11.895,roundabout,"LINESTRING (2.1132698 41.5096854, 2.1133111 41.5096945, 2.1133458 41.5097136, 2.1133664 41.5097351, 2.1133746 41.5097499)",,,
124655583,False,residential,True,9.426,,"LINESTRING (2.1121831 41.5089647, 2.112103 41.5090246)",Carrer d'Algarve,,
124654171,True,tertiary,False,119.63499999999998,,"LINESTRING (2.1121831 41.5089647, 2.1123176 41.5090693, 2.1129217 41.5095392, 2.1129832 41.5095871, 2.1130897 41.5096699, 2.1131246 41.509692, 2.1131581 41.5096988, 2.1132065 41.5096925)",Avinguda de la Via de la Plata,30,
124655578,False,residential,True,57.558,,"LINESTRING (2.1173866 41.5067394, 2.1169791 41.5070158, 2.1168743 41.5070869)",Avinguda de Burgos,,
124655585,True,residential,False,32.379999999999995,,"LINESTRING (2.1173866 41.5067394, 2.1174215 41.5067093, 2.1174403 41.5066708, 2.1174652 41.5066086, 2.1174891 41.5065623, 2.1175688 41.5064874)",Avinguda de Burgos,,
124655583,False,residential,False,9.426,,"LINESTRING (2.112103 41.5090246, 2.1121831 41.5089647)",Carrer d'Algarve,,
124654163,True,tertiary,False,118.359,,"LINESTRING (2.112103 41.5090246, 2.1119897 41.5089367, 2.1119589 41.5089129, 2.1112817 41.5083874, 2.1112078 41.5083397, 2.1111159 41.5082594)",Avinguda de la Via de la Plata,30,
124655583,False,residential,True,115.5,,"LINESTRING (2.112103 41.5090246, 2.1119708 41.5091209, 2.1112647 41.5096355, 2.1111089 41.509749)",Carrer d'Algarve,,
1024902866,True,residential,False,87.348,,"LINESTRING (2.1140403 41.5080681, 2.1141888 41.5081809, 2.1146431 41.5085261, 2.1147766 41.5086276)",Carrer de la Bètica,,
124669364,False,residential,True,92.333,,"LINESTRING (2.1101031 41.5093433, 2.1103594 41.5095414, 2.1104629 41.5096244, 2.1108206 41.5099109, 2.1108474 41.509923, 2.1108812 41.509924)",Carrer d'Algarve,,
124654149,True,residential,False,12.362,roundabout,"LINESTRING (2.1167365 41.5070836, 2.1167694 41.5070708, 2.1168062 41.5070669, 2.1168425 41.5070725, 2.1168743 41.5070869)",,,
124655579,True,residential,False,300.811,,"LINESTRING (2.1167365 41.5070836, 2.1166443 41.5070132, 2.1163594 41.5067957, 2.1162762 41.5067495, 2.1162038 41.5067153, 2.1161367 41.5066993, 2.1160563 41.5066973, 2.1159624 41.5067194, 2.1158712 41.5067656, 2.1152699 41.5071934, 2.1150885 41.5073224, 2.1141923 41.5079599, 2.1140403 41.5080681)",Carrer de la Manxa,,
