osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,width,junction,access
22699877,False,B-204,Carretera de la Vila,tertiary,40,False,35.400999999999996,"LINESTRING (2.0206153 41.3155682, 2.0206823 41.3154883, 2.0207093 41.315456, 2.0207416 41.3154174, 2.0208317 41.3152946)",,,,
"[1115991586, 540512677]",False,C-245,Avinguda de la Generalitat,tertiary,30,False,34.861,"LINESTRING (2.0206153 41.3155682, 2.0206685 41.315606, 2.0207117 41.3156423, 2.0207434 41.3156729, 2.0208817 41.3158088)","['2', '4']",12,,
"[1115991584, 1228972046, 1228972039]",False,C-245,Avinguda de la Generalitat,tertiary,30,True,173.747,"LINESTRING (2.0206153 41.3155682, 2.0205711 41.3155288, 2.0205033 41.3154685, 2.0202239 41.3151875, 2.0200147 41.3149775, 2.019523 41.3144894, 2.0193541 41.3143258)",2,,,
97675054,False,,Carrer de Santa Teresa,residential,,True,65.832,"LINESTRING (2.0189989 41.3187462, 2.0196208 41.31911)",,,,
41601834,True,,Rambla Modolell,residential,,False,74.443,"LINESTRING (2.0189989 41.3187462, 2.0185345 41.3191824, 2.0185099 41.3192116, 2.0184878 41.3192472, 2.0184732 41.3192827)",,,,
97675054,False,,Carrer de Santa Teresa,residential,,False,51.657,"LINESTRING (2.0189989 41.3187462, 2.0187659 41.3186153, 2.0185189 41.3184537)",,,,
41601834,True,,Rambla Modolell,residential,,False,100.656,"LINESTRING (2.0203457 41.3175897, 2.0195544 41.3182725)",,,,
97772828,True,,Carrer de Cinto Verdaguer,residential,,False,66.136,"LINESTRING (2.0203457 41.3175897, 2.0209361 41.3179861)",,,,
95277283,True,,Carrer de la Mare de Déu de Sales,residential,30,False,21.956,"LINESTRING (2.0177023 41.3203569, 2.0177795 41.3204189, 2.0178819 41.3205011)",,,,
93516579,True,,,residential,,False,18.005000000000003,"LINESTRING (2.0157305 41.3124274, 2.015766 41.312409, 2.015807 41.3123991, 2.0158502 41.3123987, 2.0158915 41.3124079, 2.0159275 41.3124257)",,,roundabout,
93516579,True,,,residential,,False,19.424,"LINESTRING (2.0157277 41.3125846, 2.0157004 41.3125564, 2.0156863 41.3125231, 2.0156869 41.3124881, 2.0157022 41.3124551, 2.0157305 41.3124274)",,,roundabout,
93917260,False,,Carrer del Doctor Ferran Clua,residential,,False,76.256,"LINESTRING (2.0130071 41.3126997, 2.0135699 41.3121597)",,,,
567558161,True,,,residential,,False,18.412999999999997,"LINESTRING (2.0130071 41.3126997, 2.0130467 41.3127318, 2.0130637 41.3127619, 2.0130667 41.3128069, 2.0130462 41.3128482)",,,roundabout,
