osmid,oneway,ref,name,highway,reversed,length,geometry,junction,bridge,maxspeed,lanes
116504116,False,N-234,Calle Desvío,trunk,False,87.042,"LINESTRING (-1.2944877 40.923448, -1.2944077 40.9236477, -1.2942836 40.9238473, -1.2940876 40.9241684)",,,,
116504116,False,N-234,Calle Desvío,trunk,True,128.909,"LINESTRING (-1.2944877 40.923448, -1.2944919 40.92321, -1.2944483 40.9230099, -1.2943451 40.9227968, -1.2940256 40.9223686)",,,,
116504116,False,N-234,Calle Desvío,trunk,False,21.88,"LINESTRING (-1.2938977 40.9221972, -1.2940256 40.9223686)",,,,
239672557,False,,Calle Cañadilla,residential,True,9.244,"LINESTRING (-1.2938977 40.9221972, -1.2937984 40.922233)",,,,
116504116,False,N-234,Calle Desvío,trunk,True,82.05099999999999,"LINESTRING (-1.2938977 40.9221972, -1.2937197 40.9219049, -1.2936775 40.9217421, -1.2936972 40.9214923)",,,,
116504116,False,N-234,Calle Desvío,trunk,True,33.772,"LINESTRING (-1.2936972 40.9214923, -1.2937928 40.9211973)",,,,
239672570,False,,,residential,True,10.467,"LINESTRING (-1.2936972 40.9214923, -1.293585 40.9214514)",,,,
116504116,False,N-234,Calle Desvío,trunk,False,82.05099999999999,"LINESTRING (-1.2936972 40.9214923, -1.2936775 40.9217421, -1.2937197 40.9219049, -1.2938977 40.9221972)",,,,
116504116,False,N-234,Calle Desvío,trunk,False,46.107,"LINESTRING (-1.2939214 40.9207942, -1.2938511 40.9210147, -1.2937928 40.9211973)",,,,
249842806,True,N-234,Calle Desvío,trunk,False,36.09,"LINESTRING (-1.2939214 40.9207942, -1.2940275 40.9205786, -1.2940986 40.9205008)",,,,
249842805,True,N-234,Calle Desvío,trunk,False,43.107,"LINESTRING (-1.2942245 40.919866, -1.2941106 40.920152, -1.2940681 40.920235)",,,,
603746054,False,N-234,Calle Desvío,trunk,True,53.628,"LINESTRING (-1.2942245 40.919866, -1.2943371 40.9194949, -1.2943693 40.9193963)",,,,
603746054,False,N-234,Calle Desvío,trunk,True,40.069,"LINESTRING (-1.2943693 40.9193963, -1.294507 40.9190513)",,,,
253888245,False,,,residential,False,278.087,"LINESTRING (-1.2943693 40.9193963, -1.2942922 40.9194038, -1.2932073 40.9195099, -1.2931928 40.9192766, -1.293167 40.9188179, -1.2943883 40.9188175)",,,,
603746054,False,N-234,Calle Desvío,trunk,False,53.628,"LINESTRING (-1.2943693 40.9193963, -1.2943371 40.9194949, -1.2942245 40.919866)",,,,
603746054,False,N-234,Calle Desvío,trunk,False,3.065,"LINESTRING (-1.2945175 40.9190249, -1.294507 40.9190513)",,,,
603746054,False,N-234,Calle Desvío,trunk,True,51.814,"LINESTRING (-1.2945175 40.9190249, -1.2947337 40.9185885)",,,,
837927653,False,,Calle Paretera,residential,True,12.553,"LINESTRING (-1.2945175 40.9190249, -1.2944521 40.9189234)",,,,
23080473,False,,Calle Goya,residential,True,10.173,"LINESTRING (-1.295324 40.9174888, -1.2954449 40.9174936)",,,,
603746054,False,N-234,Calle Desvío,trunk,False,62.142,"LINESTRING (-1.295324 40.9174888, -1.2950461 40.9180067)",,,,
603746054,False,N-234,Calle Desvío,trunk,True,246.013,"LINESTRING (-1.295324 40.9174888, -1.2957768 40.916651, -1.2959259 40.916375, -1.2962404 40.9157932, -1.2963561 40.9156159, -1.2964751 40.9154563)",,,,
255410857,False,,Calle Sol,residential,True,9.923,"LINESTRING (-1.2964751 40.9154563, -1.2963614 40.9154322)",,,,
603746054,False,N-234,Calle Desvío,trunk,False,246.01300000000003,"LINESTRING (-1.2964751 40.9154563, -1.2963561 40.9156159, -1.2962404 40.9157932, -1.2959259 40.916375, -1.2957768 40.916651, -1.295324 40.9174888)",,,,
239672564,False,,Calle Escuelas,residential,True,199.009,"LINESTRING (-1.3017644 40.9154268, -1.2993961 40.9154408)",,,,
838095395,False,A-1507,Avenida Aragón,secondary,False,97.77199999999999,"LINESTRING (-1.3017644 40.9154268, -1.3013961 40.9162204, -1.3013781 40.9162562)",,,,
239672560,False,,,residential,False,57.928,"LINESTRING (-1.3006385 40.9169848, -1.3006491 40.9175057)",,,,
23080484,True,,Avenida Aragón,residential,False,47.565,"LINESTRING (-1.3006385 40.9169848, -1.300511 40.9170539, -1.3002341 40.9171697, -1.3001511 40.9172009)",,,,
23080484,True,,Avenida Aragón,residential,False,74.65,"LINESTRING (-1.3001511 40.9172009, -1.2998139 40.9173357, -1.2993606 40.9175072)",,,,
"[239672611, 1063400871]",False,,,residential,False,177.153,"LINESTRING (-1.3001511 40.9172009, -1.3000938 40.9170878, -1.3000677 40.9169742, -1.3000555 40.916899, -1.3000525 40.9167438, -1.3001047 40.9166533, -1.3001614 40.916632, -1.3002997 40.9165861, -1.3003775 40.9165395, -1.3004029 40.9164777, -1.3003788 40.9164351, -1.3003131 40.9164118, -1.3001253 40.9163976, -1.2999979 40.9163936, -1.2998464 40.9163936, -1.299782 40.9163885, -1.2994917 40.9163559)",,,,
23080461,False,,Calle de la Balsa,residential,False,59.549,"LINESTRING (-1.2993606 40.9175072, -1.2995965 40.9180122)",,,,
23080484,True,,Avenida Aragón,residential,False,13.331000000000001,"LINESTRING (-1.2993606 40.9175072, -1.2992673 40.9175206, -1.2992346 40.9175178, -1.2992046 40.9175126)",,,,
"[23080480, 23080461]",False,,"['Plaza España', 'Calle de la Balsa']",residential,"[False, True]",184.952,"LINESTRING (-1.300148 40.9195526, -1.3001445 40.9195024, -1.3002196 40.9193925, -1.3002509 40.9193509, -1.3002595 40.9193224, -1.3002554 40.9192654, -1.3002196 40.9191898, -1.3001284 40.919076, -1.3000613 40.9189932, -1.2999997 40.9189081, -1.2999433 40.9188148, -1.2998655 40.9186791, -1.2998012 40.9185372, -1.2997288 40.9183568, -1.2995965 40.9180122)",,,,
"[23080480, 23080459]",False,,"['Plaza Santa Beatriz de Silva', 'Plaza España']",residential,True,89.23599999999999,"LINESTRING (-1.300148 40.9195526, -1.3001498 40.9195952, -1.3001525 40.9196266, -1.3002826 40.9197203, -1.30043 40.9197637, -1.3006098 40.9198168, -1.3006525 40.9198294, -1.3006911 40.9198435, -1.3007418 40.9198723, -1.3008203 40.9199158, -1.3008905 40.9199594, -1.3009438 40.9200167)",,,,
23080461,False,,Calle de la Balsa,residential,True,59.549,"LINESTRING (-1.2995965 40.9180122, -1.2993606 40.9175072)",,,,
"[23080480, 23080461]",False,,"['Plaza España', 'Calle de la Balsa']",residential,"[False, True]",184.95200000000003,"LINESTRING (-1.2995965 40.9180122, -1.2997288 40.9183568, -1.2998012 40.9185372, -1.2998655 40.9186791, -1.2999433 40.9188148, -1.2999997 40.9189081, -1.3000613 40.9189932, -1.3001284 40.919076, -1.3002196 40.9191898, -1.3002554 40.9192654, -1.3002595 40.9193224, -1.3002509 40.9193509, -1.3002196 40.9193925, -1.3001445 40.9195024, -1.300148 40.9195526)",,,,
