osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,tunnel,width,lanes,access
23855099,CV-746,secondary,40,roundabout,True,False,14.283000000000001,"LINESTRING (0.048246 38.6459435, 0.0482251 38.6459712, 0.0481951 38.6459931, 0.0481583 38.6460075, 0.0481179 38.6460133)",,,,,
37656558,,residential,,,True,False,21.25,"LINESTRING (0.048246 38.6459435, 0.0482522 38.646002, 0.048253 38.6460373, 0.0482594 38.6460684, 0.0482903 38.6461294)",,,,,
23855099,CV-746,secondary,40,roundabout,True,False,5.183,"LINESTRING (0.0481179 38.6460133, 0.0480881 38.6460117, 0.0480594 38.6460054)",,,,,
23855099,CV-746,secondary,40,roundabout,True,False,6.223000000000001,"LINESTRING (0.0479686 38.645906, 0.0479714 38.6458781, 0.0479829 38.6458516)",,,,,
23855099,CV-746,secondary,40,roundabout,True,False,11.617,"LINESTRING (0.0479829 38.6458516, 0.0480083 38.645823, 0.0480437 38.6458018, 0.0480857 38.6457901)",,,,,
97285654,,residential,,,True,False,59.498,"LINESTRING (0.0479829 38.6458516, 0.0478366 38.6455998, 0.047756 38.6454102, 0.0477323 38.6453544)",Málaga,,,,
373085327,CV-746,secondary,,roundabout,True,False,13.059999999999999,"LINESTRING (0.0421691 38.6460642, 0.0421334 38.6460947, 0.0420851 38.6461115, 0.0420405 38.6461116)",,,,,
93229153,,residential,,,False,True,48.533,"LINESTRING (0.0420913 38.6459188, 0.0421039 38.6458687, 0.04211 38.6458496, 0.0422062 38.6455505, 0.0422241 38.6454949)",Carrer del Palmar,,,,
373085327,CV-746,secondary,,roundabout,True,False,9.829,"LINESTRING (0.0420913 38.6459188, 0.0421266 38.645928, 0.04218 38.6459702)",,,,,
92910954,,residential,,,True,False,37.184,"LINESTRING (0.0493 38.6444867, 0.0490752 38.6442021)",Calle Corbeta,,,,
372104498,,residential,,,True,False,78.307,"LINESTRING (0.0493 38.6444867, 0.0493525 38.6445545, 0.0495909 38.6448627, 0.0497346 38.6450478, 0.0497748 38.6450847)",Calle Corbeta,,,,
92910954,,residential,,,True,False,50.706999999999994,"LINESTRING (0.0486731 38.6436663, 0.0484245 38.6433231, 0.0483856 38.6432694)",Calle Corbeta,,,,
93112547,,residential,,,True,False,76.91000000000001,"LINESTRING (0.0486731 38.6436663, 0.0487165 38.6436464, 0.0487578 38.6436275, 0.0489066 38.6435931, 0.048928 38.6435881, 0.0494355 38.6435202, 0.0495291 38.6435077)",Pau,,,,
93236375,,residential,,,True,False,42.065,"LINESTRING (0.0478928 38.642562, 0.0482674 38.6423222)",Avinguda de València,,,,
28371006,,residential,,,True,False,89.549,"LINESTRING (0.0483856 38.6432694, 0.0483414 38.6432059, 0.0479284 38.642613, 0.0478928 38.642562)",Huelva,,,,
