osmid,oneway,lanes,name,highway,reversed,length,geometry,access,junction,maxspeed,tunnel
40224699,True,1,Calle de Estrella de Elola,residential,False,111.957,"LINESTRING (-3.6756332 40.1920555, -3.6749079 40.1921204, -3.6745171 40.1921506, -3.6743223 40.1921436)",,,,
28467507,False,,Calle Marquesa de Villa Antonia,residential,False,98.37700000000001,"LINESTRING (-3.6736081 40.1904057, -3.6732222 40.1905767, -3.6729976 40.1906938, -3.6725813 40.1908029)",,,,
161486218,True,,Avenida de Andalucía,tertiary,False,59.881,"LINESTRING (-3.6736081 40.1904057, -3.6736544 40.190598, -3.6737948 40.1909238)",yes,,,
161486221,False,,Avenida de Andalucía,tertiary,False,125.89500000000001,"LINESTRING (-3.6736081 40.1904057, -3.6733461 40.1897412, -3.6733291 40.1896948, -3.6733046 40.1896281, -3.6733007 40.1896174, -3.6732765 40.1895513, -3.6731915 40.1893192)",yes,,,
292760793,True,1,Calle del Pozo Chico,residential,False,105.993,"LINESTRING (-3.6736081 40.1904057, -3.6740312 40.1902534, -3.674127 40.1902533, -3.6746862 40.1901159, -3.6747777 40.1900916)",yes,,,
30559490,False,,Calle Tirso de Molina,residential,False,57.118,"LINESTRING (-3.6763814 40.1891101, -3.6760462 40.1895554)",yes,,,
292760797,True,1,Calle Duquesas,residential,False,10.604,"LINESTRING (-3.6763814 40.1891101, -3.6764477 40.1891909)",,,,
28069479,True,1,Calle del Duque de Lerma,residential,False,137.585,"LINESTRING (-3.6746853 40.1880235, -3.6750943 40.1883236, -3.6754028 40.1885398, -3.6757233 40.1887437, -3.6758947 40.1888452)",yes,,,
161467419,False,,Calle Osa Mayor,residential,False,75.974,"LINESTRING (-3.6746853 40.1880235, -3.6742449 40.1885733, -3.6742187 40.1886064)",,,,
161471221,False,,Paseo de Enrique Tierno Galván,residential,False,16.774,"LINESTRING (-3.6734664 40.1867938, -3.6733022 40.1868776)",yes,,,
28069479,True,1,Calle del Duque de Lerma,residential,False,31.933999999999997,"LINESTRING (-3.6734664 40.1867938, -3.6735363 40.186879, -3.673695 40.1870209)",yes,,,
161471221,False,,Paseo de Enrique Tierno Galván,residential,True,86.97899999999998,"LINESTRING (-3.6734664 40.1867938, -3.6737129 40.1866547, -3.6737229 40.1866491, -3.6739353 40.1865319, -3.6741148 40.1864599, -3.6741548 40.1864546, -3.6742021 40.1864483, -3.6742846 40.1864504, -3.6743509 40.1864654)",yes,,,
28069494,False,,,residential,False,590.901,"LINESTRING (-3.6713525 40.1872217, -3.6690424 40.1878991, -3.6688623 40.187963, -3.6686805 40.1880637, -3.6679266 40.1889926, -3.6674459 40.1895849, -3.667276 40.1897526, -3.6670941 40.1898243, -3.6660757 40.1901039, -3.6659985 40.1902033)",,,,
116589516,True,,,residential,False,45.93600000000001,"LINESTRING (-3.6713525 40.1872217, -3.6713853 40.1872601, -3.6714327 40.1872884, -3.6714626 40.1872964, -3.6714894 40.1873035, -3.6715495 40.1873039, -3.6716065 40.1872894, -3.6716544 40.1872616, -3.671688 40.1872236, -3.6717038 40.1871793, -3.6717 40.1871335)",,roundabout,,
28069562,True,,Paseo de la Estación,residential,False,64.021,"LINESTRING (-3.6710988 40.192335, -3.6704369 40.1926104)",,,,
28069564,True,,Paseo del Prado,residential,False,116.005,"LINESTRING (-3.6710988 40.192335, -3.6709398 40.192349, -3.670774 40.1923487, -3.6704144 40.1923357, -3.6700722 40.1923319, -3.6697354 40.1923138)",,,,
894400584,False,,Paseo Párroco Don Lorenzo,residential,False,36.595,"LINESTRING (-3.6764934 40.1887331, -3.6762873 40.1890221)",,,,
161470967,False,,Paseo Párroco Don Lorenzo,residential,True,63.983000000000004,"LINESTRING (-3.6764934 40.1887331, -3.6767046 40.1884724, -3.6769233 40.1882618)",,,,
289079241,True,1,Calle Doctor la Calle,residential,False,37.91,"LINESTRING (-3.6768143 40.1906329, -3.6772487 40.1905547)",,,,
40224699,True,1,Calle de Estrella de Elola,residential,False,73.936,"LINESTRING (-3.6768378 40.1918576, -3.6759877 40.1920005)",,,,
289426665,False,,Plaza del Paraíso,residential,True,16.359,"LINESTRING (-3.6768378 40.1918576, -3.6768121 40.1917118)",,,,
28069692,True,1,Calle Alarcón,residential,False,94.612,"LINESTRING (-3.6761971 40.1896548, -3.6761837 40.1905056)",,,,
292760791,False,2,Nicasio Fraile,residential,True,16.925,"LINESTRING (-3.6761971 40.1896548, -3.6760462 40.1895554)",,,,
28069692,True,1,Calle Alarcón,residential,False,126.999,"LINESTRING (-3.6762119 40.1908206, -3.6762224 40.19096, -3.6762373 40.1912276, -3.6762434 40.1913147, -3.6762771 40.1913893, -3.6763282 40.191503, -3.6763726 40.1915862, -3.6768121 40.1917118)",,,,
289426665,False,,Plaza del Paraíso,residential,False,16.359,"LINESTRING (-3.6768121 40.1917118, -3.6768378 40.1918576)",,,,
28069691,True,,Calle las Vacas,residential,False,144.379,"LINESTRING (-3.6768121 40.1917118, -3.6768128 40.1916378, -3.6768082 40.1915483, -3.6768067 40.1914271, -3.6768282 40.1913906, -3.6771795 40.1912247, -3.6769263 40.1908857, -3.6768799 40.1908114, -3.6768567 40.1907558, -3.6768328 40.1906933, -3.6768143 40.1906329)",,,,
289976592,True,,Calle Nicasio Fraile,residential,False,112.12899999999999,"LINESTRING (-3.6773097 40.190161, -3.6772613 40.190091, -3.6772047 40.1900488, -3.677024 40.1899537, -3.6768881 40.1899032, -3.676688 40.1898422, -3.6763978 40.1897538, -3.6761971 40.1896548)",,,,
28069701,True,,Calle Bretón de los Herreros,residential,False,46.158,"LINESTRING (-3.6758947 40.1888452, -3.6754259 40.1890551)",yes,,,
28069701,True,,Calle Bretón de los Herreros,residential,False,80.86800000000001,"LINESTRING (-3.6754259 40.1890551, -3.6750389 40.189189, -3.6746279 40.1893414, -3.6745612 40.1893584)",yes,,,
