osmid,name,highway,oneway,reversed,length,bridge,geometry,junction,maxspeed
27021933,Avenida Fernando de Castro,tertiary,False,True,118.656,,"LINESTRING (-5.0300779 42.369449, -5.0304885 42.3693905, -5.031464 42.3691552)",,
27021933,Avenida Fernando de Castro,tertiary,False,False,41.839,,"LINESTRING (-5.0269669 42.3693103, -5.0264604 42.369271)",,
27022464,,residential,False,True,14.202,,"LINESTRING (-5.0269669 42.3693103, -5.0269462 42.3694371)",,
27021933,Avenida Fernando de Castro,tertiary,False,True,83.868,,"LINESTRING (-5.0269669 42.3693103, -5.0275752 42.3693573, -5.0276878 42.369364, -5.0279823 42.3693881)",,
27022464,,residential,False,False,69.863,,"LINESTRING (-5.0269669 42.3693103, -5.0270541 42.3687743, -5.0270684 42.3686865)",,
24669634,Travesía del Arco,tertiary,False,False,8.837,,"LINESTRING (-5.0263479 42.370914, -5.0263965 42.3708431)",,
24669634,Travesía del Arco,tertiary,False,True,41.766,,"LINESTRING (-5.0263479 42.370914, -5.0262683 42.3710042, -5.026049 42.3712176)",,
24737348,Plaza de San Martín,residential,True,False,54.871,,"LINESTRING (-5.0252386 42.370658, -5.0253688 42.370174)",,
31866095,Calle el Arco,residential,True,False,95.50200000000001,,"LINESTRING (-5.0252386 42.370658, -5.0259092 42.3708037, -5.0262766 42.3708991, -5.0263479 42.370914)",,
24669631,Avenida de la Constitución,tertiary,False,True,102.83,,"LINESTRING (-5.0253688 42.370174, -5.0262433 42.3703371, -5.0262896 42.3703458, -5.0265794 42.3704086)",,
30092601,Calle Antonio Nicolás,residential,False,True,159.567,,"LINESTRING (-5.0353433 42.3694467, -5.0353252 42.3695234, -5.0353156 42.3695638, -5.0352892 42.3696322, -5.0352454 42.3697007, -5.0351624 42.3698273, -5.0351363 42.3698565, -5.0351062 42.3698836, -5.0350263 42.369953, -5.0349183 42.3700491, -5.034843 42.370082, -5.0347242 42.3701311, -5.0343061 42.3702584, -5.033994 42.3703358)",,
30109591,Barrio San Pedro,tertiary,False,False,91.952,,"LINESTRING (-5.0353433 42.3694467, -5.0352342 42.3694798, -5.0350767 42.3694989, -5.0342386 42.3695567)",,50
24737625,Avenida Doctores Bermejo y Calderón,tertiary,False,False,91.344,,"LINESTRING (-5.033611 42.3695838, -5.0335824 42.3696371, -5.0335951 42.369739, -5.0336993 42.3703548, -5.0337062 42.3703957)",,
30109591,Barrio San Pedro,tertiary,False,True,20.523,,"LINESTRING (-5.033611 42.3695838, -5.0336962 42.3695984, -5.0337702 42.3695973, -5.0338578 42.3695889)",,50
82788689,Avenida Doctores Bermejo y Calderón,tertiary,False,False,71.327,,"LINESTRING (-5.033611 42.3695838, -5.0335726 42.3695369, -5.0334308 42.3690349, -5.0333877 42.3689683)",,
197826729,Calle la Vega,residential,False,True,16.227,,"LINESTRING (-5.033611 42.3695838, -5.0334551 42.3695873, -5.0334136 42.3695889)",,
24737625,Avenida Doctores Bermejo y Calderón,tertiary,False,True,91.34400000000001,,"LINESTRING (-5.0337062 42.3703957, -5.0336993 42.3703548, -5.0335951 42.369739, -5.0335824 42.3696371, -5.033611 42.3695838)",,
30092601,Calle Antonio Nicolás,residential,False,False,24.576999999999998,,"LINESTRING (-5.0337062 42.3703957, -5.0338718 42.370365, -5.033994 42.3703358)",,
197826728,Avenida Doctores Bermejo y Calderón,tertiary,False,False,61.817,,"LINESTRING (-5.0337062 42.3703957, -5.0337017 42.3704837, -5.0336995 42.370528, -5.0336711 42.3706616, -5.0335672 42.3709395)",,
197826728,Avenida Doctores Bermejo y Calderón,tertiary,False,False,42.258,,"LINESTRING (-5.033259 42.3716365, -5.0330681 42.3719894)",,
27022633,Plaza de San Benito,residential,True,False,62.071999999999996,,"LINESTRING (-5.033259 42.3716365, -5.0331969 42.3716153, -5.032573 42.3714025)",,
197826728,Avenida Doctores Bermejo y Calderón,tertiary,False,True,81.536,,"LINESTRING (-5.033259 42.3716365, -5.0332768 42.3715968, -5.0334972 42.3711049, -5.0335672 42.3709395)",,
