osmid,lanes,ref,name,highway,junction,oneway,reversed,length,geometry,maxspeed,tunnel
859662299,2,N-VIa,Plaza de la Soledad,trunk,roundabout,True,False,10.223,"LINESTRING (-5.6739595 42.0033306, -5.6739591 42.0033088, -5.6739574 42.0032866, -5.6739508 42.0032649, -5.673935 42.0032421)",,
13237781,2,N-VIa,Plaza de la Soledad,trunk,roundabout,True,False,2.422,"LINESTRING (-5.6739156 42.0032175, -5.6738916 42.003205)",,
"[15265235, 15265239]",2,,Avenida El Ferial,tertiary,,True,False,112.72199999999998,"LINESTRING (-5.6739156 42.0032175, -5.6739383 42.0031385, -5.6739483 42.0029312, -5.6740136 42.0024663, -5.6740296 42.0024131, -5.6740446 42.0023795, -5.6741247 42.0022222)",,
13791238,2,N-VIa,,trunk,roundabout,True,False,5.838,"LINESTRING (-5.6729045 42.0027087, -5.6728388 42.0026894)",,
13791238,2,N-VIa,,trunk,roundabout,True,False,5.131,"LINESTRING (-5.672696 42.0027785, -5.6727036 42.0028243)",,
13773887,2,N-VIa,Avenida Federico Silva,trunk,,True,False,254.6,"LINESTRING (-5.6727327 42.0027193, -5.672456 42.002608, -5.6718961 42.0023828, -5.6706601 42.0018857, -5.6700736 42.0016456, -5.6700262 42.0016251)",,
13791238,2,N-VIa,,trunk,roundabout,True,False,7.338,"LINESTRING (-5.6727327 42.0027193, -5.672709 42.0027452, -5.672696 42.0027785)",,
13866233,,,Calle de las Eras,residential,,False,True,50.858999999999995,"LINESTRING (-5.6787577 42.0051674, -5.6789108 42.0051135, -5.6791952 42.0049959, -5.6792964 42.0049471)",50,
100488386,,,Calle de las Eras,residential,,True,False,46.209999999999994,"LINESTRING (-5.6787577 42.0051674, -5.6785664 42.0051794, -5.6783999 42.0051798, -5.6782017 42.005156)",50,
14306139,,ZA-P-1511,Calle de las Eras,tertiary,,True,False,3.769,"LINESTRING (-5.678069 42.005152, -5.678035 42.0051746)",,
14306142,1,ZA-P-1511,Calle de las Eras,tertiary,,True,False,32.855000000000004,"LINESTRING (-5.678069 42.005152, -5.6779408 42.0051263, -5.6777904 42.0051066, -5.6777488 42.0051099, -5.677728 42.0051163, -5.6776902 42.005138)",,
455277727,2,ZA-P-1511,Cañada de la Vizana,tertiary,,True,False,5.968,"LINESTRING (-5.6780279 42.0053106, -5.6780487 42.005362)",,
14306139,,ZA-P-1511,Calle de las Eras,tertiary,,True,False,12.223,"LINESTRING (-5.6780279 42.0053106, -5.6780518 42.0053247, -5.6780862 42.0053386, -5.6781246 42.0053441, -5.6781635 42.0053407)",,
13866234,,ZA-P-1511,Cañada de la Vizana,tertiary,,True,False,38.387,"LINESTRING (-5.6787072 42.0056776, -5.6786452 42.0055976, -5.6784178 42.0054815, -5.6783753 42.0054455)",,
100488278,,ZA-P-1511,Cañada de la Vizana,tertiary,,False,False,40.406,"LINESTRING (-5.6787072 42.0056776, -5.6787902 42.0057144, -5.6791296 42.0058607)",50,
13866234,,ZA-P-1511,Cañada de la Vizana,tertiary,,True,False,15.891,"LINESTRING (-5.6783753 42.0054455, -5.6783514 42.0054106, -5.6783115 42.0053417, -5.6782962 42.0053153)",,
26333322,,,Calle de las Eras,residential,,True,False,22.936,"LINESTRING (-5.6783753 42.0054455, -5.6783799 42.0054102, -5.6783987 42.0053766, -5.6784324 42.0053322, -5.6784875 42.0052595)",50,
464355966,,,Calle de las Eras,residential,,True,False,11.323,"LINESTRING (-5.6781635 42.0053407, -5.6782962 42.0053153)",50,
14306139,,ZA-P-1511,Calle de las Eras,tertiary,,True,False,13.564,"LINESTRING (-5.6781635 42.0053407, -5.6781991 42.0053286, -5.6782282 42.005309, -5.6782493 42.0052863, -5.6782618 42.0052514)",,
13866236,,,Calle de las Eras,residential,,True,False,24.563,"LINESTRING (-5.6784875 42.0052595, -5.6787577 42.0051674)",50,
