osmid,name,highway,oneway,reversed,length,geometry,ref,junction,bridge,tunnel
1020380178,Calle Zaragoza,primary,False,False,49.336,"LINESTRING (0.2929851 41.8498364, 0.2925552 41.8501435)",,,,
292623339,Avenida Aragón,primary,True,False,204.133,"LINESTRING (0.2929851 41.8498364, 0.293331 41.8502163, 0.2935866 41.850481, 0.2938277 41.8507424, 0.2938846 41.8507999, 0.2942187 41.8511723, 0.2943085 41.8512579, 0.2943392 41.851361)",,,,
"[749553171, 362591717]","['Calle 1 de Mayo', 'Calle Aragón']",secondary,False,True,171.308,"LINESTRING (0.2929851 41.8498364, 0.2930143 41.8498217, 0.2933599 41.8496751, 0.29352 41.849161, 0.2937112 41.8484855)",,,,
31487488,Calle de Lerida,primary,False,False,7.038,"LINESTRING (0.2942543 41.8513636, 0.2943392 41.851361)",A-140,,,
119804067,Plaza de España,primary,True,False,79.00399999999999,"LINESTRING (0.2942543 41.8513636, 0.2939815 41.8513948, 0.2933526 41.8515832)",,,,
487478063,Avenida San Esteban,secondary,False,True,50.894999999999996,"LINESTRING (0.2942543 41.8513636, 0.294222 41.8514796, 0.294225 41.8515064, 0.2942517 41.8517559, 0.2942555 41.8518179)",A-133,,,
198157296,Travesía Industria,residential,False,False,11.801,"LINESTRING (0.2933526 41.8515832, 0.2934122 41.8516796)",,,,
245356280,Plaza de España,primary,True,False,25.276,"LINESTRING (0.2933526 41.8515832, 0.2931884 41.8513916)",,,,
119807725,Calle San Pedro,residential,True,False,49.867999999999995,"LINESTRING (0.2923014 41.8503606, 0.2922183 41.8503127, 0.2918657 41.8500518)",,,,
198045417,Calle Zaragoza,primary,False,False,106.812,"LINESTRING (0.2923014 41.8503606, 0.2921917 41.8504505, 0.2914334 41.851071)",,,,
1020380178,Calle Zaragoza,primary,False,True,27.594,"LINESTRING (0.2923014 41.8503606, 0.2923684 41.8503064, 0.292527 41.850178)",,,,
461160433,,secondary_link,True,False,20.304,"LINESTRING (0.2919659 41.8468372, 0.2920734 41.8470013)",,,,
40429737,,secondary,True,False,15.036000000000001,"LINESTRING (0.2919659 41.8468372, 0.2919383 41.8468773, 0.2918962 41.8469097, 0.2918434 41.8469317)",,roundabout,,
461160434,Barrio Tejerías,residential,True,False,24.101,"LINESTRING (0.2917599 41.8471142, 0.2916507 41.8469133)",,,,
"[119804066, 847722611]","['Barrio Tejerías', 'Calle Peralta']",residential,False,False,215.669,"LINESTRING (0.2917599 41.8471142, 0.2918783 41.8475143, 0.2920067 41.8478467, 0.2919979 41.8481967, 0.2918754 41.8485073, 0.2917136 41.8485948, 0.2914905 41.8486337, 0.2912369 41.8486587)",,,,
184310262,Calle San José Artesano,residential,True,False,54.721000000000004,"LINESTRING (0.2976877 41.8505764, 0.2976668 41.8504679, 0.2975936 41.8500893)",,,,
749545701,Calle Lérida,primary,False,False,87.985,"LINESTRING (0.2976877 41.8505764, 0.296793 41.8507917, 0.2966769 41.8508197)",,,,
