osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,junction,ref,bridge,access
23332812,True,Calle del Botánico Cabanilles,residential,False,61.699,"LINESTRING (-0.3503495 39.4985628, -0.3502582 39.4985264, -0.3497967 39.4983422, -0.3497108 39.4983079)",,,,,,
23333142,True,Carrer del Miracle dels Peixets,residential,False,57.146,"LINESTRING (-0.3503495 39.4985628, -0.3503046 39.4986268, -0.3500323 39.4990147)",,,,,,
23333135,True,Calle del Vicario Ricardo Belenguer,residential,False,50.909,"LINESTRING (-0.3508021 39.4980583, -0.3513298 39.4982676)",,,,,,
23332785,True,Avinguda de l'Orxata,residential,False,68.33600000000001,"LINESTRING (-0.3508021 39.4980583, -0.3506457 39.498205, -0.3504075 39.4984944, -0.3503691 39.498541, -0.3503495 39.4985628)",50,,,,,
23332785,True,Avinguda de l'Orxata,residential,False,70.943,"LINESTRING (-0.3514521 39.497664, -0.3508021 39.4980583)",50,,,,,
237521718,True,Calle de la Diputación,residential,False,112.625,"LINESTRING (-0.3514521 39.497664, -0.3513463 39.4976332, -0.3502239 39.4973067)",,,,,,
23332785,True,Avinguda de l'Orxata,residential,False,51.802,"LINESTRING (-0.3519429 39.4973945, -0.3518187 39.4974465, -0.3514521 39.497664)",50,,,,,
142704190,False,Avinguda de l'Orxata,residential,False,120.517,"LINESTRING (-0.3519429 39.4973945, -0.3519917 39.4973655, -0.3527322 39.4969261, -0.3530563 39.4967338)",50,2,,,,
23332786,True,Calle Lepanto,residential,False,81.368,"LINESTRING (-0.349556 39.4966206, -0.3504448 39.4968757)",,,,,,
237016058,True,Calle del Pintor Peris Aragó,residential,False,51.537,"LINESTRING (-0.3504448 39.4968757, -0.3502239 39.4973067)",,,,,,
23332786,True,Calle Lepanto,residential,False,143.058,"LINESTRING (-0.3504448 39.4968757, -0.3518054 39.4972665, -0.3519429 39.4973945)",,,,,,
23332788,True,Carrer de Colom,residential,False,40.234,"LINESTRING (-0.3468868 39.5015189, -0.3470687 39.5011854)",,,,,,
237114944,False,Carrer de la Mar,residential,False,40.822,"LINESTRING (-0.3468868 39.5015189, -0.3464302 39.5014157)",,,,,,
23332788,True,Carrer de Colom,residential,False,52.678,"LINESTRING (-0.3470687 39.5011854, -0.347307 39.5007488)",,,,,,
23333141,True,Carrer de Sant Cristòfol,residential,False,175.639,"LINESTRING (-0.3470687 39.5011854, -0.3487291 39.5021093)",,,,,,
23332788,True,Carrer de Colom,residential,False,2.134,"LINESTRING (-0.347307 39.5007488, -0.3473166 39.5007311)",,,,,,
23332788,True,Carrer de Colom,residential,False,29.835,"LINESTRING (-0.3475668 39.5002725, -0.3477017 39.5000252)",,,,,,
23332788,True,Carrer de Colom,residential,False,62.001,"LINESTRING (-0.3478514 39.4997509, -0.3481318 39.499237)",,,,,,
36971106,True,Calle del Molino,residential,False,84.31,"LINESTRING (-0.3478514 39.4997509, -0.3470005 39.4993717)",,,,,,
23333149,True,Calle Cervantes,residential,False,131.605,"LINESTRING (-0.3481318 39.499237, -0.3494771 39.4998055)",,,,,,
23332788,True,Carrer de Colom,residential,False,50.007,"LINESTRING (-0.3481318 39.499237, -0.3483125 39.4989056, -0.3483579 39.4988225)",,,,,,
23332788,True,Carrer de Colom,residential,False,47.509,"LINESTRING (-0.3483579 39.4988225, -0.3485727 39.4984287)",,,,,,
237114941,True,Calle del Doctor Lanuza,residential,False,113.873,"LINESTRING (-0.3485727 39.4984287, -0.3473956 39.4979557)",,,,,,
237114942,False,Calle del Doctor Lanuza,residential,True,27.262,"LINESTRING (-0.3485727 39.4984287, -0.3488546 39.4985418)",,,,,,
23332788,True,Carrer de Colom,residential,False,56.982,"LINESTRING (-0.3485727 39.4984287, -0.3488049 39.4980031, -0.3488304 39.4979564)",,,,,,
23332812,True,Calle del Botánico Cabanilles,residential,False,62.685,"LINESTRING (-0.3488304 39.4979564, -0.3487709 39.4979326, -0.3481815 39.4976974)",,,,,,
23333134,True,Calle de Benimaclet,residential,False,67.457,"LINESTRING (-0.3488304 39.4979564, -0.3488379 39.4979426, -0.3488493 39.4979215, -0.3491343 39.4973969)",,,,,,
23333134,True,Calle de Benimaclet,residential,False,42.392,"LINESTRING (-0.3491343 39.4973969, -0.3493253 39.4970453)",,,,,,
23333135,True,Calle del Vicario Ricardo Belenguer,residential,False,83.658,"LINESTRING (-0.3491343 39.4973969, -0.3500014 39.4977409)",,,,,,
23333134,True,Calle de Benimaclet,residential,False,51.206,"LINESTRING (-0.3493253 39.4970453, -0.349556 39.4966206)",,,,,,
23332812,True,Calle del Botánico Cabanilles,residential,False,85.054,"LINESTRING (-0.3497108 39.4983079, -0.3493159 39.4981502, -0.3491936 39.4981014, -0.3488799 39.4979762, -0.3488304 39.4979564)",,,,,,
23333135,True,Calle del Vicario Ricardo Belenguer,residential,False,77.238,"LINESTRING (-0.3500014 39.4977409, -0.3508021 39.4980583)",,,,,,
237016058,True,Calle del Pintor Peris Aragó,residential,False,67.799,"LINESTRING (-0.3500014 39.4977409, -0.3497268 39.4982768, -0.3497108 39.4983079)",,,,,,
