osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,junction
"[887638969, 23344806]",True,2,Avenida Marqués de Suances,"['trunk_link', 'trunk']",False,81.52799999999999,"LINESTRING (-5.9165295 43.5522981, -5.9170013 43.5522508, -5.9173735 43.5522078, -5.9174362 43.5522038, -5.9175317 43.5522025)",,,
23561647,True,1,Calle El Muelle,primary_link,False,74.57,"LINESTRING (-5.9165295 43.5522981, -5.9167142 43.5523258, -5.9170243 43.5523415, -5.9171557 43.552379, -5.9172342 43.5524444, -5.9172669 43.5524942, -5.9172843 43.5525574)",,,
5866259,False,2,Calle Gutiérrez Herrero,residential,False,11.201,"LINESTRING (-5.9193851 43.5515356, -5.9192801 43.5514696)",AS-17,,
321567194,True,2,Avenida de Cervantes,residential,False,58.637,"LINESTRING (-5.9193851 43.5515356, -5.9194998 43.5514787, -5.919988 43.5512404)",,50,
608172985,False,2,Avenida de Cervantes,residential,False,36.64,"LINESTRING (-5.9225522 43.5510803, -5.92294 43.5512523)",,50,
430612105,False,2,Avenida de Cervantes,residential,False,25.69,"LINESTRING (-5.9232821 43.5513836, -5.9235736 43.5514771)",,50,
598344758,False,2,Avenida de Cervantes,residential,True,31.197,"LINESTRING (-5.9232821 43.5513836, -5.92294 43.5512523)",,50,
13506185,False,,Calle Sabino Álvarez Gendín,residential,False,53.743,"LINESTRING (-5.9254391 43.5519948, -5.925868 43.5516247)",,,
430612104,False,2,Avenida de Cervantes,residential,False,133.857,"LINESTRING (-5.9254391 43.5519948, -5.9257306 43.5520726, -5.9259716 43.5521579, -5.9265473 43.5526606, -5.9266746 43.5527536)",,50,
430612104,False,2,Avenida de Cervantes,residential,True,160.98999999999998,"LINESTRING (-5.9254391 43.5519948, -5.9245715 43.5517611, -5.9239166 43.5515732, -5.9238967 43.5515676, -5.9235736 43.5514771)",,50,
13506213,True,,Avenida de Portugal,residential,False,108.27,"LINESTRING (-5.9266746 43.5527536, -5.9274987 43.5519846)",,,
430612104,False,2,Avenida de Cervantes,residential,False,36.873,"LINESTRING (-5.9266746 43.5527536, -5.927005 43.552983)",,50,
430612104,False,2,Avenida de Cervantes,residential,True,133.857,"LINESTRING (-5.9266746 43.5527536, -5.9265473 43.5526606, -5.9259716 43.5521579, -5.9257306 43.5520726, -5.9254391 43.5519948)",,50,
665159950,True,2,Plaza del Carbayedo,residential,False,29.191,"LINESTRING (-5.9279647 43.5536782, -5.927749 43.5538891)",,,
1151057263,False,2,Plaza del Carbayedo,residential,True,28.727,"LINESTRING (-5.9279647 43.5536782, -5.927791 43.5534526)",,50,
578921695,False,2,Calle Alcalde Francisco Orejas Sierra,residential,False,70.049,"LINESTRING (-5.9277692 43.5578701, -5.9278506 43.5584973)",,,
