osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,width,bridge,maxspeed
237818103,2,Calle Armiñán,secondary,False,False,102.464,"LINESTRING (-5.1651706 36.7389613, -5.1651807 36.7389911, -5.1652755 36.7391836, -5.165547 36.7398317)",,,,
237818103,2,Calle Armiñán,secondary,False,True,33.216,"LINESTRING (-5.1651706 36.7389613, -5.1651384 36.7386988, -5.165136 36.7386639)",,,,
1011071347,,Calle San Antonio de Padua,residential,False,True,38.178,"LINESTRING (-5.1651706 36.7389613, -5.1650437 36.7389902, -5.1648295 36.7390334, -5.164756 36.7390477)",,,,
237818103,2,Calle Armiñán,secondary,False,False,12.157,"LINESTRING (-5.165547 36.7398317, -5.1655814 36.7399375)",,,,
"[26698953, 26699163]",,"['Calle Marqués de Salvatierra', 'Calle Santo Domingo']","['living_street', 'residential']",True,False,358.15299999999996,"LINESTRING (-5.165547 36.7398317, -5.1651643 36.7399418, -5.1650763 36.739952, -5.1648581 36.7399035, -5.1647259 36.739863, -5.1646358 36.7398149, -5.1646173 36.7397984, -5.1645806 36.7397722, -5.1645303 36.7397536, -5.1644742 36.7397415, -5.1644155 36.7397392, -5.1643535 36.7397443, -5.1642559 36.739752, -5.1641669 36.739763, -5.1641195 36.7397549, -5.1639909 36.7397075, -5.1638189 36.7396375, -5.1638063 36.7395992, -5.1637972 36.7395556, -5.1637964 36.7395109, -5.1640318 36.7389581, -5.1640701 36.7388394, -5.1641011 36.7387783, -5.164143 36.73869, -5.1642027 36.7386156, -5.1642798 36.7385747, -5.1643737 36.7384001, -5.1644077 36.738381, -5.1644319 36.738342, -5.1644789 36.7382538, -5.164545 36.7381692, -5.1645685 36.7381388, -5.1646284 36.7380768)",,,,
237818103,2,Calle Armiñán,secondary,False,True,102.464,"LINESTRING (-5.165547 36.7398317, -5.1652755 36.7391836, -5.1651807 36.7389911, -5.1651706 36.7389613)",,,,
26699113,2,Avenida Poeta Rilke,residential,False,False,34.86,"LINESTRING (-5.1677593 36.745183, -5.1678297 36.7451582, -5.1679237 36.7451226, -5.168044 36.7450706, -5.1680969 36.7450295)",,,,
98109520,,Calle Jerez,secondary,False,False,134.108,"LINESTRING (-5.1677593 36.745183, -5.1678122 36.7452733, -5.1680974 36.745746, -5.1684137 36.7462691)",,,,
191625836,2,Calle Virgen de la Paz,secondary,False,True,97.494,"LINESTRING (-5.1677593 36.745183, -5.1675222 36.7448091, -5.1673129 36.7444789, -5.1672637 36.7444013)",,,,
55072676,,Calle Pozo,residential,True,False,59.535,"LINESTRING (-5.1666653 36.7446395, -5.1672637 36.7444013)",,,,
