osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,junction,access
128635776,2,BV-5001,Avinguda de Barcelona,tertiary,False,False,50.734,"LINESTRING (2.2615324 41.5426088, 2.2617254 41.542502, 2.2619467 41.5423795, 2.2620187 41.5423339)",,,
231730404,2,,Carrer Villanueva de Nicaragua,residential,True,False,16.394,"LINESTRING (2.2615324 41.5426088, 2.2615738 41.5426737, 2.2615793 41.5426821, 2.2616174 41.5427418)",,,
128635776,2,BV-5001,Avinguda de Barcelona,tertiary,False,True,13.513,"LINESTRING (2.2621478 41.5422602, 2.2620187 41.5423339)",,,
"[128635776, 708040881]",2,BV-5001,Avinguda de Barcelona,tertiary,False,False,62.891999999999996,"LINESTRING (2.2621478 41.5422602, 2.2625164 41.5421017, 2.2628449 41.542074)",yes,,
128635827,,BV-5001,,tertiary,True,False,19.967,"LINESTRING (2.2628449 41.542074, 2.2629491 41.542049, 2.2629933 41.5420239, 2.2630515 41.5419885)",,,
"[128635776, 708040881]",2,BV-5001,Avinguda de Barcelona,tertiary,False,True,62.891999999999996,"LINESTRING (2.2628449 41.542074, 2.2625164 41.5421017, 2.2621478 41.5422602)",yes,,
128635775,,BV-5001,Avinguda de l'Onze de Septembre,tertiary,False,False,55.587,"LINESTRING (2.2633399 41.5421723, 2.2637987 41.5425356)",,,
128635824,,BV-5001,,tertiary,True,False,15.488,"LINESTRING (2.2633399 41.5421723, 2.2632579 41.5421301, 2.2631738 41.5421147)",,,
128635775,,BV-5001,Avinguda de l'Onze de Septembre,tertiary,False,False,41.713,"LINESTRING (2.2647731 41.5433197, 2.2651111 41.5435967)",,,
128635775,,BV-5001,Avinguda de l'Onze de Septembre,tertiary,False,True,119.132,"LINESTRING (2.2647731 41.5433197, 2.2644993 41.5431034, 2.2644057 41.5430328, 2.2641451 41.5428364, 2.2640417 41.5427509, 2.2637987 41.5425356)",,,
300900594,,,carrer de Consell de Cent,residential,False,False,140.299,"LINESTRING (2.2681628 41.5382309, 2.2682132 41.5382301, 2.2683525 41.5382301, 2.2688564 41.5382312, 2.2691528 41.5382523, 2.2694537 41.53829, 2.2697709 41.5383721, 2.2698198 41.5383885)",,,
494505983,,,Carrer de la Mare de Déu del Carme,residential,False,True,107.28099999999998,"LINESTRING (2.2681628 41.5382309, 2.2679212 41.5382345, 2.2677404 41.5382489, 2.2673906 41.5383222, 2.2671623 41.5383865, 2.2669362 41.53848)",,,
625235195,,,Carrer de Francesc Layret,residential,False,True,85.169,"LINESTRING (2.2681628 41.5382309, 2.268201 41.5383407, 2.2685687 41.5389323)",,,
300905306,,,Carrer de la Mare de Déu del Carme,residential,False,True,75.984,"LINESTRING (2.2669362 41.53848, 2.266158 41.5388373)",,,
