osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,width,tunnel
"[865502317, 34966758]",False,2,N-521,"['Avenida de Ramón y Cajal', 'Carretera de Trujillo a Portugal por Valencia de Alcántara']",trunk,"['40', '50']",False,134.863,"LINESTRING (-5.8848854 39.4562131, -5.884728 39.4562706, -5.8843536 39.456411, -5.8841401 39.4564899, -5.8834695 39.4567383)",,,
36728911,False,,N-521,Avenida de Miajadas,trunk,40,False,107.064,"LINESTRING (-5.8818741 39.4570021, -5.8814062 39.4561096)",,,
28915557,False,,,Calle de la Encarnación,residential,40,False,59.317,"LINESTRING (-5.8818741 39.4570021, -5.8817143 39.4570449, -5.8812167 39.4571661)",,,
"[865462210, 46892564]",True,1,,"['Calle de los Pardos', 'Plazuela de Juan Pizarro de Aragón']",residential,,False,172.984,"LINESTRING (-5.8818741 39.4570021, -5.8819132 39.4570765, -5.8819359 39.4571893, -5.8819799 39.4574074, -5.8820258 39.4576955, -5.8819786 39.4579613, -5.8818578 39.4581617, -5.8818485 39.4582827, -5.8819977 39.4584929)",,,
"[865502316, 36728910]",False,3,N-521,Avenida de Ramón y Cajal,trunk,40,True,63.918,"LINESTRING (-5.8818741 39.4570021, -5.8820573 39.4569796, -5.8824476 39.4569372, -5.8826105 39.4569177)",,,
36728911,False,,N-521,Avenida de Miajadas,trunk,40,True,107.064,"LINESTRING (-5.8814062 39.4561096, -5.8818741 39.4570021)",,,
677462785,False,,,Calle García de Paredes,residential,,True,7.644,"LINESTRING (-5.8806669 39.461489, -5.8806287 39.4615511)",,,
677462785,False,,,Calle García de Paredes,residential,,False,63.358000000000004,"LINESTRING (-5.8806669 39.461489, -5.8806713 39.4614796, -5.8808183 39.4612108, -5.8809549 39.4609644)",,,
905930858,False,,,Calle de la Encarnación,residential,40,True,8.288,"LINESTRING (-5.8796631 39.457685, -5.8797335 39.457634)",,,
36728918,False,,,Calle de la Merced,residential,40,False,76.115,"LINESTRING (-5.8796631 39.457685, -5.8794077 39.4577394, -5.8789216 39.4579487, -5.8788639 39.4579719)",,,
118604723,True,,,Calle de Margarita de Iturralde,residential,,False,170.347,"LINESTRING (-5.8796631 39.457685, -5.8799207 39.4581567, -5.8801184 39.4583761, -5.8802409 39.4584397, -5.8803253 39.4585726, -5.8804266 39.4587424, -5.8805433 39.4588684, -5.8806436 39.4589956)",,,
36728918,False,,,Calle de la Merced,residential,40,True,100.23699999999998,"LINESTRING (-5.8777294 39.458181, -5.8782673 39.4580944, -5.8786517 39.4580267, -5.8787904 39.4579929, -5.8788639 39.4579719)",,,
36728919,False,,,,residential,40,False,52.522999999999996,"LINESTRING (-5.8777294 39.458181, -5.8773927 39.4582143, -5.8771219 39.4582365)",,,
89561935,False,,,Calleja Cuartos,residential,,True,25.585,"LINESTRING (-5.876855 39.4649393, -5.8765633 39.4648921)",,,
28915945,False,2,EX-208,Avenida de Monfragüe,secondary,,True,114.37599999999999,"LINESTRING (-5.876855 39.4649393, -5.8766471 39.4642074, -5.8765752 39.4640854, -5.8764986 39.4639527)",,,
36728914,True,1,,,residential,40,False,27.171,"LINESTRING (-5.8771219 39.4582365, -5.8768056 39.4582281)",,,
36728919,False,,,,residential,40,True,52.522999999999996,"LINESTRING (-5.8771219 39.4582365, -5.8773927 39.4582143, -5.8777294 39.458181)",,,
36728916,True,1,,,secondary,40,False,18.647,"LINESTRING (-5.8764969 39.4582428, -5.8766857 39.4583257)",,,
28915945,False,2,EX-208,Avenida de Monfragüe,secondary,,False,111.721,"LINESTRING (-5.8767712 39.4583858, -5.8767354 39.4584654, -5.8763442 39.4593349)",,,
36728912,True,2,,,secondary,40,False,8.206,"LINESTRING (-5.8767712 39.4583858, -5.8768031 39.4583855, -5.8768333 39.4583779, -5.8768591 39.4583634)",roundabout,,
36728912,True,2,,,secondary,40,False,6.215,"LINESTRING (-5.8768591 39.4583634, -5.87688 39.4583406, -5.8768894 39.4583136)",roundabout,,
36728917,True,,,Plaza del Campillo,residential,,False,69.16,"LINESTRING (-5.8768591 39.4583634, -5.8769933 39.4583961, -5.8776014 39.4586036)",,,
36728913,True,1,,,residential,40,False,21.724,"LINESTRING (-5.8768894 39.4583136, -5.8771219 39.4582365)",,,
