osmid,ref,highway,maxspeed,oneway,reversed,length,lanes,name,geometry,junction,bridge,tunnel
202170532,N-632,trunk,50,False,False,21.533,,,"LINESTRING (-5.0649423 43.462895, -5.0647095 43.4628004)",,,
"[545742786, 7464518]",AS-379,tertiary,,False,False,300.30400000000003,2,Carretera de la Estación,"LINESTRING (-5.0613086 43.4588238, -5.0612492 43.4588221, -5.0611677 43.458829, -5.0611218 43.4588624, -5.0611185 43.4589096, -5.0611438 43.4590129, -5.0611443 43.4590736, -5.0611174 43.4591549, -5.0610829 43.4592595, -5.0610453 43.4593732, -5.0610067 43.45949, -5.0609953 43.4595232, -5.0609596 43.4595958, -5.0609115 43.459667, -5.0608608 43.4597218, -5.0608172 43.4597672, -5.0607179 43.459859, -5.0605939 43.4599737, -5.0604955 43.4600647, -5.060419 43.4601145, -5.0603069 43.4601548, -5.0601852 43.4601755, -5.060109 43.4601719, -5.0599415 43.460165, -5.0597665 43.4601442, -5.0596403 43.4601051, -5.059519 43.4600519, -5.0593416 43.4599669, -5.0592106 43.4599076, -5.0590504 43.4598462, -5.058983 43.4598166)",,,
28818242,N-632,trunk,50,False,False,157.821,2,Avenida Palacio Valdés,"LINESTRING (-5.0613086 43.4588238, -5.0613792 43.4584811, -5.061402 43.4582499, -5.061372 43.4580641, -5.0613381 43.4579557, -5.0612279 43.4576751, -5.0611331 43.4574337)",,,
"[28818242, 961137274, 758670466]",N-632,trunk,"['40', '50']",False,True,188.35,2,Avenida Palacio Valdés,"LINESTRING (-5.0613086 43.4588238, -5.0612594 43.4590748, -5.0611895 43.459342, -5.0611206 43.4596058, -5.0608938 43.4599676, -5.0606809 43.4603089, -5.0606335 43.4604319)",,,
202170503,AS-379,tertiary,50,False,False,60.088,,Carretera de la Estación,"LINESTRING (-5.0587504 43.4597532, -5.0585995 43.4597196, -5.0583963 43.4596851, -5.0582087 43.4596681, -5.0580199 43.4596639)",,,
545742786,AS-379,tertiary,,False,True,20.063999999999997,,Carretera de la Estación,"LINESTRING (-5.0587504 43.4597532, -5.0587963 43.4597637, -5.0589505 43.4598061, -5.058983 43.4598166)",,,
1054340457,AS-379,tertiary,,False,True,17.588,,Carretera de la Estación,"LINESTRING (-5.0543895 43.4601656, -5.0546068 43.4601774)",,,
197862224,,unclassified,,True,False,20.040999999999997,,,"LINESTRING (-5.0543895 43.4601656, -5.0544233 43.4601977, -5.054443 43.4602492, -5.0544423 43.4602967, -5.0544358 43.4603353)",,,
1054340457,AS-379,tertiary,,False,False,46.05,,Carretera de la Estación,"LINESTRING (-5.0551578 43.460083, -5.0549875 43.4601344, -5.0548062 43.4601642, -5.0546068 43.4601774)",,,
"[1054340457, 202170503]",AS-379,tertiary,50,False,True,240.91800000000003,,Carretera de la Estación,"LINESTRING (-5.0551578 43.460083, -5.0552904 43.4600212, -5.0553457 43.4599959, -5.0555126 43.4599195, -5.0555834 43.4598911, -5.0556607 43.45986, -5.0557069 43.4598415, -5.0557901 43.4598088, -5.0559525 43.4597665, -5.0561401 43.4597424, -5.0562541 43.4597277, -5.0566082 43.4597, -5.0568107 43.4596879, -5.0569738 43.4596835, -5.0571834 43.4596778, -5.0576695 43.4596646, -5.0578249 43.4596632, -5.0580199 43.4596639)",,,
758670465,N-632,trunk,,True,False,22.217,,,"LINESTRING (-5.060732 43.461428, -5.0606996 43.4613716, -5.0606438 43.461327, -5.0605414 43.4613019)",roundabout,,
7452690,N-632,trunk,,True,False,13.963000000000001,2,,"LINESTRING (-5.0605414 43.4613019, -5.0604582 43.4613199, -5.0603882 43.4613564)",roundabout,,
7452694,N-632,trunk,40,True,False,21.47,,Avenida Palacio Valdés,"LINESTRING (-5.0605414 43.4613019, -5.0604573 43.4612245, -5.0604135 43.4611355)",,,
7452690,N-632,trunk,,True,False,28.986000000000004,2,,"LINESTRING (-5.0604363 43.4617782, -5.0605307 43.461777, -5.06063 43.4617283, -5.0607045 43.4616381)",roundabout,,
562103932,N-632,trunk,50,False,True,16.39,,,"LINESTRING (-5.0645273 43.4627353, -5.0647095 43.4628004)",,,
14623854,,residential,,True,False,40.461,,Calle Coronel Bravo,"LINESTRING (-5.0645273 43.4627353, -5.0643228 43.4630214, -5.0643126 43.4630311, -5.0642766 43.4630445)",,,
"[7452692, 202170526, 7452687]",N-632,trunk,50,False,False,314.307,2,Puente del Sella,"LINESTRING (-5.0645273 43.4627353, -5.064486 43.4627195, -5.0644074 43.4626929, -5.0635141 43.462411, -5.063349 43.4623575, -5.0610734 43.4616199, -5.0610567 43.4616145, -5.0609708 43.4615841)",,yes,
14623856,,residential,,True,False,194.323,,Calle de Elías Pando,"LINESTRING (-5.0632651 43.4642861, -5.0633808 43.464329, -5.0637021 43.4644482, -5.0640484 43.4646416, -5.0643235 43.4648496, -5.0645791 43.4650979, -5.0646603 43.4652209, -5.0647831 43.4654069, -5.0648626 43.4655271)",,,
109781156,,residential,,True,False,145.54999999999998,,Calle del Coronel Bravo,"LINESTRING (-5.0632651 43.4642861, -5.0631366 43.464458, -5.0625244 43.4653599, -5.0624647 43.4654588)",,,
624105072,,residential,,False,True,24.778,,Calle del Coronel Bravo,"LINESTRING (-5.0624647 43.4654588, -5.0623796 43.4656729)",,,
25863727,,residential,,True,False,47.129000000000005,,Calle de Campoamor,"LINESTRING (-5.0624647 43.4654588, -5.062674 43.4655742, -5.0629019 43.4657384)",,,
500544116,,residential,,False,True,6.338,,Paseo de la Grúa,"LINESTRING (-5.0588131 43.4650333, -5.0588685 43.4650737)",,,
"[500544113, 500544114]",,residential,,False,False,39.977000000000004,,Calle de Manuel Caso de la Villa,"LINESTRING (-5.0588131 43.4650333, -5.0587721 43.4649945, -5.0587549 43.4649801, -5.0585087 43.4647497)",,,
624052870,,residential,,False,True,47.649,,Calle Vapor Alberto,"LINESTRING (-5.0588131 43.4650333, -5.0585792 43.4651591, -5.0584017 43.465334)",,,
25870559,,residential,,False,False,46.109,,Calle de Severo Ochoa,"LINESTRING (-5.0629019 43.4657384, -5.0633016 43.4654421)",,,
"[64502167, 25863727]",,residential,,True,False,196.737,,"['Calle de Campoamor', 'Calle de Ricardo Cangas']","LINESTRING (-5.0629019 43.4657384, -5.0630624 43.4659251, -5.0631895 43.4661067, -5.0636084 43.4659633, -5.0646773 43.4655916, -5.0648626 43.4655271)",,,
25870559,,residential,,False,True,46.109,,Calle de Severo Ochoa,"LINESTRING (-5.0633016 43.4654421, -5.0629019 43.4657384)",,,
25870560,,residential,,True,False,60.24999999999999,,Calle de Severo Ochoa,"LINESTRING (-5.0633016 43.4654421, -5.0633992 43.4654412, -5.0635452 43.4653536, -5.0635507 43.4653281, -5.0634668 43.4652694, -5.0634532 43.4652716, -5.0634375 43.4652742, -5.0633216 43.4653688, -5.0633016 43.4654421)",,,
7452690,N-632,trunk,,True,False,29.719,2,,"LINESTRING (-5.0603882 43.4613564, -5.0603309 43.4614188, -5.0602883 43.4615147, -5.0602705 43.4616053)",roundabout,,
614454117,,residential,,False,False,38.3,,Calle Pico Monfrechu,"LINESTRING (-5.0606335 43.4604319, -5.0602553 43.4604525, -5.060249 43.4603835)",,,
"[758670466, 28818242, 961137274]",N-632,trunk,"['40', '50']",False,False,188.35,2,Avenida Palacio Valdés,"LINESTRING (-5.0606335 43.4604319, -5.0606809 43.4603089, -5.0608938 43.4599676, -5.0611206 43.4596058, -5.0611895 43.459342, -5.0612594 43.4590748, -5.0613086 43.4588238)",,,
"[758670466, 106529757]",N-632,trunk,40,False,True,80.231,,Avenida Palacio Valdés,"LINESTRING (-5.0606335 43.4604319, -5.0605078 43.4608356, -5.0604963 43.4608772, -5.0604773 43.4609328, -5.0604198 43.4611174, -5.0604135 43.4611355)",,,
28818244,,residential,,True,False,9.497,,Calle Marqueses de Argüelles,"LINESTRING (-5.0602705 43.4616053, -5.0602439 43.4616885)",,,
7452690,N-632,trunk,,True,False,24.764,2,,"LINESTRING (-5.0602705 43.4616053, -5.0602909 43.4616718, -5.0603461 43.4617391, -5.0604363 43.4617782)",roundabout,,
106529770,,residential,,True,False,7.724,,Calle Marqueses de Argüelles,"LINESTRING (-5.0601408 43.4620787, -5.0601943 43.4620211)",,,
"[202170490, 106529767]",,residential,,False,False,249.45000000000002,,"['Calle de los Marqueses de Argüelles', 'Calle Marqueses de Argüelles']","LINESTRING (-5.0601408 43.4620787, -5.0601078 43.4621403, -5.0600599 43.462215, -5.0600462 43.4622289, -5.0599986 43.4622772, -5.059268 43.4627525, -5.0584319 43.4632852, -5.0579741 43.4635783, -5.05793 43.4636239)",,,
106529755,,residential,,False,True,49.870999999999995,,Calle de Manuel Caso de la Villa,"LINESTRING (-5.0568664 43.4632122, -5.0569179 43.463255, -5.0569795 43.4633133, -5.0572443 43.4635669)",,,
106529768,,residential,,False,False,21.064,,Plaza del Mercado de Ganado,"LINESTRING (-5.0568664 43.4632122, -5.0568029 43.4631773, -5.0566347 43.4631281)",,,
109743461,,residential,,False,True,73.642,,,"LINESTRING (-5.0550103 43.4633402, -5.0549956 43.4632481, -5.0550203 43.463174, -5.0552708 43.4628258, -5.0553326 43.4628057, -5.0554009 43.4628191)",,,
106529755,,residential,,False,False,24.754,,Calle de Manuel Caso de la Villa,"LINESTRING (-5.0574648 43.463778, -5.0572795 43.4636006)",,,
106529766,,residential,,True,False,18.314999999999998,,Calle de Manuel Caso de la Villa,"LINESTRING (-5.0574648 43.463778, -5.0575302 43.4638197, -5.0575868 43.4638397, -5.0576584 43.4638601)",,,
106529768,,residential,,False,True,21.064,,Plaza del Mercado de Ganado,"LINESTRING (-5.0566347 43.4631281, -5.0568029 43.4631773, -5.0568664 43.4632122)",,,
106536043,,residential,,True,False,50.797,,Avenida de Villar y Valle,"LINESTRING (-5.0566347 43.4631281, -5.0563044 43.4629325, -5.0562748 43.4628905, -5.0562663 43.4628483, -5.0562709 43.4627908)",,,
106536044,,living_street,,True,False,57.391,,Plaza del Mercado de Ganado,"LINESTRING (-5.0566347 43.4631281, -5.0562477 43.4633576, -5.0563852 43.4634741)",,,
"[624140486, 106552495]",,living_street,,True,False,146.071,,"['Plaza de la Iglesia', 'Calle de Manuel Fernández Junco']","LINESTRING (-5.0566347 43.4631281, -5.0573006 43.462741, -5.057551 43.4625515, -5.0577963 43.4622766, -5.0579076 43.4622106)",,,
66878991,RS-1,tertiary,,False,True,46.712,,,"LINESTRING (-5.0554009 43.4628191, -5.0555877 43.462904, -5.0557322 43.4629129, -5.0558791 43.4628757, -5.0559337 43.462862)",,,
109743452,RS-1,tertiary,,True,False,169.359,,Calle Magín Berenguer,"LINESTRING (-5.0554009 43.4628191, -5.0555036 43.4625706, -5.0556994 43.4619574, -5.0557326 43.461799, -5.0558022 43.461716, -5.0559113 43.46165, -5.055984 43.4615861, -5.0560763 43.4614074)",,,
109743461,,residential,,False,False,73.64200000000001,,,"LINESTRING (-5.0554009 43.4628191, -5.0553326 43.4628057, -5.0552708 43.4628258, -5.0550203 43.463174, -5.0549956 43.4632481, -5.0550103 43.4633402)",,,
