osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,junction,width,bridge
24650786,True,2,secondary,50,False,29.583,"LINESTRING (-6.3768 39.4716541, -6.3769239 39.471705, -6.3770653 39.4717641, -6.3771079 39.4717709)",,,,
89209796,True,2,residential,,False,114.604,"LINESTRING (-6.3768 39.4716541, -6.3766729 39.4718227, -6.3762705 39.47236, -6.376199 39.4724509, -6.3761283 39.4725448)",Avenida de España,,,
30824101,True,2,secondary,,False,16.047,"LINESTRING (-6.3774008 39.4719141, -6.3774833 39.4717846)",Avenida de España,,,
24609682,True,1,secondary,50,False,30.124,"LINESTRING (-6.3729511 39.470769, -6.3730621 39.470512)",Calle Colón,,,
311363240,True,1,residential,30,False,199.959,"LINESTRING (-6.3729511 39.470769, -6.3745627 39.4720675)",Calle Camino Llano,,,
52115485,True,1,residential,,False,27.957,"LINESTRING (-6.3745627 39.4720675, -6.3747922 39.4722459)",Plaza Marrón,,,
713397863,True,1,residential,50,False,33.861,"LINESTRING (-6.3745627 39.4720675, -6.3745789 39.4722283, -6.3745818 39.4723064, -6.3745818 39.4723715)",Calle Camino Llano,,,
30318397,True,1,secondary,,False,20.564,"LINESTRING (-6.3698594 39.4700987, -6.3698191 39.470281)",Calle Mira al Río,,,
311505709,True,2,secondary,50,False,17.877,"LINESTRING (-6.3698594 39.4700987, -6.3698711 39.4701296, -6.3698896 39.4701584, -6.3699144 39.4701842, -6.3699446 39.4702064, -6.3699793 39.4702241)",Plaza de San Francisco,roundabout,,
311727446,True,2,secondary,50,False,29.894,"LINESTRING (-6.3700199 39.4702374, -6.3700624 39.4702447, -6.3701059 39.4702459, -6.3701489 39.4702409, -6.3701901 39.47023, -6.370228 39.4702134, -6.3702613 39.4701918, -6.370289 39.4701658, -6.37031 39.4701364)",Plaza de San Francisco,roundabout,,
54377352,True,1,residential,,False,19.259,"LINESTRING (-6.3699228 39.4703846, -6.369918 39.4703471, -6.3699295 39.4703276, -6.3699551 39.4703009, -6.3699874 39.4702673, -6.3700199 39.4702374)",Plaza de San Francisco,,,
24650787,True,2,residential,30,False,61.721999999999994,"LINESTRING (-6.3761283 39.4725448, -6.3761672 39.472609, -6.3761738 39.4726199, -6.3763584 39.4728978, -6.3765391 39.4729759)",Calle María Telo Núñez,,,
29438758,True,1,living_street,20,False,115.04899999999999,"LINESTRING (-6.3761283 39.4725448, -6.3760514 39.4725891, -6.3757212 39.4727884, -6.3754056 39.4731224, -6.3753205 39.4731709, -6.3752361 39.4732228, -6.3751837 39.4732653)",Calle San Antón,,,
775713208,True,2,residential,50,False,14.3,"LINESTRING (-6.3767029 39.4729968, -6.3766866 39.4728968, -6.3766821 39.4728692)",Avenida de España,,,
24650788,True,2,secondary,50,False,13.674,"LINESTRING (-6.3774833 39.4717846, -6.3773551 39.4717116)",,,,
25215917,True,1,secondary,50,False,91.504,"LINESTRING (-6.3769082 39.4715024, -6.3767365 39.4713822, -6.3761288 39.470941)",Avenida Virgen de la Montaña,,,
"[388251659, 374948159]",True,2,secondary,50,False,19.279,"LINESTRING (-6.3769082 39.4715024, -6.3768601 39.4715787, -6.3768 39.4716541)",Avenida de España,,,
33176188,True,1,living_street,30,False,177.722,"LINESTRING (-6.3751837 39.4732653, -6.3751508 39.4732995, -6.3748591 39.4734427, -6.3744923 39.4737891, -6.3742015 39.4741259, -6.3738003 39.4744338)",Calle Parras,,4,
49946785,False,2,residential,50,False,53.702,"LINESTRING (-6.3667828 39.474453, -6.3667068 39.4744181, -6.3661752 39.4743582)",Calle Concordia,,,
524406167,False,2,secondary,30,True,87.84100000000001,"LINESTRING (-6.3667828 39.474453, -6.3668545 39.4744256, -6.3670042 39.4743683, -6.3671374 39.4743179, -6.3672563 39.4742385, -6.3674106 39.4741169, -6.3674877 39.4740351, -6.3675509 39.4739571)",Ronda Fuente Rocha,,,
31815208,True,1,residential,,False,140.192,"LINESTRING (-6.3749409 39.4789321, -6.3748732 39.4788733, -6.3745873 39.4786253, -6.3742885 39.4783107, -6.3740826 39.4779414, -6.3740529 39.4778881)",Calle Barrio Nuevo,,,
"[60579141, 30318399]",False,2,secondary,30,False,114.706,"LINESTRING (-6.3698191 39.470281, -6.369795 39.4703309, -6.369634 39.4706246, -6.3696146 39.4706814, -6.3695904 39.4707521, -6.3695461 39.4710924, -6.3695657 39.4712001, -6.3695944 39.4712736)",Calle Mira al Río,,,
30318401,True,1,secondary,,False,15.206,"LINESTRING (-6.3698191 39.470281, -6.3699096 39.4702418, -6.3699793 39.4702241)",Calle Mira al Río,,,
"[30319184, 30319185, 30319183]",False,2,secondary,30,True,60.90400000000001,"LINESTRING (-6.3684747 39.4728098, -6.3683819 39.4728072, -6.3682759 39.4727853, -6.3681333 39.4727413, -6.368014 39.4727007, -6.3678998 39.4726626, -6.3678071 39.4726367)",Calle Fuente Concejo,,,yes
30319545,False,1,residential,,False,43.645,"LINESTRING (-6.3684747 39.4728098, -6.3684779 39.4728823, -6.3687071 39.4731489)",Calle Fuente Concejo,,,
"[49946922, 60579141, 60579146, 34066807]",False,2,secondary,30,"[False, True]",206.729,"LINESTRING (-6.3684747 39.4728098, -6.368552 39.4727895, -6.3687347 39.4726651, -6.3688564 39.4725332, -6.3689478 39.4723403, -6.3690107 39.4722743, -6.3692557 39.4720441, -6.3694426 39.4718507, -6.3694662 39.4718263, -6.3695362 39.4717008, -6.3696304 39.4715318, -6.3696549 39.4714483, -6.3696414 39.4713562, -6.3695944 39.4712736)","['Calle San Roque', 'Calle Mira al Río']",,,
107219576,False,,residential,,False,34.928,"LINESTRING (-6.3665296 39.4729417, -6.3665402 39.472998, -6.3665663 39.4731357, -6.3665261 39.4732496)",Calle de Urano,,,
123693607,False,2,residential,,False,192.939,"LINESTRING (-6.3665296 39.4729417, -6.3666032 39.4729239, -6.3666793 39.4728833, -6.3668089 39.4727766, -6.3677694 39.4719861, -6.3679912 39.4717897, -6.3680622 39.4717567, -6.3681257 39.4717491)",Calle de Fuente Concejo,,,
311219428,False,2,residential,,True,53.937999999999995,"LINESTRING (-6.3665296 39.4729417, -6.366457 39.4729532, -6.3663657 39.4729388, -6.3662981 39.4729215, -6.3662217 39.4728956, -6.3661619 39.4728591, -6.3661088 39.472823, -6.3660188 39.4727214)",Carretera de la Montaña,,,
123693607,False,2,residential,,True,192.93900000000002,"LINESTRING (-6.3681257 39.4717491, -6.3680622 39.4717567, -6.3679912 39.4717897, -6.3677694 39.4719861, -6.3668089 39.4727766, -6.3666793 39.4728833, -6.3666032 39.4729239, -6.3665296 39.4729417)",Calle de Fuente Concejo,,,
