osmid,oneway,lanes,ref,highway,reversed,length,geometry,maxspeed,junction,name
26801735,True,1,M-300,primary_link,False,65.12299999999999,"LINESTRING (-3.4086935 40.3880915, -3.4085066 40.3877571, -3.4084053 40.3875487)",,,
67821573,True,1,M-300,primary_link,False,27.33,"LINESTRING (-3.4086935 40.3880915, -3.4085895 40.3879992, -3.4085217 40.3879806, -3.4084341 40.3879992)",,,
614258925,False,2,M-300,primary,True,29.882,"LINESTRING (-3.4079313 40.3862512, -3.4078528 40.3859892)",,,
67821570,True,1,M-300,primary,False,86.114,"LINESTRING (-3.4079313 40.3862512, -3.407971 40.3865098, -3.4080054 40.3866602, -3.4080616 40.3868917, -3.4080962 40.3870149)",,,
934998506,True,2,M-300,primary,False,50.477,"LINESTRING (-3.4073251 40.3853479, -3.4072872 40.3853829, -3.4072601 40.3854234, -3.4072451 40.3854673, -3.4072429 40.3855127, -3.4072537 40.3855573, -3.4072769 40.3855991, -3.4073115 40.3856361, -3.4073557 40.3856665, -3.4074075 40.3856889, -3.4074645 40.3857023)",40,roundabout,
"[785181683, 786534054, 24005791]",False,2,M-300,primary,False,110.86800000000001,"LINESTRING (-3.4073788 40.3848263, -3.4073474 40.3846466, -3.4073248 40.3844967, -3.4072959 40.3843056, -3.4072659 40.3840715, -3.4072417 40.3838349)",,,
126546066,True,1,M-300,primary,False,59.107,"LINESTRING (-3.4073788 40.3848263, -3.4074086 40.3850039, -3.4074042 40.3851143, -3.4073797 40.3852263, -3.407365 40.385259, -3.4073251 40.3853479)",40,,
126546069,True,1,M-300,primary,False,176.80499999999998,"LINESTRING (-3.407082 40.3820098, -3.4071204 40.3824836, -3.4071554 40.382922, -3.4071748 40.3832367, -3.4072176 40.3835963)",,,
126546069,True,1,M-300,primary,False,59.999,"LINESTRING (-3.4071852 40.3814781, -3.407105 40.3817371, -3.4070852 40.3818871, -3.407082 40.3820098)",,,
126546121,True,1,M-300,primary_link,False,79.83,"LINESTRING (-3.4071852 40.3814781, -3.4072565 40.3813957, -3.407293 40.3813135, -3.4073626 40.3811569, -3.4075986 40.3808368)",,,
126546137,True,1,M-219,tertiary_link,False,40.29,"LINESTRING (-3.4071852 40.3814781, -3.4071397 40.3814307, -3.4070759 40.3813953, -3.4069528 40.3813363, -3.4068951 40.3812984, -3.4068429 40.3812352)",,,
430170933,True,1,M-300,primary,False,39.851,"LINESTRING (-3.4073246 40.3811358, -3.4071852 40.3814781)",,,
94656488,True,1,M-219,tertiary_link,False,52.208999999999996,"LINESTRING (-3.4073246 40.3811358, -3.4071972 40.3812742, -3.4071525 40.3813031, -3.4070997 40.3813137, -3.4070412 40.3813116, -3.4069908 40.3812973, -3.4069632 40.3812857, -3.4068429 40.3812352)",,,
22725774,True,1,M-300,primary_link,False,38.095,"LINESTRING (-3.40677 40.381168, -3.4069275 40.3814889)",,,
94656540,True,1,M-219,primary_link,False,24.47,"LINESTRING (-3.4069275 40.3814889, -3.4070047 40.3815223, -3.4070823 40.3815248, -3.4071312 40.3815137, -3.4071852 40.3814781)",,,
430170929,True,1,M-219,primary_link,False,59.607,"LINESTRING (-3.4069275 40.3814889, -3.4070172 40.3816981, -3.4070563 40.3818353, -3.407082 40.3820098)",,,
24005790,True,1,M-300,primary,False,46.53099999999999,"LINESTRING (-3.4074645 40.3857023, -3.4076627 40.3858, -3.4078053 40.3859319, -3.4078528 40.3859892)",,,
934998505,True,2,M-300,primary,False,27.175,"LINESTRING (-3.4074645 40.3857023, -3.4075177 40.385706, -3.4075709 40.3857018, -3.407622 40.3856898, -3.4076691 40.3856704, -3.4077103 40.3856444, -3.4077441 40.3856129)",40,roundabout,
936493930,True,2,M-300,primary,False,6.785,"LINESTRING (-3.4077112 40.3853512, -3.4076473 40.3853144)",40,roundabout,
94656552,True,1,M-300,primary,False,186.215,"LINESTRING (-3.4084054 40.3796811, -3.4081577 40.3799369, -3.4080003 40.3801551, -3.4077506 40.3805041, -3.4075307 40.3808129, -3.4073246 40.3811358)",,,
643552798,False,,,residential,True,4.92,"LINESTRING (-3.4110039 40.382243, -3.411029 40.3822031)",,,Calle de Arganda
404599089,True,,,residential,False,76.47,"LINESTRING (-3.4110039 40.382243, -3.4109075 40.3821859, -3.4106923 40.382011, -3.4104883 40.3817692, -3.4104624 40.3817046)",,,Calle Virgen de las Angustias
404614323,False,,,residential,False,8.637,"LINESTRING (-3.4110039 40.382243, -3.4110249 40.3822769, -3.4110506 40.382312)",,,Calle Virgen de las Angustias
404609830,False,,M-217,tertiary,False,8.995,"LINESTRING (-3.4135998 40.3856195, -3.4135154 40.3855704)",,,Avenida de la Constitución
1102566226,False,,M-217,tertiary,True,12.41,"LINESTRING (-3.4135998 40.3856195, -3.4137122 40.3856911)",,,Avenida de la Constitución
404609828,True,,,residential,False,12.461,"LINESTRING (-3.4135998 40.3856195, -3.4136181 40.3856119, -3.4136323 40.3856, -3.4136407 40.3855852, -3.4136422 40.3855692, -3.4136368 40.3855537, -3.4136251 40.3855403, -3.4136085 40.3855308)",,,Calle las Vallas
404614323,False,,,residential,False,44.769999999999996,"LINESTRING (-3.4116495 40.3831353, -3.4116856 40.3832252, -3.411697 40.3833, -3.4117099 40.3834403, -3.4117826 40.3835146)",,,Calle Virgen de las Angustias
404614323,False,,,residential,True,64.997,"LINESTRING (-3.4116495 40.3831353, -3.4114498 40.3827769, -3.4113447 40.3826336, -3.4113209 40.3826084)",,,Calle Virgen de las Angustias
28343321,True,,,residential,False,114.363,"LINESTRING (-3.4099926 40.3797685, -3.4097828 40.3799222, -3.4091239 40.3805538)",,,Calle del Val
"[186918795, 30295716]",False,,,residential,False,38.84,"LINESTRING (-3.4099926 40.3797685, -3.4100978 40.3796125, -3.4101736 40.3795057, -3.4102369 40.3794849)",,,"['Camino del Val', 'Calle del Val']"
