osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,access,junction
27481230,CV-941,Calle Galant Delgado,secondary,False,False,58.041,,,"LINESTRING (-0.7894755 37.9744294, -0.7893646 37.974944)",,
689013358,CV-941,,secondary,False,True,10.897,2,,"LINESTRING (-0.7894755 37.9744294, -0.7895238 37.9743391)",,
27481219,CV-941,Avenida Diecinueve de Abril,residential,False,False,32.496,2,50,"LINESTRING (-0.7888747 37.9774378, -0.7888811 37.97773)",,
184155159,,Plaza Juan Carlos I,tertiary,False,False,7.58,,30,"LINESTRING (-0.7888747 37.9774378, -0.7888707 37.9773697)",,
"[27481224, 1093981953]",CV-941,"['plaza de Juan Carlos I', 'plaza de la Libertad']",secondary,False,True,89.634,2,,"LINESTRING (-0.7888747 37.9774378, -0.7894204 37.9773529, -0.7898033 37.977288, -0.7898494 37.9772416)",,
27576416,CV-941,Avenida Diecinueve de Abril,residential,True,False,23.667,,,"LINESTRING (-0.7891762 37.9808262, -0.7891483 37.9810379)",,
709173114,CV-941,Avenida Diecinueve de Abril,residential,False,True,7.344,2,50,"LINESTRING (-0.7891762 37.9808262, -0.789169 37.9807604)",,
29735458,,Calle de Eduardo Chillida,residential,False,False,59.743,,,"LINESTRING (-0.7877731 37.9813776, -0.7884532 37.9813414)",,
29735485,,Calle Vega Baja,residential,False,True,58.815,,,"LINESTRING (-0.7877731 37.9813776, -0.7877333 37.9808496)",,
"[29735625, 29735458]",,"['Calle del Montesico Blanco', 'Calle de Eduardo Chillida']",residential,False,"[False, True]",128.556,,,"LINESTRING (-0.7877731 37.9813776, -0.7872055 37.9814059, -0.7865648 37.9809099)",,
29735458,,Calle de Eduardo Chillida,residential,False,True,57.775,,,"LINESTRING (-0.7891115 37.9813144, -0.7890512 37.9813169, -0.7884532 37.9813414)",,
29735485,,Calle Vega Baja,residential,False,False,48.711,,,"LINESTRING (-0.7876271 37.9799221, -0.7876756 37.9803585)",,
29735485,,Calle Vega Baja,residential,False,True,49.283,,,"LINESTRING (-0.7876271 37.9799221, -0.7875891 37.9794799)",,
116498762,,Calle Ruiz Caracena,residential,False,False,58.723,,,"LINESTRING (-0.7876271 37.9799221, -0.7882951 37.9798814)",,
116498762,,Calle Ruiz Caracena,residential,False,True,40.326,,,"LINESTRING (-0.7876271 37.9799221, -0.7871695 37.9799598)",,
29735508,,Calle de Carmelo Pérez,residential,True,False,40.64,,,"LINESTRING (-0.7923486 37.9801019, -0.7918863 37.9801301)",,
"[687821864, 687821865]",,Ronda Oeste,tertiary,False,False,51.928999999999995,2,"['20', '50']","LINESTRING (-0.7923486 37.9801019, -0.7923544 37.9801681, -0.7923802 37.9804627, -0.7923872 37.9805679)",,
687821865,,Ronda Oeste,tertiary,False,True,74.432,2,20,"LINESTRING (-0.7923486 37.9801019, -0.7923548 37.9799991, -0.7923613 37.9798992, -0.792378 37.9797993, -0.7924204 37.9796448, -0.792471 37.9794984, -0.7924887 37.9794443)",,
242815165,,Calle de Carmelo Pérez,residential,False,False,66.21,,,"LINESTRING (-0.7891161 37.9802738, -0.7883626 37.9803162)",,
242815165,,Calle de Carmelo Pérez,residential,False,True,35.548,,,"LINESTRING (-0.7891161 37.9802738, -0.7895211 37.9802566)",,
709173114,CV-941,Avenida Diecinueve de Abril,residential,False,False,28.347,2,50,"LINESTRING (-0.7891161 37.9802738, -0.7891437 37.9805278)",,
709173114,CV-941,Avenida Diecinueve de Abril,residential,False,True,23.72,2,50,"LINESTRING (-0.7891161 37.9802738, -0.7890924 37.9800613)",,
29735485,,Calle Vega Baja,residential,False,False,54.842,,,"LINESTRING (-0.7876756 37.9803585, -0.7877333 37.9808496)",,
29735485,,Calle Vega Baja,residential,False,True,48.711,,,"LINESTRING (-0.7876756 37.9803585, -0.7876271 37.9799221)",,
709173120,,Calle de Carmelo Pérez,residential,False,False,82.079,,,"LINESTRING (-0.7876756 37.9803585, -0.7867435 37.9804298)",,
709173120,,Calle de Carmelo Pérez,residential,False,True,60.397,,,"LINESTRING (-0.7876756 37.9803585, -0.7883626 37.9803162)",,
29735625,,Calle del Montesico Blanco,residential,False,False,64.229,,,"LINESTRING (-0.7867435 37.9804298, -0.7871695 37.9799598)",,
709173120,,Calle de Carmelo Pérez,residential,False,True,82.079,,,"LINESTRING (-0.7867435 37.9804298, -0.7876756 37.9803585)",,
29735625,,Calle del Montesico Blanco,residential,False,True,66.332,,,"LINESTRING (-0.7867435 37.9804298, -0.7864306 37.9807913, -0.7865648 37.9809099)",,
29735529,,Calle de Alberto Barberà,residential,False,False,60.672,,,"LINESTRING (-0.7907814 37.980677, -0.79009 37.9807039)",,
29735529,,Calle de Alberto Barberà,residential,False,True,68.425,,,"LINESTRING (-0.7907814 37.980677, -0.7915585 37.980618)",,
29735547,,Calle Miguel Hernández,residential,False,False,55.187,1,50,"LINESTRING (-0.7907814 37.980677, -0.79066 37.98019)",,
478909797,,Calle Miguel Hernández,residential,False,True,44.003,1,50,"LINESTRING (-0.7907814 37.980677, -0.7909087 37.9810598)",,
"[27481230, 27481223]",CV-941,"['plaza de la Libertad', 'Calle Galant Delgado']",secondary,False,True,116.902,,,"LINESTRING (-0.7898494 37.9772416, -0.7898502 37.9771462, -0.7898505 37.9771117, -0.7898092 37.9768781, -0.7896992 37.9763665, -0.7896431 37.9762058)",,
"[27481224, 1093981953]",CV-941,"['plaza de Juan Carlos I', 'plaza de la Libertad']",secondary,False,False,89.634,2,,"LINESTRING (-0.7898494 37.9772416, -0.7898033 37.977288, -0.7894204 37.9773529, -0.7888747 37.9774378)",,
171606008,,Calle de Rafael Narbona,residential,False,True,33.99,2,50,"LINESTRING (-0.7901873 37.9783657, -0.790574 37.9783427)",,
709173109,,Calle Miguel Hernández,residential,True,False,57.459,,,"LINESTRING (-0.7901873 37.9783657, -0.7900472 37.9778609)",,
29735547,,Calle Miguel Hernández,residential,False,True,55.187,1,50,"LINESTRING (-0.79066 37.98019, -0.7907814 37.980677)",,
709173112,,Calle Miguel Hernández,residential,True,False,47.653,1,50,"LINESTRING (-0.79066 37.98019, -0.7905441 37.9797713)",,
709173111,,Calle de Carmelo Pérez,residential,True,False,54.044000000000004,,,"LINESTRING (-0.79066 37.98019, -0.7901258 37.980219, -0.7900449 37.980224)",,
222149436,,Calle Joaquín Martínez,residential,True,False,86.593,,,"LINESTRING (-0.7903999 37.9792624, -0.7894149 37.9793227)",,
709173112,,Calle Miguel Hernández,residential,True,False,15.431,1,50,"LINESTRING (-0.7903999 37.9792624, -0.7903726 37.9791253)",,
27481219,CV-941,Avenida Diecinueve de Abril,residential,False,True,55.145,2,50,"LINESTRING (-0.7889029 37.9784383, -0.7888801 37.9779427)",,
239573128,,Calle de Rafael Narbona,tertiary,False,False,40.424,,,"LINESTRING (-0.7889029 37.9784383, -0.7884437 37.9784722)",,
239573130,CV-941,Avenida Diecinueve de Abril,residential,False,False,62.669,2,50,"LINESTRING (-0.7889029 37.9784383, -0.7889687 37.9789995)",,
709173110,,Calle de Rafael Narbona,residential,True,False,36.218,1,50,"LINESTRING (-0.7889029 37.9784383, -0.7893137 37.9784031)",,
