osmid,name,highway,oneway,reversed,length,junction,geometry,maxspeed,tunnel
79291608,Calle Jerónimo Santa Fe,primary,False,True,6.523,,"LINESTRING (-1.699217 37.67068, -1.6991755 37.6707286)",,
79291608,Calle Jerónimo Santa Fe,primary,False,False,47.736999999999995,,"LINESTRING (-1.699217 37.67068, -1.6993346 37.670532, -1.6995105 37.670319)",,
99637656,Calle María Agustina,residential,False,False,83.87700000000001,,"LINESTRING (-1.699217 37.67068, -1.6991592 37.6705865, -1.6989223 37.6699639)",,
124451624,Calle Serrallo,residential,False,True,62.704,,"LINESTRING (-1.6982212 37.6719414, -1.6983153 37.6719761, -1.6988669 37.6721797)",,
1003728357,Avenida de Juan Carlos I,primary,False,False,59.338,,"LINESTRING (-1.6982212 37.6719414, -1.6981677 37.6720089, -1.6978604 37.6723922)",,
1003728357,Avenida de Juan Carlos I,primary,False,True,84.027,,"LINESTRING (-1.6982212 37.6719414, -1.6983703 37.6717547, -1.6987354 37.6713047)",,
110208718,Calle Nogalte,tertiary,False,False,33.309,,"LINESTRING (-1.7006417 37.6721467, -1.7005137 37.6724286)",,
79291606,Calle bordadora Ángela Morales,residential,True,False,78.91799999999999,,"LINESTRING (-1.7006417 37.6721467, -1.700736 37.6721698, -1.7013668 37.6723043, -1.701499 37.6723508)",,
110208718,Calle Nogalte,tertiary,False,True,32.45,,"LINESTRING (-1.7006417 37.6721467, -1.7006699 37.6720882, -1.700773 37.671874)",,
235363075,Calle Nogalte,residential,False,True,9.744,,"LINESTRING (-1.7001413 37.673192, -1.700191 37.6731137)",,
79291569,Avenida de Juan Carlos I,primary,False,False,169.54299999999998,,"LINESTRING (-1.6976985 37.6725991, -1.6976353 37.6726799, -1.6973582 37.6730345, -1.697027 37.6734653, -1.696778 37.6737877, -1.6967313 37.6738472, -1.6966915 37.6738989)",,
1003841613,Avenida de Juan Carlos I,primary,False,True,27.061999999999998,,"LINESTRING (-1.6976985 37.6725991, -1.6977454 37.6725404, -1.6978604 37.6723922)",,
79291580,Calle poeta Carlos Mellado,residential,True,False,121.751,,"LINESTRING (-1.6989565 37.6730513, -1.6989032 37.6730432, -1.6985337 37.672914, -1.6981841 37.6727813, -1.6978009 37.6726375, -1.6976985 37.6725991)",,
"[110208715, 110203380]","['Calle Santa Paula', 'Calle Príncipe Alfonso']",tertiary,True,False,214.22799999999998,,"LINESTRING (-1.6989565 37.6730513, -1.6989782 37.6730186, -1.6993529 37.6724162, -1.6993765 37.6723756, -1.6993896 37.6723492, -1.6994182 37.6722914, -1.6994291 37.6722694, -1.6994378 37.6722518, -1.6989523 37.671416, -1.6988886 37.6713064)",,
125207951,Calle Cuesta de San Francisco,tertiary,False,False,108.97,,"LINESTRING (-1.6989565 37.6730513, -1.6990413 37.6730514, -1.6992148 37.6730515, -1.6994304 37.6730722, -1.7001057 37.6731043, -1.700191 37.6731137)",,
165255932,Calle Prebistero Emilio García Navarro,residential,True,False,79.465,,"LINESTRING (-1.6980706 37.6744652, -1.6975946 37.6742747, -1.6972648 37.6741428)",,
"[110203380, 191502375]","['Calle Lope Gisbert', 'Calle Príncipe Alfonso']",tertiary,True,False,175.496,,"LINESTRING (-1.6980706 37.6744652, -1.6982263 37.6742109, -1.6984277 37.6738979, -1.6984706 37.6738297, -1.6986481 37.6735407, -1.6987132 37.6734405, -1.6989565 37.6730513)",,
82258344,Calle del Álamo,residential,True,False,54.288,,"LINESTRING (-1.6975935 37.6752293, -1.6978386 37.6753265, -1.6981562 37.6754284)",,
191502375,Calle Lope Gisbert,tertiary,True,False,94.80000000000001,,"LINESTRING (-1.6975935 37.6752293, -1.6979409 37.6746936, -1.6980706 37.6744652)",,
79291583,Calle Prebistero Emilio García Navarro,residential,False,False,57.283,,"LINESTRING (-1.6966915 37.6738989, -1.6972648 37.6741428)",,
79291569,Avenida de Juan Carlos I,primary,False,False,107.218,,"LINESTRING (-1.6966915 37.6738989, -1.6966436 37.6739591, -1.6960899 37.6746772, -1.696057 37.674722)",,
79291569,Avenida de Juan Carlos I,primary,False,True,169.543,,"LINESTRING (-1.6966915 37.6738989, -1.6967313 37.6738472, -1.696778 37.6737877, -1.697027 37.6734653, -1.6973582 37.6730345, -1.6976353 37.6726799, -1.6976985 37.6725991)",,
79291569,Avenida de Juan Carlos I,primary,False,True,11.498,,"LINESTRING (-1.6959862 37.6748089, -1.696057 37.674722)",,
79291584,Calle Musso Valiente,residential,True,False,152.42999999999998,,"LINESTRING (-1.6959862 37.6748089, -1.6960676 37.6748552, -1.6964971 37.6750758, -1.6966167 37.6751232, -1.6974622 37.675215, -1.6975935 37.6752293)",,
191502374,Avenida de Juan Carlos I,primary,False,False,114.735,,"LINESTRING (-1.6959862 37.6748089, -1.6959044 37.6749155, -1.695365 37.6756181, -1.6953092 37.6756907)",,
191502374,Avenida de Juan Carlos I,primary,False,True,114.735,,"LINESTRING (-1.6953092 37.6756907, -1.695365 37.6756181, -1.6959044 37.6749155, -1.6959862 37.6748089)",,
79291803,Calle Alfonso X El Sabio,residential,True,False,136.959,,"LINESTRING (-1.7003451 37.6744011, -1.7002689 37.674045, -1.7002284 37.6738557, -1.7002038 37.673772, -1.7001224 37.673495, -1.7001126 37.6734617, -1.7000967 37.6734077, -1.7001413 37.673192)",,
79291856,Calle Padre García,residential,False,False,37.692,,"LINESTRING (-1.7003451 37.6744011, -1.7003996 37.6744731, -1.7006127 37.6746644)",,
112939020,Calle Vicente Ruiz Llamas,residential,True,False,27.941000000000003,,"LINESTRING (-1.7003451 37.6744011, -1.7006332 37.6743555, -1.7006564 37.6743518)",,
79291805,Calle Granero,residential,False,False,59.587999999999994,,"LINESTRING (-1.7003327 37.6749553, -1.7001275 37.6752718, -1.6999961 37.6754189)",,
112956370,Calle Fernando El Santo,residential,True,False,61.803999999999995,,"LINESTRING (-1.7003327 37.6749553, -1.7003216 37.6745132, -1.7003451 37.6744011)",,
79291805,Calle Granero,residential,False,True,14.615,,"LINESTRING (-1.6998944 37.6755228, -1.6999961 37.6754189)",,
79291873,Calle Rambla Alta,residential,False,False,58.33,,"LINESTRING (-1.7037588 37.6681637, -1.7043894 37.668325)",,
79291873,Calle Rambla Alta,residential,False,True,54.936,,"LINESTRING (-1.7037588 37.6681637, -1.7031455 37.668072)",,
80430887,Travesía Guevara,residential,True,False,32.667,,"LINESTRING (-1.7037588 37.6681637, -1.7036403 37.6684421)",,
164945851,Calle Juan José Martínez Ferrá,residential,False,True,19.002,,"LINESTRING (-1.7037588 37.6681637, -1.7038279 37.6680018)",,
164941989,Calle Franco,residential,True,False,24.955,,"LINESTRING (-1.7023956 37.6701278, -1.7023626 37.6699049)",,
106534396,Calle Cañada del Sepulcro,residential,False,False,41.684,,"LINESTRING (-1.7023956 37.6701278, -1.7025708 37.67021, -1.702837 37.6702454)",,
80424106,Calle Romero,residential,False,True,49.646,,"LINESTRING (-1.7023626 37.6699049, -1.7029264 37.6698913)",,
164941987,Calle Potro,residential,False,True,22.159,,"LINESTRING (-1.7023626 37.6699049, -1.7023554 37.6697057)",,
165981795,Calle Romero,residential,True,False,20.83,,"LINESTRING (-1.7023626 37.6699049, -1.7021269 37.669888)",,
124536086,Calle Segunda Caída,residential,False,False,22.874,,"LINESTRING (-1.7020961 37.6697195, -1.7023554 37.6697057)",,
124536086,Calle Segunda Caída,residential,False,True,9.392,,"LINESTRING (-1.7020961 37.6697195, -1.702075 37.6698023)",,
79291867,Calle Segunda Caída,residential,False,False,10.568,,"LINESTRING (-1.7021269 37.669888, -1.702075 37.6698023)",,
79291869,Calle Vieja del Carmen,residential,True,False,59.428,,"LINESTRING (-1.7021269 37.669888, -1.7019383 37.6702513, -1.7017627 37.6702239)",,
124445852,Calle Sebastián Clavijo,residential,False,False,6.352,,"LINESTRING (-1.7026954 37.6692161, -1.7026316 37.6691894)",,
141561754,Calle Pintor Muñoz,residential,False,True,88.081,,"LINESTRING (-1.7026954 37.6692161, -1.7029151 37.6692841, -1.7029951 37.669378, -1.7031458 37.6695029, -1.7032574 37.6695806, -1.7034481 37.6697145)",,
164941987,Calle Potro,residential,False,False,62.182,,"LINESTRING (-1.7026954 37.6692161, -1.7025882 37.6693511, -1.7024379 37.6695689, -1.7023554 37.6697057)",,
79291863,Calle Redón,residential,False,True,7.416,,"LINESTRING (-1.7014918 37.671532, -1.7015083 37.6715974)",,
79291865,Calle Franco,residential,False,False,31.062,,"LINESTRING (-1.7016277 37.6722943, -1.7018501 37.6720774)",,
79291860,Placica Nueva,residential,True,False,8.05,roundabout,"LINESTRING (-1.7016277 37.6722943, -1.7016018 37.6722868, -1.7015728 37.6722863, -1.70154 37.6722957)",,
79291858,Calle de la Placica Nueva,residential,False,False,56.661,,"LINESTRING (-1.7016011 37.6724213, -1.7016198 37.6724849, -1.7017042 37.6726656, -1.7018223 37.6728992)",,
79291860,Placica Nueva,residential,True,False,18.48,roundabout,"LINESTRING (-1.7016011 37.6724213, -1.7016396 37.6724072, -1.7016629 37.6723842, -1.7016709 37.6723637, -1.7016701 37.6723403, -1.7016529 37.6723112, -1.7016277 37.6722943)",,
79291863,Calle Redón,residential,False,False,29.468,,"LINESTRING (-1.70154 37.6722957, -1.7015173 37.6720313)",,
79291860,Placica Nueva,residential,True,False,7.324,roundabout,"LINESTRING (-1.70154 37.6722957, -1.7015127 37.6723169, -1.701499 37.6723508)",,
79291859,Calle Narciso Yepes,residential,True,False,11.364,,"LINESTRING (-1.7017652 37.673253, -1.7016446 37.6732165)",,
112951950,calle Herradura,residential,False,True,7.394,,"LINESTRING (-1.7017652 37.673253, -1.701754 37.6733189)",,
112951952,Calle Herradura,residential,False,True,40.362,,"LINESTRING (-1.7017652 37.673253, -1.7018431 37.6729404, -1.7018223 37.6728992)",,
79291860,Placica Nueva,residential,True,False,13.574000000000002,roundabout,"LINESTRING (-1.701499 37.6723508, -1.7015039 37.6723769, -1.7015272 37.6724046, -1.7015553 37.6724181, -1.7016011 37.6724213)",,
110208718,Calle Nogalte,tertiary,False,False,28.527,,"LINESTRING (-1.7003072 37.6728742, -1.700191 37.6731137)",,
110208718,Calle Nogalte,tertiary,False,True,52.778000000000006,,"LINESTRING (-1.7003072 37.6728742, -1.7003739 37.6727254, -1.7005137 37.6724286)",,
79291859,Calle Narciso Yepes,residential,True,False,31.930999999999997,,"LINESTRING (-1.7006553 37.6729551, -1.7003833 37.6728919, -1.7003072 37.6728742)",,
112951948,Calle Espín Alta,residential,False,True,138.256,,"LINESTRING (-1.7006553 37.6729551, -1.7005579 37.6731832, -1.7008438 37.6732528, -1.7011796 37.6733903, -1.7013393 37.6734187, -1.7014215 37.6734215, -1.7015234 37.6733481, -1.7016446 37.6732165)",,
79291856,Calle Padre García,residential,False,False,73.882,,"LINESTRING (-1.7006127 37.6746644, -1.7009127 37.6748316, -1.7012993 37.6750467)",,
79291856,Calle Padre García,residential,False,True,37.692,,"LINESTRING (-1.7006127 37.6746644, -1.7003996 37.6744731, -1.7003451 37.6744011)",,
112938641,Calle Padre Morote,residential,False,False,103.351,,"LINESTRING (-1.7006127 37.6746644, -1.7006722 37.6748018, -1.7007241 37.6749648, -1.7007845 37.6751506, -1.7008393 37.6753195, -1.7009032 37.6755642)",,
80424125,Calle Donis,residential,False,False,47.665000000000006,,"LINESTRING (-1.7006564 37.6743518, -1.7010275 37.6746164, -1.7010609 37.6746367)",,
112939020,Calle Vicente Ruiz Llamas,residential,True,False,85.601,,"LINESTRING (-1.7006564 37.6743518, -1.7010069 37.6742078, -1.701233 37.6741105, -1.7014979 37.6739679)",,
110203385,Calle Galdo,residential,False,True,9.73,,"LINESTRING (-1.7009032 37.6755642, -1.7010071 37.6755941)",,
110203385,Calle Galdo,residential,False,False,36.494,,"LINESTRING (-1.7009032 37.6755642, -1.7007647 37.6755349, -1.7005011 37.6754841)",,
112938641,Calle Padre Morote,residential,False,True,103.35099999999998,,"LINESTRING (-1.7009032 37.6755642, -1.7008393 37.6753195, -1.7007845 37.6751506, -1.7007241 37.6749648, -1.7006722 37.6748018, -1.7006127 37.6746644)",,
79292022,Calle Romano,residential,False,False,23.0,,"LINESTRING (-1.7015471 37.6754686, -1.7016692 37.6755109, -1.7017875 37.6755497)",,
110203385,Calle Galdo,residential,False,False,44.961999999999996,,"LINESTRING (-1.7015471 37.6754686, -1.7011776 37.6755724, -1.7010634 37.6755983)",,
