osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,access,tunnel
82883930,2,Calle Rondilla de la Cruz Verde,residential,40,False,False,111.198,"LINESTRING (-3.2109708 39.3942836, -3.2117469 39.3934834)",,,,
196764239,2,Calle Rondilla de la Cruz Verde,residential,40,False,True,18.883,"LINESTRING (-3.2109708 39.3942836, -3.2107831 39.3943719)",,,,
196764913,,Calle Cardenal Cisneros,residential,30,True,False,94.00900000000001,"LINESTRING (-3.2109708 39.3942836, -3.2119242 39.3940187, -3.2120003 39.3939976)",,,,
83013152,1,Calle Rondilla de la Cruz Verde,residential,40,True,False,42.425,"LINESTRING (-3.2135896 39.3909064, -3.2134372 39.3912693)",,,,
196765870,2,Calle Tomás Tapia,residential,,False,True,69.514,"LINESTRING (-3.2135896 39.3909064, -3.2143263 39.3911646)",,,,
638805988,2,Calle General Benavent García,residential,,False,False,63.605999999999995,"LINESTRING (-3.2135896 39.3909064, -3.213108 39.3907344, -3.212936 39.3906418)",,,,
182783682,,Plaza Santa Quiteria,residential,30,False,True,35.25,"LINESTRING (-3.2103571 39.3905445, -3.2104858 39.3908455)",,,,
197177347,,Calle Concordia,residential,30,True,False,206.813,"LINESTRING (-3.2103571 39.3905445, -3.211465 39.3906092, -3.2126672 39.3906803, -3.2127558 39.3906917)",,,,
"[262668131, 262668135]",,"['Calle San Francisco', 'Plaza Santa Quiteria']",residential,30,False,"[False, True]",97.044,"LINESTRING (-3.2103571 39.3905445, -3.210108 39.3900528, -3.2100502 39.3900426, -3.2096728 39.3899774)",,,,
262668138,,Calle Virgen,residential,30,False,False,10.582,"LINESTRING (-3.2069407 39.3890119, -3.2068302 39.3890539)",,,,
551934250,,,residential,30,True,False,4.932,"LINESTRING (-3.2051074 39.3889106, -3.2050979 39.3889316, -3.2050974 39.3889537)",roundabout,,,
82884271,1,Calle Doctor Bonardell,residential,30,True,False,52.412,"LINESTRING (-3.2129073 39.3891042, -3.2123468 39.38929)",,,,
82884271,1,Calle Doctor Bonardell,residential,30,True,False,105.018,"LINESTRING (-3.2140523 39.3887742, -3.2129073 39.3891042)",,,,
83013152,1,Calle Rondilla de la Cruz Verde,residential,40,True,False,66.633,"LINESTRING (-3.2140523 39.3887742, -3.2139519 39.3893684)",,,,
263720143,,Avenida de Herencia,residential,,False,False,51.675,"LINESTRING (-3.2140523 39.3887742, -3.2146348 39.3886589)",,,,
263485474,,Calle Gracia,residential,30,False,False,159.98399999999998,"LINESTRING (-3.2140523 39.3887742, -3.2142165 39.3880057, -3.2142245 39.3878351, -3.2142134 39.3876349, -3.2141857 39.3874483, -3.2141519 39.3873508)",,,,
1224430402,1,Calle Gracia,residential,30,True,False,24.49,"LINESTRING (-3.2141519 39.3873508, -3.2140553 39.3871436)",,,,
263485474,,Calle Gracia,residential,30,False,True,159.984,"LINESTRING (-3.2141519 39.3873508, -3.2141857 39.3874483, -3.2142134 39.3876349, -3.2142245 39.3878351, -3.2142165 39.3880057, -3.2140523 39.3887742)",,,,
551938230,,Calle Moraleja,residential,30,True,False,66.191,"LINESTRING (-3.2118819 39.3860733, -3.2117128 39.3859182, -3.2116137 39.3858758, -3.2112323 39.3857979)",,,,
563048392,,Calle Pozo Cardona,residential,30,True,False,103.997,"LINESTRING (-3.2106618 39.3861904, -3.2112619 39.3861579, -3.2118704 39.386162)",,,,
197180594,,Calle Salitre,residential,30,True,False,16.83,"LINESTRING (-3.2115416 39.3867574, -3.2117289 39.3867132)",,,,
83013263,,Calle Rubio,residential,30,True,False,100.771,"LINESTRING (-3.2115416 39.3867574, -3.2108 39.3863872, -3.2106618 39.3861904)",,,,
552230855,,Calle Salitre,residential,,False,False,24.892,"LINESTRING (-3.2105706 39.387253, -3.2108064 39.387123)",,,,
197180590,,Calle San Juan,residential,30,True,False,94.852,"LINESTRING (-3.2105706 39.387253, -3.2105469 39.3872639, -3.2100526 39.3874968, -3.2096163 39.3876811)",,,,
82884293,,Calle Pedro Díaz Morante,residential,30,True,False,79.359,"LINESTRING (-3.2112848 39.3877054, -3.2111459 39.3876171, -3.2105706 39.387253)",,,,
83013283,,Calle San Antonio,residential,30,True,False,149.709,"LINESTRING (-3.2096163 39.3876811, -3.2100086 39.3878517, -3.2104736 39.3878189, -3.210986 39.387759, -3.2112848 39.3877054)",,,,
197180590,,Calle San Juan,residential,30,True,False,62.769,"LINESTRING (-3.2096163 39.3876811, -3.2092878 39.3877771, -3.2090723 39.3878348, -3.2090109 39.3878524, -3.208981 39.3878671, -3.2089965 39.387904)",,,,
82884300,,Avenida de Cervera,residential,30,True,False,51.78,"LINESTRING (-3.2089965 39.387904, -3.2089775 39.3878662, -3.2089214 39.3878422, -3.2088582 39.3878164, -3.2088034 39.3877814, -3.2086709 39.387634, -3.2086246 39.3875559)",,,,
83014351,,Plaza de Cervantes,residential,30,True,False,43.884,"LINESTRING (-3.2089965 39.387904, -3.2085823 39.388085, -3.2085512 39.3880971)",,,,
82884300,,Avenida de Cervera,residential,30,True,False,18.409,"LINESTRING (-3.2086246 39.3875559, -3.2086056 39.387391)",,,,
951488862,,Avenida de Cervera,residential,30,True,False,53.201,"LINESTRING (-3.2080643 39.3862793, -3.2078402 39.3858333)",,3.7,,
263485477,,Calle Carmen,residential,30,True,False,78.091,"LINESTRING (-3.2132419 39.3866676, -3.2139334 39.3871232)",,,,
197180594,,Calle Salitre,residential,30,True,False,54.591,"LINESTRING (-3.2126067 39.3866716, -3.2132419 39.3866676)",,,,
197197057,2,Calle Carrasola,residential,40,False,True,15.809,"LINESTRING (-3.2068644 39.386872, -3.2069571 39.3867492)",,,,
666544963,,Calle Pozo Coronado,residential,30,False,False,26.139,"LINESTRING (-3.2068644 39.386872, -3.2067106 39.3870748)",,,,
197197627,,Plaza de la bolsa,residential,30,True,False,64.958,"LINESTRING (-3.2068644 39.386872, -3.2072736 39.3869827, -3.2075881 39.3870372)",,,,
82900288,,Plaza del Angel,residential,30,False,False,26.856,"LINESTRING (-3.2064474 39.387401, -3.2067044 39.3875384)",,,,
666544963,,Calle Pozo Coronado,residential,30,False,True,42.747,"LINESTRING (-3.2064474 39.387401, -3.2067106 39.3870748)",,,,
197197055,,Calle Pozo Coronado,residential,30,True,False,73.713,"LINESTRING (-3.2064474 39.387401, -3.2061655 39.3876869, -3.2059365 39.3879334)",,3.8,,
82900288,,Plaza del Angel,residential,30,False,True,26.856,"LINESTRING (-3.2067044 39.3875384, -3.2064474 39.387401)",,,,
197197059,,Calle Fray Patricio Panadero,residential,30,True,False,13.751,"LINESTRING (-3.2067044 39.3875384, -3.206672 39.3876595)",,,,
551934248,2,Calle Arroyo Mina,residential,40,False,False,60.448,"LINESTRING (-3.2054151 39.3881856, -3.2053815 39.3876426)",,,,
551934248,2,Calle Arroyo Mina,residential,40,False,True,78.83200000000001,"LINESTRING (-3.2054151 39.3881856, -3.2052607 39.3886982, -3.205205 39.3888757)",,,,
83014300,,Calle General Polavieja,residential,30,True,False,20.419,"LINESTRING (-3.2068302 39.3890539, -3.2068896 39.3888761)",,,,
262668138,,Calle Virgen,residential,30,False,True,10.582,"LINESTRING (-3.2068302 39.3890539, -3.2069407 39.3890119)",,,,
83014378,,Calle San Francisco,residential,30,True,False,28.267,"LINESTRING (-3.2068302 39.3890539, -3.2068616 39.3891706, -3.2068971 39.3893028)",,,,
262668138,,Calle Virgen,residential,30,False,False,61.648,"LINESTRING (-3.2068302 39.3890539, -3.2065944 39.3890941, -3.2065327 39.3891046, -3.2061218 39.3890747)",,,,
83014378,,Calle San Francisco,residential,30,True,False,148.374,"LINESTRING (-3.2068971 39.3893028, -3.2070233 39.3893818, -3.2078137 39.3895433, -3.2082142 39.3896221, -3.2085261 39.3897129)",,,,
263720143,,Avenida de Herencia,residential,,False,False,56.828,"LINESTRING (-3.2146348 39.3886589, -3.2152928 39.3886082)",,,,
263720143,,Avenida de Herencia,residential,,False,True,51.675,"LINESTRING (-3.2146348 39.3886589, -3.2140523 39.3887742)",,,,
82884293,,Calle Pedro Díaz Morante,residential,30,True,False,14.974,"LINESTRING (-3.2115415 39.3878729, -3.2114084 39.387786)",,,,
197191862,,Calle Morón,residential,30,True,False,75.92,"LINESTRING (-3.2115415 39.3878729, -3.2111016 39.388465)",,,,
197191862,,Calle Morón,residential,30,True,False,40.245,"LINESTRING (-3.2119985 39.3877939, -3.2115415 39.3878729)",,,,
