osmid,oneway,lanes,name,highway,maxspeed,reversed,length,junction,geometry,ref,tunnel
27997056,False,2,Avenida del Rey Juan Carlos I,primary,50,False,110.42,,"LINESTRING (-1.8040726 37.5666461, -1.8048694 37.5658798)",,
27997056,False,2,Avenida del Rey Juan Carlos I,primary,50,True,71.342,,"LINESTRING (-1.8040726 37.5666461, -1.8035564 37.5671403)",,
178078390,False,,Calle Teniente Antonio de Haro,residential,,False,60.588,,"LINESTRING (-1.8040726 37.5666461, -1.8035448 37.566297)",,
508419927,False,,Calle Velázquez,residential,,True,45.702,,"LINESTRING (-1.8040726 37.5666461, -1.8044681 37.5669119)",,
27997057,True,,,primary,,False,1.806,roundabout,"LINESTRING (-1.8073568 37.5633747, -1.8073456 37.5633611)",,
713661200,True,,,primary,,False,13.267999999999999,roundabout,"LINESTRING (-1.8072158 37.5633047, -1.8071658 37.5633076, -1.8071188 37.5633216, -1.8070786 37.5633454)",,
177857324,True,,Calle Orfeón Fernández Caballero,secondary,,False,21.965,,"LINESTRING (-1.8070573 37.5633658, -1.8068516 37.5634773)",,
713661200,True,,,primary,,False,14.384,roundabout,"LINESTRING (-1.8070573 37.5633658, -1.8070341 37.5634048, -1.8070269 37.5634475, -1.8070364 37.56349)",,
178084527,False,,Calle Pintor José López Serres,residential,,False,27.306,,"LINESTRING (-1.8100063 37.561978, -1.8101518 37.5617612)",,
178081287,False,1,Calle Mayor,secondary,40,True,33.742999999999995,,"LINESTRING (-1.8100063 37.561978, -1.8099567 37.5620566, -1.8098294 37.5621974, -1.8097944 37.5622294)",,
178081296,False,,Avenida del Doctor Salvador Caballero García,secondary,,False,237.377,,"LINESTRING (-1.8100063 37.561978, -1.8103208 37.5620736, -1.8107342 37.5621993, -1.8109139 37.5622539, -1.811022 37.5622868, -1.8111555 37.5623323, -1.8113294 37.5623915, -1.8115594 37.5624742, -1.8119161 37.5626346, -1.8120866 37.5627078, -1.8124417 37.5628767)",,
382840505,False,,Calle Nuestra Señora del Rosario,secondary,,True,74.925,,"LINESTRING (-1.8100063 37.561978, -1.8099113 37.5618903, -1.8095488 37.5615821, -1.8094944 37.5615127, -1.8094847 37.5614581)",,
713661199,True,,,primary,,False,14.800999999999998,roundabout,"LINESTRING (-1.8072897 37.5635668, -1.8073336 37.5635393, -1.8073645 37.5635023, -1.8073793 37.5634595)",,
140125843,False,,Calle Orfeón Fernández Caballero,secondary,,False,12.842,,"LINESTRING (-1.8030364 37.5651499, -1.8031461 37.5650739)",,
140125843,False,,Calle Orfeón Fernández Caballero,secondary,,True,70.225,,"LINESTRING (-1.8030364 37.5651499, -1.8024344 37.5655636)",,
178087003,False,,Calle Pliego,residential,,False,9.953,,"LINESTRING (-1.8030364 37.5651499, -1.8029678 37.5650788)",,
178161920,False,,Calle Doctor Caballero,residential,,False,56.796,,"LINESTRING (-1.8107727 37.5590328, -1.8112743 37.5593534)",,
507540703,False,,Calle San Francisco,secondary,,False,40.588,,"LINESTRING (-1.8107727 37.5590328, -1.8105288 37.5593424)",T-340a,
507540703,False,,Calle San Francisco,secondary,,True,40.588,,"LINESTRING (-1.8105288 37.5593424, -1.8107727 37.5590328)",T-340a,
178161917,False,,Calle Juan García Mellado,residential,,False,55.408,,"LINESTRING (-1.8105288 37.5593424, -1.8107876 37.5595535, -1.8109856 37.5596837)",,
507540703,False,,Calle San Francisco,secondary,,False,103.407,,"LINESTRING (-1.8105288 37.5593424, -1.8104035 37.5595239, -1.8103795 37.5595586, -1.8102578 37.5598054, -1.8102275 37.5598604, -1.8101349 37.5600545, -1.8100655 37.5601951)",T-340a,
