osmid,oneway,name,highway,reversed,length,geometry,junction,lanes,ref,maxspeed
181655210,True,Carrer de Sant Miquel,residential,False,87.745,"LINESTRING (-0.5964374 39.6282829, -0.5968419 39.6275579)",,,,
150499241,False,Carrer del duc de Lliria,secondary,False,98.215,"LINESTRING (-0.5964374 39.6282829, -0.5965616 39.6283136, -0.5975294 39.6285527)",,,,
150499241,False,Carrer del duc de Lliria,secondary,True,60.457,"LINESTRING (-0.5964374 39.6282829, -0.5959004 39.6281292, -0.5957757 39.6280935)",,,,
22902524,True,Carrer de Sant Miquel,tertiary,False,46.004,"LINESTRING (-0.5957378 39.6295348, -0.5958502 39.6293667, -0.5959762 39.6291641)",,,,
22902586,False,Carrer de Juan Izquierdo,residential,True,21.417,"LINESTRING (-0.5953629 39.6261238, -0.5954606 39.6263011)",,,,
172689615,True,Carrer Major,residential,False,10.577,"LINESTRING (-0.5953629 39.6261238, -0.5954838 39.6261432)",,,,
22902586,False,Carrer de Juan Izquierdo,residential,False,94.937,"LINESTRING (-0.5953629 39.6261238, -0.5952639 39.6259386, -0.5952452 39.6258813, -0.5952221 39.6255967, -0.5952077 39.6254686, -0.5951804 39.6253967, -0.5951418 39.6252952)",,,,
22902584,True,Plaça Major,residential,False,65.955,"LINESTRING (-0.5951418 39.6252952, -0.5950858 39.6250993, -0.5950328 39.6249101, -0.5950075 39.6247782, -0.5949985 39.6247129)",,,,
22902586,False,Carrer de Juan Izquierdo,residential,True,94.937,"LINESTRING (-0.5951418 39.6252952, -0.5951804 39.6253967, -0.5952077 39.6254686, -0.5952221 39.6255967, -0.5952452 39.6258813, -0.5952639 39.6259386, -0.5953629 39.6261238)",,,,
150525026,False,Plaça Major,residential,False,80.11500000000001,"LINESTRING (-0.5949985 39.6247129, -0.5954089 39.6247543, -0.5955922 39.624751, -0.5959255 39.624795)",,,,
181647785,True,Carrer del Mestre August Roca,residential,False,31.601,"LINESTRING (-0.5949985 39.6247129, -0.5949634 39.6246619, -0.5947831 39.624483)",,,,
