osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,junction,maxspeed,tunnel,access
47664470,residential,False,False,69.144,"LINESTRING (-4.3116097 41.3953618, -4.3120361 41.3952819, -4.3121263 41.395286, -4.3122182 41.3953111, -4.3123974 41.3953798)",,,,,,,
242252151,secondary,False,False,55.59400000000001,"LINESTRING (-4.3116097 41.3953618, -4.3117343 41.3956942, -4.3117901 41.3958431)",2,SG-342,Carretera de Arévalo,,,,
45408401,secondary,True,False,18.64,"LINESTRING (-4.3197759 41.4018838, -4.3197715 41.401848, -4.3197539 41.4018176, -4.3197251 41.4017926, -4.319688 41.4017752, -4.3196459 41.4017668)",,SG-205,,roundabout,,,
813161685,secondary,False,True,67.24000000000001,"LINESTRING (-4.3197759 41.4018838, -4.3198494 41.401873, -4.319887 41.4018732, -4.3199324 41.4018764, -4.320117 41.4019054, -4.3201867 41.4019163, -4.320257 41.4019314, -4.3203681 41.401964, -4.3205408 41.4020333)",2,SG-205,Carretera de Valladolid,,50,,
45408401,secondary,True,False,17.425,"LINESTRING (-4.3195987 41.4017687, -4.3195594 41.4017797, -4.319526 41.4017986, -4.3195011 41.4018237, -4.3194868 41.401853, -4.319484 41.4018843)",,SG-205,,roundabout,,,
"[812786820, 812786819, 47662940]",residential,False,"[False, True]",94.333,"LINESTRING (-4.3195987 41.4017687, -4.3194854 41.4017093, -4.319427 41.401675, -4.3192582 41.4015889, -4.3189547 41.4014341, -4.318918 41.401415, -4.3186689 41.4012859)",,,Calle del Palacio,,20,yes,
45408401,secondary,True,False,19.322,"LINESTRING (-4.319484 41.4018843, -4.3194946 41.4019178, -4.3195187 41.4019473, -4.3195539 41.4019698, -4.3195971 41.4019829, -4.3196438 41.4019852)",,SG-205,,roundabout,,,
130207369,secondary,True,False,26.735,"LINESTRING (-4.319484 41.4018843, -4.3192889 41.4019319, -4.3191817 41.4019639)",,SG-205,Calle de San Andrés,,,,
40656590,tertiary,False,False,34.099000000000004,"LINESTRING (-4.3196438 41.4019852, -4.319686 41.4020744, -4.3197884 41.402272)",2,SG-V-2041,Calle del Henar,,,,
925537886,secondary,True,False,17.080000000000002,"LINESTRING (-4.3196438 41.4019852, -4.3196841 41.4019779, -4.3197201 41.4019623, -4.3197497 41.401939, -4.3197671 41.4019142, -4.3197759 41.4018838)",,SG-205,,roundabout,,,
