osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,access,maxspeed,junction,width
23720798,True,2,CV-7301,Explanada de Cervantes,secondary,False,72.738,"LINESTRING (0.1113024 38.8429099, 0.1112294 38.8431567, 0.1111413 38.8433873, 0.1111044 38.8434689, 0.1110761 38.8435393)",,,,
23720835,False,2,,Carrer del Pintor Llorens,residential,False,57.589999999999996,"LINESTRING (0.1112848 38.8401458, 0.111329 38.8400688, 0.1115629 38.8397529, 0.1116122 38.8396957)",yes,,,
167367677,False,,,Carrer del Pintor Llorens,residential,False,12.8,"LINESTRING (0.1116122 38.8396957, 0.1116863 38.8395961)",,,,
23720835,False,2,,Carrer del Pintor Llorens,residential,True,57.589999999999996,"LINESTRING (0.1116122 38.8396957, 0.1115629 38.8397529, 0.111329 38.8400688, 0.1112848 38.8401458)",yes,,,
23720870,True,1,,Passeig del Saladar,residential,False,203.837,"LINESTRING (0.1116122 38.8396957, 0.1113891 38.8395778, 0.1097991 38.8387235, 0.1096736 38.8386563)",,,,
23720870,True,1,,Passeig del Saladar,residential,False,169.451,"LINESTRING (0.1096736 38.8386563, 0.1095583 38.8385965, 0.1081794 38.8378402, 0.1080701 38.8377833)",,,,
111621282,False,2,,Carrer Carlos Sentí,residential,True,56.591,"LINESTRING (0.1096736 38.8386563, 0.1096379 38.8387185, 0.1094591 38.8390248, 0.1094508 38.839039, 0.109428 38.8390796, 0.1094049 38.8391202)",,,,
111621287,False,2,,Carrer Carlos Sentí,residential,False,14.071000000000002,"LINESTRING (0.1096736 38.8386563, 0.1097026 38.8385999, 0.1097389 38.8385405)",,,,
977096745,False,2,,Avinguda del Montgó,secondary,True,7.011,"LINESTRING (0.1022451 38.8379883, 0.1022366 38.8379256)",,,,
1208177315,True,2,,Avinguda d'Alacant,secondary,False,65.666,"LINESTRING (0.1022451 38.8379883, 0.1021015 38.8380451, 0.1015682 38.8382543)",,,,
977096745,False,2,,Avinguda del Montgó,secondary,False,7.011,"LINESTRING (0.1022366 38.8379256, 0.1022451 38.8379883)",,,,
977096745,False,2,,Avinguda del Montgó,secondary,True,8.682,"LINESTRING (0.1022366 38.8379256, 0.1022131 38.8378497)",,,,
38155151,True,2,,Avinguda d'Alacant,secondary,False,140.089,"LINESTRING (0.1022366 38.8379256, 0.102517 38.8378184, 0.1026987 38.8377588, 0.1028392 38.8377176, 0.1030097 38.837673, 0.1031339 38.8376417, 0.1032473 38.8376177, 0.1033538 38.8375998, 0.1034629 38.8375807, 0.1036108 38.837561, 0.103674 38.837555, 0.1037689 38.8375475)",,,,
"[97576005, 97576006]",True,,,"['Ronda de les Muralles', 'Avinguda de València']",living_street,False,117.03999999999999,"LINESTRING (0.10149 38.8398211, 0.1015768 38.8398369, 0.1019578 38.8399064, 0.1020277 38.8399192, 0.1020276 38.8399837, 0.1020322 38.8400312, 0.1020661 38.8405408)",,,,
