osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,tunnel,lanes
654481473,CV-755,Carrer Colom,secondary,False,False,76.57,"LINESTRING (-0.1197411 38.6481694, -0.1198051 38.6482173, -0.1198297 38.6482364, -0.1198605 38.6482612, -0.1199146 38.6483073, -0.1199699 38.6483577, -0.1200441 38.6484282, -0.1202776 38.6486532, -0.1203165 38.6486903)",,,,
654481473,CV-755,Carrer Colom,secondary,False,True,10.222999999999999,"LINESTRING (-0.1197411 38.6481694, -0.1197156 38.6481545, -0.11969 38.6481416, -0.1196651 38.6481309, -0.1196407 38.6481219)",,,,
"[723285093, 1001771066, 1001771067, 1001771068, 1001771069]",,Carrer Sant Isidre,residential,False,True,35.774,"LINESTRING (-0.1197411 38.6481694, -0.1197986 38.6481341, -0.1199095 38.648066, -0.1199336 38.6480499, -0.1199471 38.6480429, -0.1200181 38.6479993, -0.1200738 38.647983)",,,,
654481473,CV-755,Carrer Colom,secondary,False,True,28.843,"LINESTRING (-0.1196407 38.6481219, -0.1193314 38.6480274)",,,,
71225648,,Carrer de L'Era,residential,False,False,129.804,"LINESTRING (-0.1196407 38.6481219, -0.1196272 38.6480871, -0.1196083 38.6480509, -0.1195013 38.6478809, -0.1194615 38.6478225, -0.1194214 38.6477751, -0.1193195 38.6476684, -0.1193128 38.6476614, -0.1192185 38.6475626, -0.119155 38.6475129, -0.1191094 38.6474891, -0.1190282 38.6474526, -0.1189504 38.6474271, -0.1188567 38.6473984, -0.1187872 38.6473806, -0.1187142 38.6473655, -0.1186288 38.6473545)",,,,
654481473,CV-755,Carrer Colom,secondary,False,False,10.222999999999999,"LINESTRING (-0.1196407 38.6481219, -0.1196651 38.6481309, -0.11969 38.6481416, -0.1197156 38.6481545, -0.1197411 38.6481694)",,,,
"[1001771099, 1001771100, 1001771101, 71225655]",,Carrer Ramón y Cajal,residential,True,False,78.73,"LINESTRING (-0.1207359 38.6503627, -0.1206818 38.650307, -0.1206251 38.6502505, -0.1202153 38.649842, -0.1201769 38.6498053)",,,,
654466709,CV-715,Carretera de Bolulla,secondary,False,False,89.94600000000001,"LINESTRING (-0.1207359 38.6503627, -0.120771 38.6503422, -0.1208034 38.650325, -0.1208475 38.6503049, -0.1211767 38.6501745, -0.1215689 38.6500055, -0.1216006 38.6499901, -0.121616 38.6499792, -0.1216322 38.6499628)",,,,
654466709,CV-715,Carretera de Bolulla,secondary,False,True,37.745,"LINESTRING (-0.1207359 38.6503627, -0.1207031 38.650385, -0.120663 38.6504181, -0.1206313 38.6504522, -0.1206129 38.650475, -0.1205924 38.6505045, -0.1205689 38.6505473, -0.1205561 38.6505712, -0.1205382 38.6506132, -0.1205278 38.6506529)",,,,
73502805,CV-755,,secondary,True,False,10.32,"LINESTRING (-0.1217894 38.6499783, -0.1218005 38.6498859)",,,,
1001771206,CV-755,Carretera d'Alcoi,secondary,False,False,191.439,"LINESTRING (-0.1217894 38.6499783, -0.121892 38.6499977, -0.1222441 38.650052, -0.1222931 38.6500573, -0.1223397 38.6500611, -0.1223997 38.650062, -0.1228116 38.6500567, -0.1230469 38.6500512, -0.1236488 38.6500409, -0.123837 38.6500404, -0.1239831 38.6500406)",,,,
"[1001801201, 1001801202, 67655045, 1001558551]",,Avinguda Jaume I,residential,False,False,95.284,"LINESTRING (-0.1217894 38.6499783, -0.1217877 38.649998, -0.1217855 38.6500304, -0.1217858 38.6500425, -0.1217924 38.6503299, -0.1217951 38.6503714, -0.1217999 38.6505385, -0.1218009 38.6505912, -0.1218043 38.6506319, -0.1218118 38.6506659, -0.1218271 38.6507042, -0.1218534 38.6507651, -0.1218832 38.6508248)",,,,
722454739,,,secondary,False,False,18.453,"LINESTRING (-0.1217351 38.6496251, -0.1217487 38.6496621, -0.121764 38.649789)",,,,
"[1001771080, 1001771081, 1001771082, 1001771083, 1001771086, 73502801, 1001801206]",CV-715,Carretera d'Alacant,secondary,False,False,163.17000000000002,"LINESTRING (-0.1217351 38.6496251, -0.121719 38.6494336, -0.12171 38.6493338, -0.1216954 38.6491513, -0.1216893 38.6490791, -0.1216599 38.6487762, -0.1216397 38.6485509, -0.1216352 38.6485026, -0.1216265 38.6484096, -0.1216127 38.648229, -0.1216032 38.6481614)",,,,
1001771087,CV-715,Carretera d'Alacant,secondary,False,True,15.664000000000001,"LINESTRING (-0.1217351 38.6496251, -0.1217185 38.649663, -0.1217055 38.6497199, -0.1216843 38.6497596)",,,,
"[1001801201, 1001801202, 67655045, 1001558551]",,Avinguda Jaume I,residential,False,True,95.284,"LINESTRING (-0.1218832 38.6508248, -0.1218534 38.6507651, -0.1218271 38.6507042, -0.1218118 38.6506659, -0.1218043 38.6506319, -0.1218009 38.6505912, -0.1217999 38.6505385, -0.1217951 38.6503714, -0.1217924 38.6503299, -0.1217858 38.6500425, -0.1217855 38.6500304, -0.1217877 38.649998, -0.1217894 38.6499783)",,,,
1001558552,,Avinguda Jaume I,residential,False,False,10.754000000000001,"LINESTRING (-0.1218832 38.6508248, -0.1219026 38.6508673, -0.121932 38.6509135)",,,,
