osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,ref
28345400,Avenida Doctor Manuel Jarabo,tertiary,False,True,48.068,"LINESTRING (-3.5819615 40.2127394, -3.5824987 40.2128757)",,,
"[28345400, 1106588903]",Avenida Doctor Manuel Jarabo,tertiary,False,False,129.039,"LINESTRING (-3.5819615 40.2127394, -3.5817995 40.2126949, -3.5813981 40.2125947, -3.5806192 40.2123934, -3.5805226 40.2123664)",,,
44129549,Avenida Doctor Manuel Jarabo,tertiary,False,False,62.779,"LINESTRING (-3.5737855 40.2103595, -3.5744699 40.210573)",2,,
639350225,Avenida Doctor Manuel Jarabo,tertiary,False,True,65.51,"LINESTRING (-3.5737855 40.2103595, -3.5736736 40.2103272, -3.5731956 40.2101797, -3.5730693 40.2101406)",2,,
28467949,Calle La Rioja,residential,False,True,132.916,"LINESTRING (-3.5797202 40.2137479, -3.581156 40.214224)",,,
28468013,Calle del Rayo,residential,False,False,67.288,"LINESTRING (-3.5797202 40.2137479, -3.5800137 40.2131858)",,,
28468013,Calle del Rayo,residential,False,True,33.434,"LINESTRING (-3.5797202 40.2137479, -3.5795794 40.2140287)",,,
28467949,Calle La Rioja,residential,False,False,132.916,"LINESTRING (-3.581156 40.214224, -3.5797202 40.2137479)",,,
28467949,Calle La Rioja,residential,False,True,50.226,"LINESTRING (-3.581156 40.214224, -3.5817038 40.2143944)",,,
28468007,Calle Galicia,residential,True,False,76.143,"LINESTRING (-3.581156 40.214224, -3.5814657 40.2136694, -3.5815058 40.2135935)",,,
28468007,Calle Galicia,residential,True,False,87.374,"LINESTRING (-3.5807649 40.2149508, -3.581156 40.214224)",,,
121881446,Calle Enrique Tierno Galván,residential,False,False,49.395,"LINESTRING (-3.5807649 40.2149508, -3.5812993 40.2151263)",,,
121881446,Calle Enrique Tierno Galván,residential,False,True,128.871,"LINESTRING (-3.5807649 40.2149508, -3.5793665 40.2145004)",,,
44130753,Calle Virgen de la Paloma,residential,True,False,63.1,"LINESTRING (-3.5735907 40.2128643, -3.5729136 40.2126305)",,,
441705073,Calle Buero Vallejo,residential,False,False,51.043,"LINESTRING (-3.5735907 40.2128643, -3.573849 40.2124498)",,,
441705073,Calle Buero Vallejo,residential,False,True,72.105,"LINESTRING (-3.5735907 40.2128643, -3.5732378 40.2134541)",,,
44130720,Calle del Carmen,residential,True,False,127.845,"LINESTRING (-3.573849 40.2124498, -3.5752283 40.2129107)",,,
441705073,Calle Buero Vallejo,residential,False,False,10.798,"LINESTRING (-3.573849 40.2124498, -3.5739022 40.2123616)",,,
441705073,Calle Buero Vallejo,residential,False,True,51.043,"LINESTRING (-3.573849 40.2124498, -3.5735907 40.2128643)",,,
44130720,Calle del Carmen,residential,True,False,64.502,"LINESTRING (-3.573154 40.2122157, -3.573849 40.2124498)",,,
128529503,Calle de Hernán Cortés,residential,False,False,50.439,"LINESTRING (-3.573154 40.2122157, -3.5729136 40.2126305)",,,
128529503,Calle de Hernán Cortés,residential,False,True,10.798,"LINESTRING (-3.573154 40.2122157, -3.5731656 40.212119)",,,
