osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,bridge,width,access,tunnel
42431850,2,trunk,40,roundabout,True,False,41.251,"LINESTRING (-5.0004701 41.4964378, -5.0003711 41.4964343, -5.0002748 41.4964516, -5.0001888 41.4964884, -5.0001199 41.4965417, -5.0000736 41.4966073)",,,,,,
42431850,2,trunk,40,roundabout,True,False,18.087,"LINESTRING (-5.000148 41.4968764, -5.0002337 41.4969264, -5.0003356 41.4969544)",,,,,,
"[42431849, 772877475]",1,trunk,40,,True,False,45.870000000000005,"LINESTRING (-5.0003356 41.4969544, -5.0005252 41.4971513, -5.000651 41.4972925)",N-6,Carretera Madrid a A Coruña,,,,
42431850,2,trunk,40,roundabout,True,False,36.339,"LINESTRING (-5.0003356 41.4969544, -5.0004446 41.4969578, -5.0005497 41.4969359, -5.0006408 41.496891, -5.0007091 41.4968273)",,,,,,
"[34421067, 42431851, 42431844]",2,trunk,,,False,False,211.21099999999998,"LINESTRING (-5.000651 41.4972925, -5.0006933 41.4973765, -5.0011469 41.4988546, -5.0012161 41.4989665, -5.0012941 41.4990467, -5.0013518 41.4991024)",N-6,Carretera Madrid a A Coruña,yes,,,
42431852,2,trunk,,,True,False,52.089,"LINESTRING (-5.000651 41.4972925, -5.0006576 41.4971295, -5.0006686 41.4969822, -5.0007091 41.4968273)",N-6,Carretera Madrid a A Coruña,,,,
34421068,2,trunk,,,False,False,41.571,"LINESTRING (-5.0013518 41.4991024, -5.0015316 41.4992158, -5.0017768 41.4992893)",N-6,Avenida de Portugal,,,,
"[34421067, 42431844, 42431851]",2,trunk,,,False,True,211.211,"LINESTRING (-5.0013518 41.4991024, -5.0012941 41.4990467, -5.0012161 41.4989665, -5.0011469 41.4988546, -5.0006933 41.4973765, -5.000651 41.4972925)",N-6,Carretera Madrid a A Coruña,yes,,,
34420845,,residential,,,False,True,38.68,"LINESTRING (-5.0017768 41.4992893, -5.0016194 41.4993065, -5.0013181 41.4993438)",,Calle Empedrado,,,,
34421068,2,trunk,,,False,True,41.571,"LINESTRING (-5.0017768 41.4992893, -5.0015316 41.4992158, -5.0013518 41.4991024)",N-6,Avenida de Portugal,,,,
287772179,2,trunk,,,False,False,145.327,"LINESTRING (-5.0017768 41.4992893, -5.0018022 41.4992935, -5.0022411 41.4993654, -5.0023372 41.4993812, -5.0026084 41.4994684, -5.0028555 41.4996218, -5.0030074 41.4997681, -5.0031701 41.4999638)",N-6,Avenida de Portugal,,,,
"[287772179, 413713765]",2,trunk,20,,False,False,87.53800000000001,"LINESTRING (-5.0031701 41.4999638, -5.003311 41.5001596, -5.0033715 41.5002437, -5.0033934 41.5002742, -5.0035878 41.5005441, -5.00362 41.5005938, -5.0036697 41.5006563)",N-6,Avenida de Portugal,,,,
287772179,2,trunk,,,False,True,145.327,"LINESTRING (-5.0031701 41.4999638, -5.0030074 41.4997681, -5.0028555 41.4996218, -5.0026084 41.4994684, -5.0023372 41.4993812, -5.0022411 41.4993654, -5.0018022 41.4992935, -5.0017768 41.4992893)",N-6,Avenida de Portugal,,,,
34420847,1,trunk,30,,True,False,17.076,"LINESTRING (-5.0043089 41.5015155, -5.0043366 41.5016062, -5.0043296 41.5016665)",N-6,,,,,
287772176,2,trunk,30,,False,True,109.381,"LINESTRING (-5.0043089 41.5015155, -5.0042763 41.501473, -5.0042294 41.5014119, -5.0039266 41.5010172, -5.0037889 41.5008246, -5.0036697 41.5006563)",N-6,Avenida de Portugal,,,,
42431855,2,trunk,30,roundabout,True,False,19.444000000000003,"LINESTRING (-5.0043296 41.5016665, -5.0043118 41.5016926, -5.0043024 41.5017211, -5.0043038 41.5017598, -5.0043208 41.5017964, -5.0043518 41.5018274)",N-VI,,,,,
42431855,2,trunk,30,roundabout,True,False,15.290000000000001,"LINESTRING (-5.0043518 41.5018274, -5.0043886 41.501848, -5.0044314 41.5018603, -5.0044771 41.5018636, -5.0045223 41.5018576)",N-VI,,,,,
103528486,2,residential,30,,False,False,21.262,"LINESTRING (-5.0043518 41.5018274, -5.0043336 41.5018602, -5.0042586 41.5020054)",,Calle Dimas Rodríguez,,,,
