osmid,oneway,ref,name,highway,reversed,length,lanes,maxspeed,geometry,junction
34859834,False,AC-123,Rúa Porta do Sol,primary,False,43.873,,,"LINESTRING (-8.240587 43.4302004, -8.2410038 43.4299473)",
507576740,True,AC-123,,primary_link,False,7.563,1,,"LINESTRING (-8.240587 43.4302004, -8.2405004 43.4302263)",
229857120,True,,Rúa María,residential,False,80.102,1,,"LINESTRING (-8.2444394 43.4276837, -8.2440842 43.4283563)",
565845834,False,AC-130,Avenida de Mugardos,secondary,True,18.462,,50,"LINESTRING (-8.2444394 43.4276837, -8.2446083 43.4277956)",
229857739,True,,Rúa María,residential,False,57.795,,,"LINESTRING (-8.2444394 43.4276837, -8.2444868 43.4276084, -8.2446147 43.4274108, -8.2447182 43.4272055)",
565845834,False,AC-130,Avenida de Mugardos,secondary,False,23.498,,50,"LINESTRING (-8.2444394 43.4276837, -8.2443232 43.4275991, -8.2442063 43.4275641)",
565845834,False,AC-130,Avenida de Mugardos,secondary,False,11.632,,50,"LINESTRING (-8.2434325 43.4274233, -8.2433032 43.4273772)",
565845834,False,AC-130,Avenida de Mugardos,secondary,True,12.087,,50,"LINESTRING (-8.2434325 43.4274233, -8.2435702 43.4274659)",
665126506,False,AC-130,Avenida de Mugardos,residential,True,26.633,,50,"LINESTRING (-8.2427008 43.4271492, -8.2429855 43.4272701)",
565845834,False,AC-130,Avenida de Mugardos,secondary,False,16.806,,50,"LINESTRING (-8.2442063 43.4275641, -8.2440012 43.4275385)",
529363808,True,,Rúa Real,residential,False,86.062,,,"LINESTRING (-8.2442063 43.4275641, -8.2441473 43.4276342, -8.2436918 43.4282418)",
565845834,False,AC-130,Avenida de Mugardos,secondary,True,23.498,,50,"LINESTRING (-8.2442063 43.4275641, -8.2443232 43.4275991, -8.2444394 43.4276837)",
529363805,False,,Rúa do Xuncal,residential,False,42.56,,,"LINESTRING (-8.2431345 43.429093, -8.2436065 43.4292633)",
670535459,True,,Rúa do Xuncal,residential,False,38.194,,,"LINESTRING (-8.2431345 43.429093, -8.2427259 43.42892)",
529363808,True,,Rúa Real,residential,False,133.838,,,"LINESTRING (-8.2431345 43.429093, -8.2427337 43.4297085, -8.2425147 43.4302065)",
34859834,False,AC-123,Rúa Porta do Sol,primary,False,19.905,,,"LINESTRING (-8.2414202 43.429701, -8.2416336 43.4296114)",
34859834,False,AC-123,Rúa Porta do Sol,primary,True,12.738,,,"LINESTRING (-8.2414202 43.429701, -8.2412905 43.4297662)",
505953560,True,,Rúa Porta do Sol,tertiary,False,19.123,,,"LINESTRING (-8.2417773 43.4296483, -8.2420141 43.4296497)",
34859943,True,,Rúa dos Anxos,tertiary,False,18.173,,,"LINESTRING (-8.2420141 43.4296497, -8.2421443 43.4295164)",
250290464,False,,,residential,True,14.06,,,"LINESTRING (-8.2420141 43.4296497, -8.2419715 43.4295271)",
34859947,False,,Rúa dos Anxos,residential,False,126.0,,,"LINESTRING (-8.2420141 43.4296497, -8.242037 43.4297531, -8.2419198 43.4301339, -8.2417557 43.4307609)",
670535459,True,,Rúa do Xuncal,residential,False,45.627,,,"LINESTRING (-8.2427259 43.42892, -8.2422366 43.4287148)",
34859943,True,,Rúa dos Anxos,tertiary,False,101.136,,,"LINESTRING (-8.2427259 43.42892, -8.2433122 43.4281778, -8.2433467 43.4281301)",
565845834,False,AC-130,Avenida de Mugardos,secondary,True,16.703,,50,"LINESTRING (-8.2437981 43.4275101, -8.2440012 43.4275385)",
229866016,True,,Rúa dos Anxos,residential,False,118.754,,,"LINESTRING (-8.2437981 43.4275101, -8.2438551 43.427441, -8.2439889 43.427276, -8.2443879 43.4268122, -8.2445057 43.4265783)",
565845834,False,AC-130,Avenida de Mugardos,secondary,False,16.211,,50,"LINESTRING (-8.2437981 43.4275101, -8.2436704 43.4274894, -8.2436037 43.4274742)",
90187686,True,,Rúa Santa Bárbara,tertiary,False,128.744,,,"LINESTRING (-8.2422366 43.4287148, -8.241557 43.4294623, -8.2414777 43.4295463, -8.2414202 43.429701)",
665126506,False,AC-130,Avenida de Mugardos,residential,False,26.633,,50,"LINESTRING (-8.2429855 43.4272701, -8.2427008 43.4271492)",
665126506,False,AC-130,Avenida de Mugardos,residential,True,15.465,,50,"LINESTRING (-8.2429855 43.4272701, -8.2431595 43.4273282)",
34859942,True,,Rúa de Fomento,residential,False,55.913,,,"LINESTRING (-8.2429855 43.4272701, -8.2429485 43.4273116, -8.2426092 43.4276922)",
34859942,True,,Rúa de Fomento,residential,False,33.273,,,"LINESTRING (-8.2426092 43.4276922, -8.2423805 43.4279411)",
90187702,False,,Rúa Solín,residential,False,29.88,,,"LINESTRING (-8.2426092 43.4276922, -8.2429292 43.4278271)",
90187702,False,,Rúa Solín,residential,True,37.695,,,"LINESTRING (-8.2426092 43.4276922, -8.2425515 43.4276933, -8.2422117 43.4275279)",
34859942,True,,Rúa de Fomento,residential,False,81.912,,,"LINESTRING (-8.2423805 43.4279411, -8.2417819 43.4285358)",
495944487,True,,,residential,False,21.804,,,"LINESTRING (-8.2423805 43.4279411, -8.2426157 43.4280374)",
90187821,True,,Rúa do Xuncal,residential,False,41.766000000000005,,,"LINESTRING (-8.2417819 43.4285358, -8.2420569 43.4286441, -8.2422366 43.4287148)",
90187757,True,,Rúa da Salazón,residential,False,83.753,,,"LINESTRING (-8.2414997 43.4284029, -8.2421567 43.4278201)",
90187821,True,,Rúa do Xuncal,residential,False,27.161,,,"LINESTRING (-8.2414997 43.4284029, -8.2417819 43.4285358)",
34859945,False,,Avenida Saavedra Meneses,residential,True,97.258,,,"LINESTRING (-8.2405996 43.4291508, -8.2407141 43.4282801)",
34859945,False,,Avenida Saavedra Meneses,residential,False,45.647000000000006,,,"LINESTRING (-8.2405996 43.4291508, -8.2405938 43.4291949, -8.2405618 43.4293752, -8.2405303 43.4295582)",
90187757,True,,Rúa da Salazón,residential,False,112.16399999999999,,,"LINESTRING (-8.2405996 43.4291508, -8.240707 43.4291311, -8.2414997 43.4284029)",
34859945,False,,Avenida Saavedra Meneses,residential,True,13.398,,,"LINESTRING (-8.2403411 43.4302501, -8.2403874 43.4301344)",
507576739,True,,,primary,False,9.364,,,"LINESTRING (-8.2403411 43.4302501, -8.2403318 43.4302482, -8.2403142 43.4302493, -8.2402978 43.4302541, -8.2402841 43.4302623, -8.2402745 43.4302731, -8.2402697 43.4302855, -8.2402703 43.4302984)",roundabout
1210513996,False,AC-123,Avenida de Redes,primary,True,14.381,,,"LINESTRING (-8.2400108 43.4306193, -8.2398977 43.4307192)",
740038108,True,AC-123,,primary_link,False,42.223,1,,"LINESTRING (-8.2400108 43.4306193, -8.2400955 43.4305625, -8.2402851 43.4303941, -8.240348 43.4303303)",
34859945,False,,Avenida Saavedra Meneses,residential,False,97.258,,,"LINESTRING (-8.2407141 43.4282801, -8.2405996 43.4291508)",
90187803,False,,Rúa Río da Cachorra,residential,True,63.726,,,"LINESTRING (-8.2459853 43.4248378, -8.2463541 43.4248728, -8.2466142 43.4249933, -8.2467177 43.4250173)",
410354174,False,,Praza da Igrexa,residential,False,51.074,,,"LINESTRING (-8.2459853 43.4248378, -8.2458456 43.4248352, -8.245662 43.4248589, -8.2453932 43.4249654)",
505252302,True,,Rúa San Andrés,residential,False,53.718,,,"LINESTRING (-8.2459853 43.4248378, -8.2460594 43.4246542, -8.2462001 43.4243809)",
565845834,False,AC-130,Avenida de Mugardos,secondary,True,5.984,,50,"LINESTRING (-8.2432364 43.4273539, -8.2433032 43.4273772)",
665126506,False,AC-130,Avenida de Mugardos,residential,False,6.836,,50,"LINESTRING (-8.2432364 43.4273539, -8.2431595 43.4273282)",
90187725,True,,Rúa Santa Bárbara,tertiary,False,58.172,,,"LINESTRING (-8.2432364 43.4273539, -8.2432069 43.4273994, -8.2429292 43.4278271)",
532289056,False,,,residential,False,7.12,,,"LINESTRING (-8.2480432 43.4255722, -8.2480403 43.4255082)",
