osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,junction,access
44900916,False,2,Calle Sagasta,tertiary,False,77.571,"LINESTRING (-3.3761677 38.0114624, -3.3761664 38.011407, -3.3761658 38.0113784, -3.376166 38.0107648)",,,,
111621999,False,2,Calle del Obispo Cobos,tertiary,True,89.047,"LINESTRING (-3.3761677 38.0114624, -3.376269 38.0114666, -3.3769477 38.0114853, -3.3769674 38.0114858, -3.3770971 38.0114988, -3.3771803 38.011514)",,,,
"[235139401, 453798332]",True,1,"['Callejón de Santiago', 'Calle del Obispo Cobos']","['residential', 'living_street']",False,125.42800000000001,"LINESTRING (-3.3761677 38.0114624, -3.3761014 38.0114712, -3.3760797 38.0114779, -3.3760572 38.011486, -3.3760315 38.0114943, -3.3760119 38.0115122, -3.37599 38.0115371, -3.3759867 38.0115522, -3.3759554 38.012064, -3.3759077 38.012496)",,,,
99081344,False,,Calle de San Cristóbal,residential,False,16.062,"LINESTRING (-3.3761242 38.0095452, -3.3763067 38.0095315)",,,,
99081375,False,,Calle de San Cristóbal,residential,False,111.652,"LINESTRING (-3.3761242 38.0095452, -3.3748532 38.0096185)",,,,
1073826323,False,2,Calle Sagasta,residential,True,71.752,"LINESTRING (-3.3761242 38.0095452, -3.3761373 38.0101904)",,,,
44900918,False,,Calle Sacramento,tertiary,False,125.257,"LINESTRING (-3.3761373 38.0101904, -3.3747076 38.0101881)",,,,
1073826322,False,2,Calle Sagasta,tertiary,True,63.92,"LINESTRING (-3.3761373 38.0101904, -3.376166 38.0107648)",,,,
1073826323,False,2,Calle Sagasta,residential,False,71.752,"LINESTRING (-3.3761373 38.0101904, -3.3761242 38.0095452)",,,,
44900918,False,,Calle Sacramento,tertiary,True,125.257,"LINESTRING (-3.3747076 38.0101881, -3.3761373 38.0101904)",,,,
235360418,False,,Calle Ancha,tertiary,False,42.05,"LINESTRING (-3.3747076 38.0101881, -3.3742429 38.0100935)",,,,
