osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,junction,tunnel
24256636,2,Calle Mariblanca,residential,False,False,131.599,"LINESTRING (-3.8617433 40.3216768, -3.8617323 40.3218003, -3.8616569 40.3225901, -3.8616473 40.32267, -3.8616254 40.3227657, -3.8615831 40.3228502)",,,
152460737,2,Calle Cartaya,residential,False,True,87.054,"LINESTRING (-3.8617433 40.3216768, -3.8618208 40.3215361, -3.8622356 40.3209909)",,,
166704082,2,Calle Simón Hernández,tertiary,True,False,206.155,"LINESTRING (-3.8617433 40.3216768, -3.8615861 40.3215982, -3.8610744 40.3214355, -3.8606761 40.3213098, -3.8595154 40.3209395)",,,
224096137,,Calle Simón Hernández,residential,False,False,85.345,"LINESTRING (-3.8617433 40.3216768, -3.8619101 40.3217176, -3.8626337 40.3218813, -3.862706 40.3219009)",,,
24256636,2,Calle Mariblanca,residential,False,True,52.481,"LINESTRING (-3.86076 40.3236432, -3.8611577 40.3232815)",,,
24256636,2,Calle Mariblanca,residential,False,False,53.178,"LINESTRING (-3.86076 40.3236432, -3.8605792 40.3238266, -3.8604668 40.3239325, -3.8603633 40.3240128)",,,
639650770,2,,primary,True,False,8.04,"LINESTRING (-3.8604603 40.3276144, -3.8604398 40.3275438)",40,roundabout,
27912164,2,Avenida de Portugal,primary,True,False,208.86599999999999,"LINESTRING (-3.8604603 40.3276144, -3.8606685 40.3275512, -3.8622824 40.3272687, -3.8628498 40.3271636)",40,,
28691227,2,,primary,True,False,27.724999999999998,"LINESTRING (-3.8604398 40.3275438, -3.8603969 40.3274978, -3.860333 40.3274647, -3.8602442 40.327451, -3.860161 40.3274649)",40,roundabout,
"[263086146, 27930742]",1,Avenida de la Constitución,living_street,True,False,60.744,"LINESTRING (-3.8641694 40.3226132, -3.8640899 40.3226881, -3.8639753 40.3230583, -3.8639549 40.3231261)",,,
"[69487307, 263086148]",1,Calle Antonio Hernández,living_street,True,False,88.62799999999999,"LINESTRING (-3.8641694 40.3226132, -3.8643827 40.3226484, -3.8645998 40.3226843, -3.8647268 40.3227112, -3.8648616 40.3227571, -3.8650494 40.3228438, -3.8651401 40.3228857)",,,
224096133,1,Avenida Dos de Mayo,living_street,True,False,58.312000000000005,"LINESTRING (-3.8641694 40.3226132, -3.8645783 40.3223048, -3.8646584 40.3222444)",20,,
166704083,,Calle Montero,residential,True,False,30.47,"LINESTRING (-3.8669568 40.31971, -3.8670359 40.3199773)",,,
