osmid,oneway,name,highway,reversed,length,junction,geometry,bridge,lanes,ref,maxspeed
34066796,True,Calle General Pastor,residential,False,17.542,,"LINESTRING (-0.5338619 39.5621225, -0.5338245 39.5622776)",,,,
9272706,True,,secondary,False,8.518,roundabout,"LINESTRING (-0.5338619 39.5621225, -0.5339193 39.5621369, -0.5339574 39.5621305)",,,,
9272706,True,,secondary,False,8.187,roundabout,"LINESTRING (-0.5338801 39.5619961, -0.5338358 39.5620268, -0.5338241 39.562053)",,,,
10075015,True,Carrer de Ferran el Catòlic,secondary,False,86.26399999999998,,"LINESTRING (-0.5338801 39.5619961, -0.5337258 39.561942, -0.5337086 39.5619336, -0.5332896 39.5617293, -0.5332753 39.5617223, -0.5332667 39.5617181, -0.5331752 39.5616325, -0.5331273 39.5615232)",,,,
9281398,True,Avenida Ribarroja del Turia,secondary,False,23.551,,"LINESTRING (-0.5354174 39.5625358, -0.5354725 39.5627433)",,,,
9281576,True,,secondary,False,13.261,roundabout,"LINESTRING (-0.5354174 39.5625358, -0.5354949 39.5625604, -0.5355657 39.5625579)",,,,
9272706,True,,secondary,False,5.136,roundabout,"LINESTRING (-0.5339574 39.5621305, -0.5340017 39.5620994)",,,,
9281576,True,,secondary,False,24.136999999999997,roundabout,"LINESTRING (-0.5356751 39.5624301, -0.5356497 39.5623765, -0.5356047 39.5623331, -0.5355366 39.5623149, -0.5354732 39.5623142)",,,,
33655212,False,Calle del Padre Damián,residential,True,37.976,,"LINESTRING (-0.5356751 39.5624301, -0.5359222 39.5623893, -0.5360671 39.5622942)",,,,
9272706,True,,secondary,False,5.341,roundabout,"LINESTRING (-0.5339422 39.5619922, -0.5338801 39.5619961)",,,,
751986035,True,,secondary,False,22.192,,"LINESTRING (-0.5354725 39.5627433, -0.5355101 39.5626447, -0.5355657 39.5625579)",,,,
9281576,True,,secondary,False,29.462999999999997,roundabout,"LINESTRING (-0.5354732 39.5623142, -0.5354152 39.5623399, -0.5353851 39.562378, -0.5353662 39.5624477, -0.5353757 39.562479, -0.5353986 39.5625148, -0.5354174 39.5625358)",,,,
"[33655219, 33655221]",False,Avenida Ribarroja del Turia,secondary,False,26.433,,"LINESTRING (-0.5354732 39.5623142, -0.5353351 39.5621523, -0.5352828 39.5621348)",,,,
9272706,True,,secondary,False,8.690999999999999,roundabout,"LINESTRING (-0.5338241 39.562053, -0.5338287 39.5620881, -0.5338619 39.5621225)",,,,
34066797,True,Avenida Ribarroja del Turia,secondary,False,24.011,,"LINESTRING (-0.5342223 39.5619923, -0.5339422 39.5619922)",,,,
"[9281530, 33655220]",False,Avenida Ribarroja del Turia,secondary,True,93.727,,"LINESTRING (-0.5342223 39.5619923, -0.5342738 39.561984, -0.5343165 39.5619771, -0.5345316 39.5619681, -0.535189 39.562114, -0.5352828 39.5621348)",yes,,,
34066798,True,Avenida Ribarroja del Turia,secondary,False,22.348,,"LINESTRING (-0.5340017 39.5620994, -0.5342223 39.5619923)",,,,
9272706,True,,secondary,False,14.725,roundabout,"LINESTRING (-0.5340017 39.5620994, -0.5340116 39.5620473, -0.5339823 39.5620087, -0.5339422 39.5619922)",,,,
10075060,False,Calle Virgen del Carmen,residential,True,6.856,,"LINESTRING (-0.5303896 39.5673595, -0.5303723 39.5674197)",,,,
584869859,True,Carrer Major,residential,False,62.502,,"LINESTRING (-0.5303896 39.5673595, -0.5305382 39.5668092)",,,,
10075052,True,Carrer de Francisco Alcayde,residential,False,74.444,,"LINESTRING (-0.5310347 39.5639484, -0.5304724 39.5644586)",,,,
35052683,True,Carrer de Begonya,residential,False,79.662,,"LINESTRING (-0.5310347 39.5639484, -0.5315316 39.563343)",,,,
10075029,True,,secondary,False,8.654,roundabout,"LINESTRING (-0.5322301 39.5620129, -0.5322871 39.5620244, -0.5323278 39.5620163)",,,,
34066791,False,Calle General Pastor,residential,True,88.355,,"LINESTRING (-0.5338245 39.5622776, -0.5330902 39.5628352)",,,,
34066793,True,Calle General Pastor,residential,False,9.183,,"LINESTRING (-0.5338245 39.5622776, -0.5339246 39.562307)",,,,
34066795,True,Calle General Pastor,residential,False,13.406,,"LINESTRING (-0.5338245 39.5622776, -0.5339408 39.562197)",,,,
10075021,True,,secondary,False,7.308,roundabout,"LINESTRING (-0.5331273 39.5615232, -0.5331338 39.5614907, -0.5331319 39.5614579)",,,,
10075028,True,,secondary,False,6.82,roundabout,"LINESTRING (-0.5283526 39.566927, -0.5283519 39.5669577, -0.5283626 39.5669872)",,2,CV-375,
10075038,True,,secondary,False,3.419,roundabout,"LINESTRING (-0.5264989 39.5670578, -0.5264646 39.5670421)",,,CV-375,
10075021,True,,secondary,False,24.122999999999998,roundabout,"LINESTRING (-0.5326972 39.561475, -0.5327059 39.5615288, -0.5327362 39.5615777, -0.5327852 39.5616167, -0.5328477 39.5616416)",,,,
10075033,True,Avenida de las Cortes Valencianas,secondary,False,57.673,,"LINESTRING (-0.5326972 39.561475, -0.5326334 39.5616211, -0.5326146 39.5616345, -0.5324323 39.5617651, -0.5324107 39.5617806, -0.5323244 39.5618424, -0.5322875 39.5618696)",,2,,
838557284,True,,secondary,False,15.715,roundabout,"LINESTRING (-0.524647 39.5682897, -0.5246057 39.5683051, -0.5245714 39.5683285, -0.5245465 39.5683582, -0.5245329 39.5683919)",,,CV-375,
10075046,True,Avenida de las Cortes Valencianas,secondary,False,337.39899999999994,,"LINESTRING (-0.5283969 39.5646425, -0.5282801 39.5647911, -0.5281295 39.5649011, -0.527271 39.5655494, -0.5272414 39.5655714, -0.526725 39.5659664, -0.5265644 39.5661439, -0.5264284 39.5664259, -0.5263719 39.5666946, -0.5263404 39.5668287, -0.5262959 39.5669227, -0.5262708 39.5669757, -0.5262183 39.5670665)",,,,
10075055,True,,secondary,False,14.538,roundabout,"LINESTRING (-0.5283969 39.5646425, -0.5284043 39.56469, -0.5284363 39.5647262, -0.5284798 39.5647463)",,,,
10075038,True,,secondary,False,25.97,roundabout,"LINESTRING (-0.5261556 39.5671331, -0.5261387 39.56719, -0.5261471 39.567248, -0.5261797 39.5673008, -0.5262329 39.5673423)",,,CV-375,
10075050,True,Avinguda del Camp del Túria,secondary,False,178.91700000000003,,"LINESTRING (-0.5261556 39.5671331, -0.5259858 39.5674151, -0.5249066 39.5681966, -0.5248815 39.5682148, -0.5248163 39.568247, -0.5247414 39.5682874)",,,CV-375,
10075028,True,,secondary,False,11.05,roundabout,"LINESTRING (-0.5284252 39.5668487, -0.5283908 39.5668685, -0.5283658 39.5668955, -0.5283526 39.566927)",,2,CV-375,
10075040,True,Avinguda del Camp del Túria,secondary,False,102.804,,"LINESTRING (-0.5284252 39.5668487, -0.5283248 39.5668127, -0.528199 39.5667002, -0.5280272 39.5665314, -0.5278324 39.5664489, -0.5276343 39.5664456, -0.5274528 39.566505)",,1,CV-375,
10075036,True,Avinguda del Camp del Túria,secondary,False,165.64100000000002,,"LINESTRING (-0.5248645 39.568388, -0.5249428 39.5683043, -0.5249797 39.5682593, -0.5260207 39.567469, -0.526083 39.5674318, -0.5261954 39.5673647, -0.5262329 39.5673423)",,2,CV-375,40
10075051,True,,secondary,False,16.162999999999997,roundabout,"LINESTRING (-0.5248645 39.568388, -0.524849 39.5683537, -0.5248217 39.568324, -0.5247849 39.5683013, -0.5247414 39.5682874)",,,CV-375,
10075013,False,Calle Virgen del Carmen,residential,True,6.496,,"LINESTRING (-0.5307609 39.5674704, -0.5307293 39.5675235)",,,,
