osmid,oneway,name,highway,reversed,length,ref,maxspeed,geometry,lanes,junction,access,width
126807798,False,Carrer Sant Andreu,residential,True,81.249,,,"LINESTRING (3.1208233 42.0441595, 3.1203905 42.0435033)",,,,
669764287,False,Carretera de Sant Jordi,primary,False,84.49600000000001,C-31,50,"LINESTRING (3.1208233 42.0441595, 3.1210975 42.0440512, 3.1215518 42.0438919, 3.1217403 42.0438227)",,,,
591257117,True,,primary,False,3.588,C-31,40,"LINESTRING (3.123539 42.0431534, 3.1235458 42.0431381, 3.1235559 42.0431238)",1,roundabout,,
30587397,True,Passeig de Catalunya,primary,False,95.684,C-31,50,"LINESTRING (3.1278 42.0422094, 3.1278332 42.0421262, 3.1278324 42.0420789, 3.1278241 42.0415882, 3.1278154 42.0413526)",1,,,
591257114,True,plaça del Lledoner,primary,False,16.84,C-31,40,"LINESTRING (3.1278 42.0422094, 3.1278474 42.0421954, 3.1278974 42.0421883, 3.1279484 42.0421883, 3.1279985 42.0421954)",1,roundabout,,
816603677,True,plaça del Lledoner,primary,False,2.8810000000000002,C-31,40,"LINESTRING (3.1279985 42.0421954, 3.1280151 42.0421994, 3.1280313 42.0422042)",1,roundabout,,
30587266,True,plaça del Lledoner,primary,False,27.424,C-31,40,"LINESTRING (3.1281756 42.0423158, 3.1281903 42.0423554, 3.1281938 42.0423964, 3.128186 42.0424371, 3.1281673 42.0424758, 3.1281383 42.0425109, 3.1281004 42.0425408)",1,roundabout,,
30587492,True,,secondary_link,False,75.759,GI-641,40,"LINESTRING (3.1281756 42.0423158, 3.1283358 42.0423684, 3.1286192 42.0423708, 3.1290741 42.0423262)",,,,
591257113,True,plaça del Lledoner,primary,False,9.190999999999999,C-31,40,"LINESTRING (3.1281004 42.0425408, 3.1280708 42.0425574, 3.1280384 42.0425708, 3.1280038 42.0425808)",1,roundabout,,
530270372,True,plaça del Lledoner,primary,False,22.598999999999997,C-31,40,"LINESTRING (3.1277144 42.0425171, 3.1277007 42.0425037, 3.1276885 42.0424895, 3.1276662 42.0424529, 3.1276542 42.0424137, 3.1276528 42.0423735, 3.127661 42.0423249)",1,roundabout,,
530270372,True,plaça del Lledoner,primary,False,13.372,C-31,40,"LINESTRING (3.127661 42.0423249, 3.1276773 42.0423039, 3.1276985 42.042276, 3.1277254 42.042251, 3.1277573 42.0422295)",1,roundabout,,
30587297,True,avinguda de Lluís Companys,primary,False,48.948,C-31,40,"LINESTRING (3.1280038 42.0425808, 3.1278493 42.0427213, 3.1276265 42.0429203)",1,,,
591257112,True,plaça del Lledoner,primary,False,26.392,C-31,40,"LINESTRING (3.1280038 42.0425808, 3.1279517 42.0425888, 3.1278984 42.0425891, 3.1278461 42.0425816, 3.1277967 42.0425667, 3.1277522 42.0425449, 3.1277144 42.0425171)",1,roundabout,,
75735396,False,Carrer de Fàtima,residential,False,38.352,,,"LINESTRING (3.1276265 42.0429203, 3.1275347 42.0432584)",,,,
481807225,False,avinguda de Lluís Companys,primary,False,37.786,C-31,50,"LINESTRING (3.1276265 42.0429203, 3.1273858 42.0432093)",2,,,
30587346,True,avinguda de Lluís Companys,primary,False,45.641000000000005,C-31,40,"LINESTRING (3.1276265 42.0429203, 3.127695 42.0427327, 3.1277002 42.0426745, 3.1277144 42.0425171)",1,,,
140047276,True,Carrer de Verges,residential,False,12.576,,,"LINESTRING (3.1255275 42.0440614, 3.125376 42.0440729)",,,,
481807228,False,avinguda de Lluís Companys,primary,False,70.829,C-31,50,"LINESTRING (3.1255275 42.0440614, 3.1248197 42.0437016)",2,,,
481807228,False,avinguda de Lluís Companys,primary,True,38.309,C-31,50,"LINESTRING (3.1255275 42.0440614, 3.1258448 42.0442005, 3.1259387 42.0442133)",2,,,
126810680,False,Carrer del Portalet,living_street,False,58.953,,,"LINESTRING (3.1248197 42.0437016, 3.1254913 42.0435218)",,,,
