osmid,oneway,name,highway,reversed,length,lanes,geometry,ref,junction,maxspeed,access
21111693,True,Carrer Raval del Carme,residential,False,3.613,,"LINESTRING (-0.1034994 39.9353427, -0.1034687 39.9353651)",,,,
21901478,True,Carrer Betxí,living_street,False,57.046,,"LINESTRING (-0.1034994 39.9353427, -0.1039466 39.9357243)",,,,
21111693,True,Carrer Raval del Carme,residential,False,72.949,,"LINESTRING (-0.1034687 39.9353651, -0.1028487 39.9358172)",,,,
21111693,True,Carrer Raval del Carme,residential,False,51.753,,"LINESTRING (-0.1028487 39.9358172, -0.1024241 39.9361498)",,,,
40948271,True,Carrer Sant Vicent,residential,False,52.031,,"LINESTRING (-0.1028487 39.9358172, -0.1025435 39.935412)",,,,
21389684,True,Carrer Major Sant Doménec,living_street,False,32.867,,"LINESTRING (-0.1024241 39.9361498, -0.1021479 39.936356)",,,,
40948268,True,Carrer Zumalacárregui,residential,False,57.182,,"LINESTRING (-0.1024241 39.9361498, -0.1028191 39.9365654)",,,,
40948281,True,Carrer Lluís Vives,residential,False,52.345,,"LINESTRING (-0.1024241 39.9361498, -0.1020396 39.9357828)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,False,17.079,2,"LINESTRING (-0.1046794 39.9354061, -0.1047958 39.9355311)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,True,74.854,2,"LINESTRING (-0.1046794 39.9354061, -0.1042152 39.9349075, -0.1041693 39.9348582)",,,,
40948295,True,Carrer Salvador,residential,False,73.061,,"LINESTRING (-0.1047958 39.9355311, -0.1053884 39.9350565)",,,,
40948299,True,Carrer Salvador,residential,False,68.305,,"LINESTRING (-0.1047958 39.9355311, -0.1042269 39.9359636)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,True,17.079,2,"LINESTRING (-0.1047958 39.9355311, -0.1046794 39.9354061)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,False,47.346999999999994,2,"LINESTRING (-0.1047958 39.9355311, -0.1048288 39.9355737, -0.1050575 39.9358576, -0.1050791 39.9358968)",,,,
40948285,True,Carrer Sant Joan,residential,False,61.486999999999995,,"LINESTRING (-0.1050791 39.9358968, -0.1048074 39.936265, -0.1046899 39.9363586)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,False,65.289,2,"LINESTRING (-0.1050791 39.9358968, -0.1051207 39.9359505, -0.1054702 39.9364016)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,True,47.346999999999994,2,"LINESTRING (-0.1050791 39.9358968, -0.1050575 39.9358576, -0.1048288 39.9355737, -0.1047958 39.9355311)",,,,
40778446,True,Carrer Vilavella,residential,False,84.24600000000001,,"LINESTRING (-0.1054702 39.9364016, -0.1055556 39.9363337, -0.1061997 39.9358909)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,False,50.476,2,"LINESTRING (-0.1054702 39.9364016, -0.1055057 39.9364414, -0.1055898 39.9365694, -0.1057436 39.9368038)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,True,65.289,2,"LINESTRING (-0.1054702 39.9364016, -0.1051207 39.9359505, -0.1050791 39.9358968)",,,,
40778454,True,Carrer Sant Pere,residential,False,33.622,,"LINESTRING (-0.1057436 39.9368038, -0.1054475 39.9370035)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,False,51.623999999999995,2,"LINESTRING (-0.1057436 39.9368038, -0.1057705 39.9368461, -0.1060095 39.9372209)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,True,50.476,2,"LINESTRING (-0.1057436 39.9368038, -0.1055898 39.9365694, -0.1055057 39.9364414, -0.1054702 39.9364016)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,False,22.122,2,"LINESTRING (-0.1060095 39.9372209, -0.1060879 39.937344, -0.1061251 39.937399)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,True,51.623999999999995,2,"LINESTRING (-0.1060095 39.9372209, -0.1057705 39.9368461, -0.1057436 39.9368038)",,,,
21901470,True,Carrer l'Assumpció,residential,False,13.25,,"LINESTRING (-0.1061251 39.937399, -0.1060065 39.937476)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,True,22.122,2,"LINESTRING (-0.1061251 39.937399, -0.1060879 39.937344, -0.1060095 39.9372209)",,,,
21111693,True,Carrer Raval del Carme,residential,False,78.516,,"LINESTRING (-0.1041693 39.9348582, -0.1034994 39.9353427)",,,,
589617454,False,Carrer Josep Ramon Batalla,residential,False,74.854,2,"LINESTRING (-0.1041693 39.9348582, -0.1042152 39.9349075, -0.1046794 39.9354061)",,,,
"[1013125608, 22074013]",False,Carrer Cardenal Tarancón,residential,True,108.99800000000002,"['2', '3']","LINESTRING (-0.1041693 39.9348582, -0.1041308 39.9348195, -0.1037843 39.9344706, -0.1034984 39.9341683, -0.1034068 39.9340715)",,,,
40753411,True,Carrer El Tancat,residential,False,19.505,,"LINESTRING (-0.1052465 39.9327704, -0.1054248 39.9328803)",,,,
22734493,True,Avinguda Pius XII,tertiary,False,79.934,2,"LINESTRING (-0.1045574 39.9332578, -0.1046205 39.9332132, -0.1051939 39.9328076, -0.1052465 39.9327704)",,,,
40948286,True,Carrer Nostra Senyora de la Consolació,residential,False,56.101000000000006,,"LINESTRING (-0.1045574 39.9332578, -0.104491 39.9331985, -0.1041742 39.9329156, -0.1041288 39.932875)",,,,
40753414,True,Carrer Reina Violant d'Hongria,residential,False,108.801,,"LINESTRING (-0.1040147 39.9336416, -0.1047761 39.9344268)",,,,
22734493,True,Avinguda Pius XII,tertiary,False,62.948,2,"LINESTRING (-0.1040147 39.9336416, -0.1043826 39.9333814, -0.1045574 39.9332578)",,,,
"[1013125608, 22074013]",False,Carrer Cardenal Tarancón,residential,False,108.99800000000002,"['2', '3']","LINESTRING (-0.1034068 39.9340715, -0.1034984 39.9341683, -0.1037843 39.9344706, -0.1041308 39.9348195, -0.1041693 39.9348582)",,,,
22734493,True,Avinguda Pius XII,tertiary,False,70.509,2,"LINESTRING (-0.1034068 39.9340715, -0.1036194 39.9339212, -0.103903 39.9337206, -0.1040147 39.9336416)",,,,
40753222,True,Carrer Cardenal Tarancón,residential,False,44.384,2,"LINESTRING (-0.1034068 39.9340715, -0.1033754 39.9339958, -0.1033429 39.9339626, -0.103122 39.9337419)",,,,
47850364,True,Carrer Molí,residential,False,60.845,,"LINESTRING (-0.1025912 39.9346497, -0.1030801 39.9350483)",,,,
21384951,True,Avinguda Pius XII,tertiary,False,94.707,2,"LINESTRING (-0.1025912 39.9346497, -0.1032679 39.93417, -0.1034068 39.9340715)",,,,
21384951,True,Avinguda Pius XII,tertiary,False,48.341,2,"LINESTRING (-0.1021805 39.9349494, -0.1025249 39.9346968, -0.1025912 39.9346497)",,,,
21384951,True,Avinguda Pius XII,tertiary,False,68.746,2,"LINESTRING (-0.1015832 39.9353644, -0.1020941 39.9350022, -0.1021805 39.9349494)",,,,
40753333,True,Carrer Furs de València,tertiary,False,22.814,1,"LINESTRING (-0.1015832 39.9353644, -0.1015069 39.9353179, -0.1014304 39.9352014)",,,,
21867633,True,Carrer Pere III,residential,False,63.824,,"LINESTRING (-0.0984068 39.9376518, -0.098838 39.938121)",,,,
21384953,True,Avinguda de la Murà,tertiary,False,185.174,2,"LINESTRING (-0.0984068 39.9376518, -0.0985171 39.9375724, -0.0985581 39.9375429, -0.0990749 39.9371707, -0.099118 39.9371397, -0.0991446 39.9371205, -0.0991946 39.9370882, -0.0994867 39.9368742, -0.0996884 39.9367358, -0.0999062 39.9365721, -0.0999898 39.9365119)",,,,
40778536,True,Avinguda del Cedre,tertiary,False,59.658,1,"LINESTRING (-0.0984068 39.9376518, -0.098328 39.937513, -0.0980435 39.9371956)",,,,
589901568,True,Avinguda de la Murà,tertiary,False,103.42699999999999,2,"LINESTRING (-0.0999898 39.9365119, -0.1000369 39.9364779, -0.1008142 39.9359181, -0.100874 39.9358751)",,,,
589901569,True,Carrer Ramón y Cajal,living_street,False,62.023999999999994,,"LINESTRING (-0.0999898 39.9365119, -0.1002378 39.9367477, -0.1004277 39.9369255, -0.1004484 39.9369449)",CV-2295,,,
21898276,True,Carrer Ausiàs March,residential,False,62.629,,"LINESTRING (-0.0969181 39.938708, -0.0969903 39.9387709, -0.0974207 39.9391187)",,,,
589639186,True,Avinguda Francesc Tàrrega,tertiary,False,55.153000000000006,2,"LINESTRING (-0.0969181 39.938708, -0.097282 39.9384499, -0.0973958 39.9383736)",,,,
40984931,True,Plaça Major,living_street,False,6.697,,"LINESTRING (-0.1004484 39.9369449, -0.1004914 39.9369953)",CV-2295,,,
40984930,True,Plaça Major,living_street,False,102.07499999999999,1,"LINESTRING (-0.1004484 39.9369449, -0.1010197 39.936529, -0.1013109 39.9363083)",,,,
22074006,False,Plaça Major,living_street,False,53.253,,"LINESTRING (-0.1016171 39.93672, -0.1013177 39.9363599, -0.1013109 39.9363083)",,,,
22074006,False,Plaça Major,living_street,True,96.707,,"LINESTRING (-0.1016171 39.93672, -0.1014128 39.9368772, -0.1012274 39.9370154, -0.1009232 39.9372375, -0.100785 39.9373083)",,,,
22734494,True,Carrer Ramón y Cajal,residential,False,58.2,,"LINESTRING (-0.0996398 39.93607, -0.0997406 39.9362748, -0.0999898 39.9365119)",CV-2295,,,
40778529,True,Carrer Mestre Goterris,residential,False,65.71,,"LINESTRING (-0.0996398 39.93607, -0.0995554 39.9361179, -0.0990678 39.9364654)",,,,
