osmid,name,highway,oneway,reversed,length,lanes,ref,junction,geometry,bridge,tunnel
32872852,Santa Clara kalea,residential,False,False,19.135,,,,"LINESTRING (-2.0724745 43.1348471, -2.0724853 43.135019)",,
28043336,,secondary,True,False,10.843,2,GI-2130,roundabout,"LINESTRING (-2.0724745 43.1348471, -2.0725176 43.1348433, -2.0725597 43.1348315, -2.072595 43.134811)",,
28043336,,secondary,True,False,9.455,2,GI-2130,roundabout,"LINESTRING (-2.0725435 43.1346398, -2.072506 43.1346324, -2.0724672 43.1346325, -2.0724297 43.13464)",,
28043336,,secondary,True,False,14.645,2,GI-2130,roundabout,"LINESTRING (-2.072345 43.1347656, -2.0723626 43.1347954, -2.0723916 43.1348199, -2.0724294 43.134837, -2.0724745 43.1348471)",,
28043336,,secondary,True,False,16.889,2,GI-2130,roundabout,"LINESTRING (-2.0724297 43.13464, -2.0723946 43.1346554, -2.0723667 43.1346773, -2.0723481 43.134704, -2.0723412 43.1347339, -2.072345 43.1347656)",,
40348055,Ibarralde kalea,secondary,True,False,31.576,,GI-2130,,"LINESTRING (-2.0724297 43.13464, -2.0723725 43.134635, -2.0721648 43.1345213, -2.0721166 43.1344824)",,
28047302,Belate,residential,False,False,137.249,,,,"LINESTRING (-2.0722779 43.1403721, -2.0722965 43.1404187, -2.0724991 43.1409704, -2.0725366 43.1410862, -2.0726683 43.1413936, -2.072731 43.141561)",,
32872295,Barrena,residential,True,False,74.857,,,,"LINESTRING (-2.0722779 43.1403721, -2.0724794 43.1403317, -2.0728837 43.1402618, -2.0730826 43.1402287, -2.0731368 43.1402065, -2.0731537 43.1401867)",,
"[32872297, 32872298]",Arrameleko zubia,residential,False,True,86.102,,,,"LINESTRING (-2.0722779 43.1403721, -2.0722387 43.1404056, -2.0721202 43.1405181, -2.0715708 43.1409488)",yes,
41748418,Lapurdi plaza,residential,True,False,93.207,,,,"LINESTRING (-2.0731537 43.1401867, -2.0731132 43.1403264, -2.0729161 43.1410068)",,
47046084,Rondilla kalea,residential,True,False,74.235,,,,"LINESTRING (-2.0731537 43.1401867, -2.0731894 43.1400904, -2.0732553 43.1399124, -2.0733529 43.1395356)",,
"[32872176, 202295229]",Larramendi kalea,residential,False,True,31.822000000000003,,,,"LINESTRING (-2.0715708 43.1409488, -2.0714881 43.1410501, -2.0714687 43.1410971, -2.0714215 43.1412112)",,
"[32872297, 32872298]",Arrameleko zubia,residential,False,False,86.102,,,,"LINESTRING (-2.0715708 43.1409488, -2.0721202 43.1405181, -2.0722387 43.1404056, -2.0722779 43.1403721)",yes,
32901638,Jon Andoni Irazusta pasealekua,residential,False,True,83.54599999999999,,,,"LINESTRING (-2.0715708 43.1409488, -2.0714998 43.1409045, -2.0713438 43.1407045, -2.0710816 43.1403614, -2.071044 43.1403078)",,
28043336,,secondary,True,False,22.733,2,GI-2130,roundabout,"LINESTRING (-2.072595 43.134811, -2.0726207 43.1347825, -2.0726328 43.1347496, -2.0726302 43.1347156, -2.0726131 43.1346839, -2.0725832 43.1346578, -2.0725435 43.1346398)",,
32872378,,residential,False,False,12.735,,,,"LINESTRING (-2.072595 43.134811, -2.0726551 43.1348394, -2.0727145 43.1348611, -2.0727314 43.1348673)",,
32872378,,residential,False,True,12.735,,,,"LINESTRING (-2.0727314 43.1348673, -2.0727145 43.1348611, -2.0726551 43.1348394, -2.072595 43.134811)",,
"[32872380, 40952670]","['Zubi Berria', 'Nafarroa etorbidea']",residential,False,"[False, True]",59.620000000000005,,,,"LINESTRING (-2.0727314 43.1348673, -2.0733606 43.1349197, -2.073379 43.1349212, -2.0734614 43.1349282)",yes,
