osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,access,junction,bridge,width
28319493,2,BV-5103,Avinguda d'Àngel Guimerà,tertiary,False,True,82.075,"LINESTRING (2.3594282 41.6391629, 2.3594356 41.6384248)",,,,,
24846416,,,Carrer del Doctor Klein,residential,True,False,45.314,"LINESTRING (2.3594282 41.6391629, 2.3593784 41.6391584, 2.359204 41.6391428, 2.3588868 41.6391143)",,,,,
28319493,2,BV-5103,Avinguda d'Àngel Guimerà,tertiary,False,False,41.853,"LINESTRING (2.3594282 41.6391629, 2.359428 41.6392528, 2.3594275 41.6395393)",,,,,
28319493,2,BV-5103,Avinguda d'Àngel Guimerà,tertiary,False,True,90.688,"LINESTRING (2.3593822 41.642488, 2.3594049 41.6416726)",,,,,
230296463,,,Avinguda d'Eduard Corbella,residential,False,False,61.492,"LINESTRING (2.3593822 41.642488, 2.3601222 41.6424855)",,,,,
234408946,,,Avinguda d'Eduard Corbella,residential,False,True,90.674,"LINESTRING (2.3593822 41.642488, 2.3582914 41.6424662)",,,,,
28319493,2,BV-5103,Avinguda d'Àngel Guimerà,tertiary,False,False,38.095,"LINESTRING (2.3594423 41.6371021, 2.3594415 41.6374447)",,,,,
342601558,2,C-251,Avinguda del Rei En Jaume,tertiary,False,False,92.966,"LINESTRING (2.3594423 41.6371021, 2.3605565 41.6371768)",50,,,,
1239067174,2,C-251,Avinguda del Rei En Jaume,tertiary,False,True,79.982,"LINESTRING (2.3594423 41.6371021, 2.3584837 41.6370379)",50,,,,
24046342,2,BV-5103,Carretera de Dosrius,tertiary,False,False,111.131,"LINESTRING (2.3594423 41.6371021, 2.3594544 41.6369558, 2.3594727 41.6369071, 2.3595632 41.6368009, 2.359772 41.6365918, 2.3598989 41.6364647, 2.3601018 41.6362574)",,,,,
24846416,,,Carrer del Doctor Klein,residential,True,False,51.794,"LINESTRING (2.3583056 41.6390621, 2.3576887 41.6389957)",,,,,
129566616,,,Carrer del Montseny,residential,True,False,42.99,"LINESTRING (2.3583056 41.6390621, 2.3582645 41.6394475)",,,,,
121017790,,,Carrer del Montseny,residential,True,False,115.068,"LINESTRING (2.3583056 41.6390621, 2.3583252 41.6390304, 2.3584254 41.6380333)",,,,,
366503725,,,Carrer de Sant Ramon,residential,True,False,61.427,"LINESTRING (2.3572941 41.6389532, 2.3571976 41.6395009)",,,,,
121017784,,,Carrer de Sant Ramon,residential,True,False,66.34100000000001,"LINESTRING (2.3572941 41.6389532, 2.3573863 41.6385508, 2.3574207 41.6383642)",,,,,
262563559,,,Carrer del Doctor Klein,living_street,True,False,55.879999999999995,"LINESTRING (2.3566267 41.6388918, 2.3572485 41.638949, 2.3572941 41.6389532)",,no,,,
35899101,,,Carrer Lluís Llibre,residential,True,False,57.536,"LINESTRING (2.3559157 41.6394994, 2.3566079 41.6394882)",,,,,
208346333,,BV-5108,Carretera de Cànoves,tertiary,True,False,105.147,"LINESTRING (2.3559157 41.6394994, 2.3558894 41.6404448)",,,,,
885084318,,BV-5108,Carretera de Cànoves,living_street,False,True,74.62899999999999,"LINESTRING (2.3559157 41.6394994, 2.3559208 41.6389265, 2.3559 41.6388295)",,no,,,
24846427,,,Avinguda d'Eduard Corbella,residential,False,False,17.105,"LINESTRING (2.3558367 41.6424319, 2.3560418 41.642445)",,,,,
35899091,,,Avinguda del Mestre Pau Casals,residential,False,True,47.926,"LINESTRING (2.3558367 41.6424319, 2.355531 41.6423913, 2.3552649 41.6423845)",,,,,
