osmid,oneway,name,highway,reversed,length,geometry,tunnel,ref,lanes,junction
22870012,True,Calle de Santiago Martín Báguena,residential,False,62.207,"LINESTRING (-0.489606 39.8515544, -0.4896359 39.8515941, -0.4898016 39.8517817, -0.4900032 39.8520233)",,,,
140583016,True,Plaza del Agua Limpia,residential,False,12.888,"LINESTRING (-0.489606 39.8515544, -0.4896502 39.8515182, -0.4896794 39.8514927, -0.4897053 39.8514672)",,,,
230377088,False,Calle San Cristóbal,residential,False,17.893,"LINESTRING (-0.4875636 39.8532059, -0.4876915 39.8531121, -0.4877163 39.8530957)",,,,
410313230,False,Plaza de Belluga,residential,False,11.431000000000001,"LINESTRING (-0.4875636 39.8532059, -0.4875492 39.8532221, -0.4875195 39.8533021)",,,,
410313231,False,Plaza de Belluga,residential,True,24.689,"LINESTRING (-0.4875636 39.8532059, -0.4875468 39.8531819, -0.4875329 39.8531709, -0.4874015 39.8532255, -0.4873434 39.8532282, -0.4873208 39.8532383)",,,,
142732941,False,Calle Fray Agustín,residential,False,32.371,"LINESTRING (-0.4877163 39.8530957, -0.4878805 39.8531321, -0.4880869 39.8531537)",,,,
230377088,False,Calle San Cristóbal,residential,True,17.893,"LINESTRING (-0.4877163 39.8530957, -0.4876915 39.8531121, -0.4875636 39.8532059)",,,,
144024558,True,Calle Tras-Sagrario,residential,False,21.195999999999998,"LINESTRING (-0.4881894 39.8525633, -0.4880476 39.8524817, -0.487995 39.8525184)",,,,
661402634,True,Calle San Cristóbal,residential,False,71.87,"LINESTRING (-0.4881894 39.8525633, -0.4881118 39.852669, -0.4879674 39.852847, -0.4879424 39.8528811, -0.487891 39.8529366, -0.4877163 39.8530957)",,,,
"[143077540, 961860830]",False,"['Calle San Christóbal', 'Calle San Cristóbal']","['residential', 'living_street']","[False, True]",32.662,"LINESTRING (-0.4883741 39.8524032, -0.4885786 39.8522527, -0.4885954 39.8522407, -0.4886052 39.8522305, -0.4886181 39.8522149, -0.488636 39.8521911)",yes,,,
661402634,True,Calle San Cristóbal,residential,False,23.828,"LINESTRING (-0.4883741 39.8524032, -0.4882246 39.8525244, -0.4881894 39.8525633)",,,,
