osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,lanes,junction
"[40860137, 40860138]",True,Kantoipe kalea,residential,False,97.28899999999999,"LINESTRING (-2.420256 43.320677, -2.4202803 43.3208214, -2.4203546 43.3209484, -2.4205498 43.3211511, -2.4209399 43.3213454)",,,,
40860137,True,Kantoipe kalea,residential,False,62.093,"LINESTRING (-2.4204877 43.3201712, -2.4203653 43.3202362, -2.4203117 43.3204665, -2.4202774 43.3205703, -2.420256 43.320677)",,,,
40861165,True,Andra Mari kalea,residential,False,114.15700000000001,"LINESTRING (-2.4204877 43.3201712, -2.420206 43.3201413, -2.4200744 43.3201635, -2.4200221 43.320216, -2.4199604 43.3206538, -2.4200174 43.3206583, -2.420256 43.320677)",,,,
"[30548002, 30548003, 57888942]",False,Bizkaia zubia,residential,True,100.775,"LINESTRING (-2.4231222 43.3204109, -2.4231067 43.320372, -2.4230451 43.3202168, -2.4230099 43.3201296, -2.422823 43.3196973, -2.4228092 43.319673, -2.4228097 43.3195945, -2.4228167 43.3195804, -2.4228355 43.3195424)",yes,BI-3438,,
"[40860136, 40859981, 40860135]",True,Nasa kalea,residential,False,218.49899999999997,"LINESTRING (-2.4231222 43.3204109, -2.4231024 43.3204137, -2.4230637 43.3204191, -2.4228072 43.3204447, -2.4227835 43.3204471, -2.4227523 43.3204502, -2.4225133 43.3204663, -2.4224138 43.3204622, -2.4221788 43.320416, -2.4221089 43.3204023, -2.42209 43.3203986, -2.4220666 43.3203873, -2.4219757 43.3203435, -2.4219469 43.3203296, -2.421836 43.3203054, -2.4217821 43.3202936, -2.4214491 43.3202398, -2.4214023 43.3202353, -2.4209114 43.3201881, -2.4207878 43.3201789, -2.4207181 43.3201737, -2.4204877 43.3201712)",,,,
40861762,False,Gipuzkoa etorbidea,primary,True,70.189,"LINESTRING (-2.4210187 43.3191905, -2.42142 43.3191559, -2.4215368 43.3191458, -2.4216084 43.3191395, -2.4217077 43.3191337, -2.4218798 43.3191144)",,BI-638,,
911281506,True,Gipuzkoa etorbidea,primary,False,60.578,"LINESTRING (-2.4210187 43.3191905, -2.4206524 43.3192176, -2.4203974 43.319234, -2.4202735 43.3192438)",,BI-638,,
386480358,True,,primary,False,19.134,"LINESTRING (-2.4232091 43.3193834, -2.4230229 43.3193583, -2.4229778 43.3193683)",,BI-633,,
588418887,False,,primary,True,174.559,"LINESTRING (-2.4232091 43.3193834, -2.4232466 43.3193642, -2.4242787 43.3188361, -2.4247283 43.3186408, -2.4250158 43.3185283)",,BI-633,,
40825632,True,,primary,False,56.6,"LINESTRING (-2.4250158 43.3185283, -2.425268 43.3184631, -2.4256766 43.3183611)",,,,
588418887,False,,primary,False,174.559,"LINESTRING (-2.4250158 43.3185283, -2.4247283 43.3186408, -2.4242787 43.3188361, -2.4232466 43.3193642, -2.4232091 43.3193834)",,BI-633,,
404448451,False,Artabide kalea,tertiary,False,40.141,"LINESTRING (-2.423531 43.3244413, -2.4235314 43.3248023)",,BI-3438,,
1222122721,False,,tertiary,True,17.124,"LINESTRING (-2.423531 43.3244413, -2.4235463 43.3242877)",,,2,
