osmid,name,highway,width,oneway,reversed,length,geometry,lanes,ref,tunnel,junction,access
"[81725882, 123482099, 1159731534]","['Plaza del Padre Caro', 'Calle del Retiro']",residential,3,False,False,235.391,"LINESTRING (-5.9642101 36.2549709, -5.9636775 36.2547901, -5.9633662 36.2546796, -5.9628562 36.2545079, -5.9619994 36.2542713, -5.9619679 36.2542109, -5.96196 36.2540759)",,,,,
44680566,Avenida Los Remedios,tertiary,,False,False,214.293,"LINESTRING (-5.9680442 36.2548491, -5.9677689 36.2549057, -5.9674989 36.2549489, -5.9673907 36.2549555, -5.9672876 36.2549465, -5.9671519 36.2549183, -5.9664586 36.2547619, -5.9663995 36.2547433, -5.9663406 36.2547247, -5.9657824 36.2544865)",,,,,
692982794,Avenida de Andalucía,tertiary,,False,True,40.212,"LINESTRING (-5.9680442 36.2548491, -5.9680474 36.2547661, -5.9680559 36.2546526, -5.9680463 36.2544879)",2,,,,
713651449,Avenida Los Remedios,tertiary,,True,False,21.884,"LINESTRING (-5.9680442 36.2548491, -5.9681772 36.2548608, -5.9682744 36.2549028)",1,A-2229,,,
713651448,Avenida Los Remedios,tertiary,,True,False,31.508,"LINESTRING (-5.9657824 36.2544865, -5.9654948 36.2543237)",1,,,,
44680566,Avenida Los Remedios,tertiary,,False,False,29.415,"LINESTRING (-5.9657824 36.2544865, -5.9656137 36.2544467, -5.9654632 36.254428)",,,,,
44680566,Avenida Los Remedios,tertiary,,False,True,214.29299999999998,"LINESTRING (-5.9657824 36.2544865, -5.9663406 36.2547247, -5.9663995 36.2547433, -5.9664586 36.2547619, -5.9671519 36.2549183, -5.9672876 36.2549465, -5.9673907 36.2549555, -5.9674989 36.2549489, -5.9677689 36.2549057, -5.9680442 36.2548491)",,,,,
123504142,Calle Plazuela,residential,,False,True,38.688,"LINESTRING (-5.9655581 36.253984, -5.965568 36.2541091, -5.9655117 36.2542744, -5.9654948 36.2543237)",,,,,
"[371869777, 1089913371, 123571797]","['Calle Nuestra Señora de la Oliva', 'Calle Marqués de Tamarón']",residential,,False,"[False, True]",90.65099999999998,"LINESTRING (-5.9655581 36.253984, -5.9654964 36.253995, -5.9654029 36.2540075, -5.9652177 36.2539577, -5.965119 36.2539747, -5.9650292 36.2540339, -5.964954 36.2541223, -5.9648239 36.2541537, -5.9646989 36.2541839, -5.9646589 36.2541932)",,,building_passage,,
123555254,Calle José Castrillón,residential,,True,False,122.28299999999999,"LINESTRING (-5.9641244 36.254074, -5.9639969 36.2541081, -5.9638698 36.2541239, -5.9636759 36.254091, -5.9635489 36.2540637, -5.9635248 36.2539928, -5.9634592 36.253981, -5.9633687 36.2539068, -5.9633181 36.2538199, -5.9632649 36.2537756, -5.9631062 36.2536636, -5.9630793 36.2536051)",,,,,
1093532280,Calle José Castrillón,residential,,False,True,33.57,"LINESTRING (-5.9641244 36.254074, -5.964141 36.2539874, -5.9641654 36.2539253, -5.964207 36.25388, -5.9642893 36.2538152)",,,,,
1151212361,Calle Sagasta,residential,,False,False,5.509,"LINESTRING (-5.9661128 36.2531645, -5.9661259 36.2532129)",,,,,
81725886,Calle Santísimo,residential,,True,False,106.49,"LINESTRING (-5.9661128 36.2531645, -5.9661417 36.2531134, -5.9661965 36.2530523, -5.9664488 36.2528464, -5.9667999 36.2525599, -5.9668238 36.2525403, -5.966914 36.2524627)",,,,,
123571794,Calle Miralles,residential,,False,False,77.40299999999999,"LINESTRING (-5.9658404 36.2521227, -5.9657492 36.2522842, -5.9656409 36.2525047, -5.9656135 36.2525835, -5.9655956 36.2526423, -5.9655742 36.2527251, -5.9655669 36.2527793)",,,,,
123571794,Calle Miralles,residential,,False,True,64.62400000000001,"LINESTRING (-5.9658404 36.2521227, -5.96584 36.2520831, -5.9658414 36.2520225, -5.9658682 36.2519775, -5.9659007 36.2519363, -5.9659299 36.251903, -5.9662146 36.2516935, -5.9662427 36.2516729)",,,,,
1087774546,Callejón de Palomina,residential,,False,False,37.522000000000006,"LINESTRING (-5.9658404 36.2521227, -5.9660119 36.2522469, -5.9661558 36.2523444)",1,,,,
