osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,junction,geometry,access,tunnel
207255848,True,2,N-II,Avenida de la Constitución,primary,50,False,27.65,,"LINESTRING (-3.4821777 40.4554357, -3.4818536 40.4554676)",,
8329926,True,2,N-II,Plaza de España,primary,50,False,11.637,roundabout,"LINESTRING (-3.4801455 40.4557117, -3.4801501 40.4556766, -3.480141 40.4556451, -3.4801075 40.4556181)",,
"[168658540, 37837301]",True,2,N-II,Avenida de la Constitución,primary,50,False,58.929,,"LINESTRING (-3.4801455 40.4557117, -3.4802289 40.4556966, -3.4802612 40.4556944, -3.4807057 40.4556594, -3.4808363 40.455648)",,
22292813,True,2,,Avenida de las Fronteras,secondary,50,False,34.108000000000004,,"LINESTRING (-3.4836326 40.4554143, -3.4835942 40.4555326, -3.4834711 40.455692)",,
132665932,True,2,N-II,,primary,40,False,16.137999999999998,roundabout,"LINESTRING (-3.4836326 40.4554143, -3.483663 40.4554378, -3.483709 40.4554573, -3.4838035 40.4554625)",,
22292775,True,2,N-II,,primary,40,False,16.2,roundabout,"LINESTRING (-3.4839158 40.4553998, -3.4839347 40.4553609, -3.4839345 40.4553103, -3.4839065 40.4552611)",,
220940722,True,2,N-II,,primary,40,False,3.363,roundabout,"LINESTRING (-3.4839065 40.4552611, -3.4838798 40.4552387)",,
37837303,True,2,N-II,Avenida de la Constitución,primary,50,False,10.592,,"LINESTRING (-3.4836042 40.4553012, -3.4834799 40.4553125)",,
123040829,True,2,N-II,,primary,40,False,12.328,roundabout,"LINESTRING (-3.4836042 40.4553012, -3.4835981 40.4553419, -3.4836098 40.4553834, -3.4836266 40.4554077)",,
"[168658541, 31587647]",True,,,Avenida de las Fronteras,secondary,50,False,72.382,,"LINESTRING (-3.4831106 40.4561873, -3.4830737 40.4563512, -3.4830752 40.4564629, -3.4830832 40.4565588, -3.4831227 40.4567731, -3.4831345 40.4568329)",,
383436940,True,,,Avenida de las Fronteras,secondary,50,False,11.048,,"LINESTRING (-3.4834738 40.4582276, -3.4834557 40.4581292)",,
31689442,True,,,Calle de Torrejón,tertiary,,False,23.688000000000002,,"LINESTRING (-3.4834738 40.4582276, -3.4836388 40.4581844, -3.4837155 40.4581293)",,
257039692,True,,,Avenida de las Fronteras,tertiary,,False,10.542,,"LINESTRING (-3.4839546 40.4611436, -3.4838364 40.4611136)",,
