osmid,ref,highway,oneway,reversed,length,geometry,name,bridge,junction,lanes,width,tunnel
46612089,GI-2630,secondary,False,True,411.28099999999995,"LINESTRING (-2.4131719 43.0295512, -2.4132701 43.029702, -2.4134007 43.0298431, -2.4135333 43.0299746, -2.4136779 43.0300941, -2.4138287 43.0302113, -2.4139915 43.0303138, -2.4143343 43.0305117, -2.4150216 43.0308799, -2.4157033 43.0312522, -2.4160423 43.0314391, -2.4163706 43.0316387, -2.4165564 43.0317897, -2.4167744 43.0319869, -2.4168407 43.0320469)",,,,,,
473315936,GI-2630,secondary,True,False,22.766,"LINESTRING (-2.4131719 43.0295512, -2.4131292 43.0294662, -2.4130931 43.0293551)",,,,,,
"[45667702, 13433010, 1215737338]",,residential,True,False,107.06200000000001,"LINESTRING (-2.4122272 43.0319766, -2.412645 43.0315633, -2.4127549 43.031462, -2.4128523 43.0313751, -2.4130364 43.0312174)","['Ramon Irizar', 'Ramon Irizar kalea', 'Zubibarri kalea']",yes,,,,
48866672,,residential,True,False,118.51599999999999,"LINESTRING (-2.4122272 43.0319766, -2.4123498 43.0320301, -2.4128933 43.0323208, -2.4134227 43.0325861)",Atzeko kalea,,,,,
23365800,GI-2630,secondary,True,False,52.182,"LINESTRING (-2.4130931 43.0293551, -2.4131195 43.0293171, -2.4131332 43.0292756, -2.4131332 43.0292329, -2.4131196 43.0291914, -2.4130932 43.0291534, -2.4130554 43.0291209, -2.4130082 43.0290957, -2.4129544 43.0290793, -2.4128967 43.0290725, -2.4128385 43.0290757, -2.412783 43.0290887)",,,roundabout,,,
23365800,GI-2630,secondary,True,False,21.229,"LINESTRING (-2.412783 43.0290887, -2.4127276 43.0291141, -2.4126832 43.029149, -2.4126528 43.0291913, -2.4126385 43.0292378)",,,roundabout,,,
1092835458,GI-3591,tertiary,False,False,87.40700000000001,"LINESTRING (-2.412783 43.0290887, -2.4125877 43.0288984, -2.4123391 43.0286086, -2.4121906 43.0284334)",,,,,,
23365800,GI-2630,secondary,True,False,18.974,"LINESTRING (-2.4127329 43.0293973, -2.4127827 43.0294195, -2.4128383 43.0294326, -2.4128965 43.0294358, -2.4129541 43.0294291)",,,roundabout,,,
386902279,GI-2630,secondary,True,False,22.31,"LINESTRING (-2.4129541 43.0294291, -2.4131719 43.0295512)",,,,,,
23365800,GI-2630,secondary,True,False,14.239,"LINESTRING (-2.4129541 43.0294291, -2.413008 43.0294127, -2.4130552 43.0293876, -2.4130931 43.0293551)",,,roundabout,,,
45425050,,residential,True,False,113.00699999999999,"LINESTRING (-2.4080332 43.0317154, -2.4082963 43.031989, -2.4087025 43.0322951, -2.4089309 43.0324296, -2.4089821 43.0324464)",Kurtzebide kalea,,,,,
1262297705,GI-2630,secondary,True,False,8.258,"LINESTRING (-2.4080332 43.0317154, -2.4080839 43.0317133, -2.4081314 43.0317001)",,,roundabout,,,
