osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,bridge,tunnel
10234999,False,2,Rúa Pai Crespo,tertiary,30,True,19.612,"LINESTRING (-8.6102362 42.2807377, -8.6103175 42.2805719)",,,,
186299175,False,2,Rúa José Regojo,tertiary,30,False,66.93099999999998,"LINESTRING (-8.6102362 42.2807377, -8.6102106 42.2807779, -8.6102058 42.2807863, -8.6101851 42.280823, -8.6101849 42.2808233, -8.6101806 42.2808309, -8.6101157 42.2809184, -8.6100596 42.2809751, -8.6099904 42.2810463, -8.6099148 42.2811247, -8.6098603 42.2811792, -8.6098012 42.281244)",,,,
"[1223222827, 1223222823]",False,"['2', '3']",Paseo Xunqueira,residential,30,True,37.517,"LINESTRING (-8.6102362 42.2807377, -8.6104296 42.2808249, -8.6106256 42.2809133)",,,,
1136564860,True,1,,tertiary,40,False,6.203,"LINESTRING (-8.6090557 42.2818179, -8.608981 42.2818255)",PO-250,,,
"[1216342653, 10234997]",True,1,Praza de Ribadavia,tertiary,30,False,12.527999999999999,"LINESTRING (-8.6090557 42.2818179, -8.6090251 42.2818347, -8.6090039 42.2818581, -8.6089945 42.2818853, -8.6089981 42.2819134)",,roundabout,,
1216342653,True,1,Praza de Ribadavia,tertiary,30,False,4.526999999999999,"LINESTRING (-8.6089981 42.2819134, -8.6090085 42.2819322, -8.6090249 42.2819486)",,roundabout,,
1146793150,False,,Avenida Mendiño,tertiary,,False,23.136000000000003,"LINESTRING (-8.6101367 42.2864065, -8.6101852 42.2864538, -8.6102053 42.2864993, -8.6102143 42.28655, -8.6102071 42.2865994)",,,,
1146793151,True,,,tertiary,,False,32.276,"LINESTRING (-8.6101367 42.2864065, -8.610034 42.2863078, -8.6098847 42.2862592, -8.6098273 42.2862442)",,,,
"[136733857, 1223222826, 186287948]",True,,,residential,,False,31.78,"LINESTRING (-8.6102071 42.2865994, -8.6102333 42.2866012, -8.610263 42.2866004, -8.6103226 42.2865853, -8.6103463 42.2865782, -8.6105101 42.2865281, -8.6105697 42.2865099)",EP-2904,,yes,
379343445,False,2,Avenida Mendiño,tertiary,,True,28.201999999999998,"LINESTRING (-8.6102071 42.2865994, -8.610164 42.2866761, -8.6101178 42.2867574, -8.6101107 42.2868396)",,,,
1146793150,False,,Avenida Mendiño,tertiary,,True,23.136,"LINESTRING (-8.6102071 42.2865994, -8.6102143 42.28655, -8.6102053 42.2864993, -8.6101852 42.2864538, -8.6101367 42.2864065)",,,,
"[1108162682, 10235003, 565480292, 565480290]",True,,Avenida Ernestina Otero,residential,30,False,330.1090000000001,"LINESTRING (-8.6105697 42.2865099, -8.6103739 42.2861617, -8.6103164 42.2860541, -8.6101993 42.2858348, -8.6101244 42.2856945, -8.6098575 42.2852085, -8.6098534 42.2852005, -8.6098173 42.2851298, -8.6094713 42.2844527, -8.609425 42.2843542, -8.609411 42.284316, -8.6093953 42.2842731, -8.6093863 42.2841988, -8.6094031 42.2841225, -8.6094221 42.2840627, -8.6094998 42.2838783, -8.6095217 42.2838222, -8.6095397 42.2837762, -8.6095731 42.2837264)",,,,yes
186287942,False,,Avenida Ernestira Otero,residential,30,False,20.57,"LINESTRING (-8.6111033 42.2819904, -8.6110771 42.281918, -8.6110391 42.2818394, -8.6110249 42.281815)",,,,
186287949,True,1,,residential,30,False,28.323,"LINESTRING (-8.6111033 42.2819904, -8.6112054 42.2819662, -8.6113759 42.2819131, -8.6114266 42.2819043)",,,,
10234993,True,,,residential,30,False,8.981,"LINESTRING (-8.6108668 42.2810359, -8.6108845 42.2810161, -8.6108922 42.280993, -8.6108889 42.2809693, -8.6108844 42.2809605)",,roundabout,,
186287942,False,,Avenida Ernestira Otero,residential,30,True,19.303,"LINESTRING (-8.6108668 42.2810359, -8.6108498 42.2811866, -8.6108473 42.2812089)",,,,
10234991,True,,Avenida Mendiño,tertiary,,False,26.894000000000002,"LINESTRING (-8.6098429 42.2863284, -8.6099393 42.2863214, -8.610014 42.2863438, -8.6100712 42.2863685, -8.6101367 42.2864065)",,,,
