osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,bridge
220401122,False,2,Avenida de España,tertiary,30,False,48.324,"LINESTRING (-6.6528797 38.1638086, -6.6526805 38.1638947, -6.6524104 38.1640374)",,,
220401122,False,2,Avenida de España,tertiary,30,True,112.82,"LINESTRING (-6.6528797 38.1638086, -6.6534371 38.1635312, -6.6535941 38.1634616, -6.6539866 38.1632877)",,,
545693528,False,,,residential,,True,112.95400000000001,"LINESTRING (-6.6528797 38.1638086, -6.6528202 38.1637463, -6.6527011 38.1636427, -6.6523846 38.1633511, -6.6519437 38.1635791)",,,
220401122,False,2,Avenida de España,tertiary,30,False,2.489,"LINESTRING (-6.6504584 38.1667237, -6.650456 38.166746)",,,
220401122,False,2,Avenida de España,tertiary,30,True,7.709,"LINESTRING (-6.6504584 38.1667237, -6.6504693 38.1666549)",,,
626263254,False,,Travesía Libertad,residential,,False,70.668,"LINESTRING (-6.6504584 38.1667237, -6.6512468 38.1665834)",,,
46986548,False,2,Avenida de España,tertiary,30,False,102.85300000000001,"LINESTRING (-6.6555669 38.1627964, -6.65496 38.1629448, -6.6548439 38.1629732, -6.6546813 38.1630191, -6.6545303 38.1630607, -6.6544488 38.1630835)",,,
46986548,False,2,Avenida de España,tertiary,30,True,6.543,"LINESTRING (-6.6543787 38.1631041, -6.6544488 38.1630835)",,,
553343945,True,,Avenida de España,tertiary,40,False,14.534,"LINESTRING (-6.6543787 38.1631041, -6.6542969 38.1631275, -6.6542189 38.1631383)",,,
46986549,True,1,,primary,30,False,18.36,"LINESTRING (-6.6484425 38.169592, -6.6484046 38.1696063, -6.6483726 38.1696277, -6.6483487 38.1696549, -6.6483345 38.1696859, -6.6483309 38.1697188)",EX-101,roundabout,
46986549,True,1,,primary,30,False,8.625,"LINESTRING (-6.6484773 38.1698402, -6.6485266 38.169838, -6.6485727 38.1698243)",EX-101,roundabout,
87262490,False,,Travesía de la Fuente,residential,,False,75.563,"LINESTRING (-6.6488663 38.1642446, -6.6481495 38.1646243)",,,
87262490,False,,Travesía de la Fuente,residential,,True,59.423,"LINESTRING (-6.6488663 38.1642446, -6.6494253 38.1639406)",,,
87262520,True,,Calle Orihuela Grande,residential,,False,67.856,"LINESTRING (-6.6488663 38.1642446, -6.648523 38.1636973)",,,
87262490,False,,Travesía de la Fuente,residential,,True,75.563,"LINESTRING (-6.6481495 38.1646243, -6.6488663 38.1642446)",,,
553351876,True,,Calle Orihuela Chica,residential,,False,81.439,"LINESTRING (-6.6481495 38.1646243, -6.6487548 38.165181)",,,
87262465,True,,Barriada de la Caja Rural,residential,,False,47.439,"LINESTRING (-6.6527957 38.1649353, -6.6533308 38.1648645)",,,
