osmid,lanes,highway,junction,oneway,reversed,length,geometry,ref,bridge,name,maxspeed,tunnel
23544366,2,trunk,roundabout,True,False,50.46,"LINESTRING (-1.2094085 39.5638168, -1.209481 39.5639155, -1.2095907 39.5639911, -1.2097261 39.5640357, -1.2098728 39.5640445)",,,,,
23544366,2,trunk,roundabout,True,False,27.341,"LINESTRING (-1.2098728 39.5640445, -1.2099769 39.564028, -1.2100732 39.5639933, -1.2101564 39.5639422)",,,,,
1161713612,2,tertiary,,True,False,31.156,"LINESTRING (-1.2098728 39.5640445, -1.2099345 39.5640818, -1.2100283 39.5641418, -1.2101464 39.5642286)",CV-3990,,,,
23544366,2,trunk,roundabout,True,False,28.804000000000002,"LINESTRING (-1.2101564 39.5639422, -1.2102248 39.5638738, -1.2102694 39.5637946, -1.2102875 39.5637094)",,,,,
23544385,1,trunk,,True,False,45.853,"LINESTRING (-1.2089271 39.563647, -1.2091278 39.5636958, -1.2092329 39.5637237, -1.2092945 39.5637541, -1.2093489 39.5637814, -1.2094085 39.5638168)",,,,,
"[179987979, 179987989, 23544383]",,trunk,,False,True,711.067,"LINESTRING (-1.2089271 39.563647, -1.2085997 39.563608, -1.208039 39.5635326, -1.2078543 39.5635157, -1.2077198 39.5635092, -1.207603 39.5635148, -1.2068298 39.5635486, -1.2063854 39.5635655, -1.2058224 39.5635912, -1.2056155 39.5636012, -1.2051845 39.563618, -1.2049338 39.5636288, -1.2041718 39.5636647, -1.2035685 39.5636894, -1.2029368 39.5637204, -1.2016236 39.5637821, -1.2006579 39.5638247)",N-III,yes,,,
202008257,,tertiary,,False,False,70.041,"LINESTRING (-1.2061837 39.5721887, -1.2062503 39.5715609)",CV-3990,,Avenida Marin Lázaro,30,
643008766,,residential,,False,True,35.686,"LINESTRING (-1.2061837 39.5721887, -1.206526 39.5723714)",,,Calle del Canal,,
202008257,,tertiary,,False,True,23.326,"LINESTRING (-1.2061837 39.5721887, -1.2061759 39.5722972, -1.2061776 39.5723983)",CV-3990,,Avenida Marin Lázaro,30,
164424880,,residential,,False,False,73.441,"LINESTRING (-1.2062837 39.5712588, -1.2056309 39.570831)",,,Calle Barcelona,,
164424880,,residential,,False,True,116.707,"LINESTRING (-1.2062837 39.5712588, -1.2074744 39.5717679)",,,Calle Barcelona,,
202008257,,tertiary,,False,True,33.714,"LINESTRING (-1.2062837 39.5712588, -1.2062503 39.5715609)",CV-3990,,Avenida Marin Lázaro,30,
202008257,,tertiary,,False,False,44.598,"LINESTRING (-1.2062837 39.5712588, -1.2063403 39.5709777, -1.2063612 39.5708622)",CV-3990,,Avenida Marin Lázaro,30,
202008257,,tertiary,,False,True,44.598,"LINESTRING (-1.2063612 39.5708622, -1.2063403 39.5709777, -1.2062837 39.5712588)",CV-3990,,Avenida Marin Lázaro,30,
202008265,,tertiary,,False,False,33.592999999999996,"LINESTRING (-1.2063612 39.5708622, -1.2063847 39.5707965, -1.2064121 39.5707453, -1.2064437 39.5706993, -1.2064819 39.5706652, -1.2065518 39.5706041)",CV-3990,,Calle Dos de Mayo,,
380715917,,residential,,False,True,87.958,"LINESTRING (-1.2063612 39.5708622, -1.2062378 39.5708136, -1.206161 39.5707692, -1.2059266 39.5706111, -1.2056681 39.5704265, -1.2055835 39.5703527)",,,Calle Nuestra Señora del Remedio,,
