osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,name,tunnel
84492701,True,PP-1222,tertiary,50,False,57.31099999999999,"LINESTRING (-4.4910495 41.9244746, -4.4911712 41.9246766, -4.4912819 41.9248544, -4.4913379 41.9249432)",,,
1125191723,False,PP-1222,tertiary,50,True,62.128,"LINESTRING (-4.4910495 41.9244746, -4.4907676 41.9240396, -4.4907234 41.9239713)",2,Calle Frontera de Haro,
165062986,True,,tertiary,,False,22.629,"LINESTRING (-4.4922725 41.9196683, -4.4925116 41.9195695)",,Avenida de la Estación,
165063035,False,,residential,,False,78.316,"LINESTRING (-4.4922725 41.9196683, -4.4918701 41.9190308)",,Calle Victorio Macho,
33913300,False,PP-1222,tertiary,50,True,44.437,"LINESTRING (-4.4880072 41.9198446, -4.4877637 41.9194884)",,Calle Frontera de Haro,
33913300,False,PP-1222,tertiary,50,False,133.62300000000002,"LINESTRING (-4.4880072 41.9198446, -4.4882352 41.9201938, -4.4883466 41.9203652, -4.4884636 41.9205408, -4.4886527 41.9208245, -4.4887228 41.9209218)",,Calle Frontera de Haro,
165063071,False,,residential,,False,29.35,"LINESTRING (-4.4880072 41.9198446, -4.487956 41.9198639, -4.4878857 41.9198905, -4.4876909 41.9199641)",,Calle Margen Acequia,
165192630,False,,residential,,True,30.836000000000002,"LINESTRING (-4.4880072 41.9198446, -4.4880534 41.9198367, -4.4881 41.9198288, -4.4883548 41.919747)",,Calle Pablo Picasso,
40793951,True,P-903,tertiary,50,False,58.387,"LINESTRING (-4.4915842 41.9248127, -4.4914586 41.9247535, -4.4913389 41.9246872, -4.4912476 41.9246305, -4.4911991 41.9246003, -4.4910495 41.9244746)",,,
84492682,True,,tertiary,,False,29.864999999999995,"LINESTRING (-4.4915842 41.9248127, -4.4915121 41.9247974, -4.4914536 41.9248039, -4.4914051 41.9248326, -4.4913678 41.9248752, -4.4913486 41.9249084, -4.4913379 41.9249432)",,,
33913300,False,PP-1222,tertiary,50,False,37.343,"LINESTRING (-4.4887228 41.9209218, -4.4888165 41.9210756, -4.4889167 41.921225)",,Calle Frontera de Haro,
33913300,False,PP-1222,tertiary,50,True,133.623,"LINESTRING (-4.4887228 41.9209218, -4.4886527 41.9208245, -4.4884636 41.9205408, -4.4883466 41.9203652, -4.4882352 41.9201938, -4.4880072 41.9198446)",,Calle Frontera de Haro,
