osmid,highway,oneway,reversed,length,geometry,name,ref,lanes,junction
151948870,residential,False,True,77.695,"LINESTRING (-3.1099736 40.5851147, -3.1101116 40.5852139, -3.1106297 40.5856045)",,,,
151951668,residential,False,True,74.779,"LINESTRING (-3.1099736 40.5851147, -3.1098694 40.5851951, -3.1093523 40.5855939)",Calle Asteroide Astrea,,,
151948868,residential,False,True,89.148,"LINESTRING (-3.1062808 40.5852541, -3.1069493 40.5858746)",,,,
151948819,residential,False,True,158.781,"LINESTRING (-3.1062808 40.5852541, -3.1061368 40.5853397, -3.1049391 40.5860899, -3.1048274 40.58616)",Calle Romero,,,
386330339,residential,False,False,13.676,"LINESTRING (-3.1127783 40.585355, -3.1126589 40.5854381)",,CM-9205,,
151951668,residential,False,False,74.779,"LINESTRING (-3.1093523 40.5855939, -3.1098694 40.5851951, -3.1099736 40.5851147)",Calle Asteroide Astrea,,,
151951668,residential,False,True,77.53699999999999,"LINESTRING (-3.1093523 40.5855939, -3.1088414 40.5859878, -3.108708 40.5860907)",Calle Asteroide Astrea,,,
151948860,residential,False,True,152.913,"LINESTRING (-3.1106297 40.5856045, -3.1104819 40.5857262, -3.1100097 40.5860914, -3.1094935 40.5864939, -3.1093737 40.5865949)",,,,
151948870,residential,False,False,77.695,"LINESTRING (-3.1106297 40.5856045, -3.1101116 40.5852139, -3.1099736 40.5851147)",,,,
151948870,residential,False,True,105.926,"LINESTRING (-3.1106297 40.5856045, -3.1113915 40.5861802, -3.1115211 40.5862747)",,,,
151948791,residential,False,False,75.517,"LINESTRING (-3.1121499 40.5857918, -3.1115211 40.5862747)",Avenida de Galileo,,,
380061678,tertiary,False,False,130.056,"LINESTRING (-3.1121499 40.5857918, -3.1130433 40.5864804, -3.1132309 40.5866249)",Avenida de la Cañada,CM-9205,,
386330339,residential,False,True,58.260999999999996,"LINESTRING (-3.1121499 40.5857918, -3.1122213 40.5857426, -3.1126589 40.5854381)",,CM-9205,,
151948868,residential,False,False,89.148,"LINESTRING (-3.1069493 40.5858746, -3.1062808 40.5852541)",,,,
151948868,residential,False,True,123.403,"LINESTRING (-3.1069493 40.5858746, -3.1078728 40.5867347)",,,,
151948799,residential,False,True,79.394,"LINESTRING (-3.108708 40.5860907, -3.1088446 40.5861941, -3.1092475 40.5864993, -3.1093737 40.5865949)",Calle Víctimas del 11 - M,,,
151951668,residential,False,False,77.53699999999999,"LINESTRING (-3.108708 40.5860907, -3.1088414 40.5859878, -3.1093523 40.5855939)",Calle Asteroide Astrea,,,
151951668,residential,False,True,100.508,"LINESTRING (-3.108708 40.5860907, -3.108593 40.5861794, -3.1079744 40.5866564, -3.1078728 40.5867347)",Calle Asteroide Astrea,,,
151948819,residential,False,True,8.905,"LINESTRING (-3.1048274 40.58616, -3.1047461 40.586211)",Calle Romero,,,
151948819,residential,False,False,158.781,"LINESTRING (-3.1048274 40.58616, -3.1049391 40.5860899, -3.1061368 40.5853397, -3.1062808 40.5852541)",Calle Romero,,,
151948808,residential,True,False,106.603,"LINESTRING (-3.1047461 40.586211, -3.1056423 40.5868862)",Avenida de las Perseidas,,2,
151948819,residential,False,False,8.905,"LINESTRING (-3.1047461 40.586211, -3.1048274 40.58616)",Calle Romero,,,
151948819,residential,False,True,88.41799999999999,"LINESTRING (-3.1047461 40.586211, -3.1040408 40.5866437, -3.1039327 40.5867117)",Calle Romero,,,
151948791,residential,False,True,75.517,"LINESTRING (-3.1115211 40.5862747, -3.1121499 40.5857918)",Avenida de Galileo,,,
151948791,residential,False,False,153.25400000000002,"LINESTRING (-3.1115211 40.5862747, -3.1114084 40.5863613, -3.110892 40.5867578, -3.1103844 40.5871477, -3.1103705 40.5871583, -3.110245 40.5872547)",Avenida de Galileo,,,
151948870,residential,False,False,105.926,"LINESTRING (-3.1115211 40.5862747, -3.1113915 40.5861802, -3.1106297 40.5856045)",,,,
151948799,residential,False,True,103.904,"LINESTRING (-3.1093737 40.5865949, -3.110245 40.5872547)",Calle Víctimas del 11 - M,,,
151948799,residential,False,False,79.394,"LINESTRING (-3.1093737 40.5865949, -3.1092475 40.5864993, -3.1088446 40.5861941, -3.108708 40.5860907)",Calle Víctimas del 11 - M,,,
151948860,residential,False,False,152.91299999999998,"LINESTRING (-3.1093737 40.5865949, -3.1094935 40.5864939, -3.1100097 40.5860914, -3.1104819 40.5857262, -3.1106297 40.5856045)",,,,
204848920,tertiary,True,False,20.84,"LINESTRING (-3.1132309 40.5866249, -3.1132828 40.5866894, -3.1133022 40.5867367, -3.1133217 40.5867972)",Avenida de la Cañada,CM-9205,,
380061678,tertiary,False,True,130.056,"LINESTRING (-3.1132309 40.5866249, -3.1130433 40.5864804, -3.1121499 40.5857918)",Avenida de la Cañada,CM-9205,,
151948828,tertiary,True,False,18.317,"LINESTRING (-3.1134751 40.5866844, -3.1134075 40.5867168, -3.1133616 40.5867514, -3.1133217 40.5867972)",Glorieta del Lago,CM-9205,,roundabout
151948865,tertiary,True,False,21.891,"LINESTRING (-3.1134751 40.5866844, -3.1133883 40.586676, -3.1133092 40.586656, -3.1132309 40.5866249)",Avenida de la Cañada,CM-9205,,
151948819,residential,False,False,88.41799999999999,"LINESTRING (-3.1039327 40.5867117, -3.1040408 40.5866437, -3.1047461 40.586211)",Calle Romero,,,
151951695,residential,False,False,95.031,"LINESTRING (-3.1039327 40.5867117, -3.1040482 40.5867994, -3.1047328 40.5873127)",Calle Roque de los Muchachos,,,
151948868,residential,False,False,123.403,"LINESTRING (-3.1078728 40.5867347, -3.1069493 40.5858746)",,,,
151948868,residential,False,True,184.25,"LINESTRING (-3.1078728 40.5867347, -3.107954 40.5868106, -3.1091273 40.5879071, -3.1092432 40.588024)",,,,
151951668,residential,False,False,100.508,"LINESTRING (-3.1078728 40.5867347, -3.1079744 40.5866564, -3.108593 40.5861794, -3.108708 40.5860907)",Calle Asteroide Astrea,,,
151951668,residential,False,True,135.401,"LINESTRING (-3.1078728 40.5867347, -3.1077562 40.5868246, -3.1068808 40.5874996, -3.1068504 40.587523, -3.1067477 40.5876023)",Calle Asteroide Astrea,,,
151948828,tertiary,True,False,23.325000000000003,"LINESTRING (-3.1133217 40.5867972, -3.113298 40.5868426, -3.1132862 40.58689, -3.1132878 40.5869463, -3.1133058 40.587001)",Glorieta del Lago,CM-9205,,roundabout
151948808,residential,True,False,122.379,"LINESTRING (-3.1056423 40.5868862, -3.1066696 40.5876625)",Avenida de las Perseidas,,2,
293278595,residential,False,True,87.767,"LINESTRING (-3.1056423 40.5868862, -3.1055753 40.5869378, -3.1055312 40.5869717, -3.1049121 40.5874479)",,,,
151948798,tertiary,True,False,203.94,"LINESTRING (-3.1133058 40.587001, -3.1132591 40.5870737, -3.1131835 40.5871287, -3.1128878 40.5873004, -3.1116354 40.5880892, -3.1114788 40.5881892)",Avenida del Parque,CM-9205,2,
151948828,tertiary,True,False,18.144,"LINESTRING (-3.1133058 40.587001, -3.1133272 40.5870362, -3.1133579 40.5870708, -3.1133958 40.5871012, -3.1134386 40.5871259)",Glorieta del Lago,CM-9205,,roundabout
151948828,tertiary,True,False,69.422,"LINESTRING (-3.1139153 40.5870259, -3.1139409 40.5869731, -3.1139504 40.5869189, -3.1139474 40.5868784, -3.1139273 40.58682, -3.1138966 40.5867749, -3.1138573 40.5867374, -3.113764 40.5866858, -3.1136604 40.5866621, -3.1135658 40.5866631, -3.1134751 40.5866844)",Glorieta del Lago,CM-9205,,roundabout
151948828,tertiary,True,False,28.968,"LINESTRING (-3.1134386 40.5871259, -3.1135091 40.5871517, -3.1135987 40.5871652, -3.1136854 40.5871603, -3.1137671 40.5871387)",Glorieta del Lago,CM-9205,,roundabout
151948828,tertiary,True,False,17.989,"LINESTRING (-3.1137671 40.5871387, -3.1138338 40.587105, -3.1138819 40.5870665, -3.1139153 40.5870259)",Glorieta del Lago,CM-9205,,roundabout
151948875,residential,True,False,135.38,"LINESTRING (-3.1137671 40.5871387, -3.1138581 40.5871608, -3.1139351 40.587207, -3.1148197 40.5878684, -3.1149316 40.5879637)",Avenida de la Cañada,,,
151948799,residential,False,False,103.904,"LINESTRING (-3.110245 40.5872547, -3.1093737 40.5865949)",Calle Víctimas del 11 - M,,,
