osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,width,bridge
51277152,True,1,N-110,Carretera de Ávila,trunk,40,False,23.198,"LINESTRING (-5.324341 40.4641794, -5.3245263 40.464181, -5.3246152 40.4641805)",,,
51277148,True,2,N-110,,trunk,40,False,6.886,"LINESTRING (-5.3246152 40.4641805, -5.3246506 40.4641958, -5.3246899 40.4642038)",roundabout,,
51277148,True,2,N-110,,trunk,40,False,11.851,"LINESTRING (-5.3247846 40.4641914, -5.3248225 40.4641707, -5.3248509 40.4641425, -5.3248673 40.4641092)",roundabout,,
51277149,True,1,N-110,Calle Extramuros,trunk,40,False,22.817999999999998,"LINESTRING (-5.3247846 40.4641914, -5.3249058 40.4642199, -5.3250204 40.4642848)",,,
32654354,False,2,N-110,Calle Extramuros,trunk,50,False,64.167,"LINESTRING (-5.3250204 40.4642848, -5.3254036 40.4647376, -5.325431 40.46477)",,,
51277150,True,1,N-110,Calle Extramuros,trunk,40,False,23.491,"LINESTRING (-5.3250204 40.4642848, -5.3249061 40.4641426, -5.3248673 40.4641092)",,,
32654354,False,2,N-110,Calle Extramuros,trunk,50,True,16.295,"LINESTRING (-5.3255353 40.4648932, -5.325431 40.46477)",,,
32654354,False,2,N-110,Calle Extramuros,trunk,50,False,43.643,"LINESTRING (-5.3255353 40.4648932, -5.3257826 40.4651522, -5.3258348 40.4652127)",,,
51277153,True,,,Calle de la Alhóndiga,residential,,False,130.24099999999999,"LINESTRING (-5.3255353 40.4648932, -5.3255981 40.4648261, -5.3261697 40.4642148, -5.3265234 40.4640091)",,,
51277357,True,1,AV-102,Carretera de Béjar,secondary_link,,False,15.048,"LINESTRING (-5.3271874 40.4662267, -5.3273322 40.4663053)",,,
1122061341,False,2,N-110,Calle Extramuros,trunk,50,True,4.961,"LINESTRING (-5.3271874 40.4662267, -5.3271315 40.4662132)",,,
278576192,False,2,N-110,Calle Extramuros,trunk,50,False,21.407,"LINESTRING (-5.3271874 40.4662267, -5.3272893 40.4662425, -5.32736 40.4662445, -5.327438 40.4662393)",,,
51277355,True,1,AV-102,Carretera de Béjar,secondary_link,,False,13.127,"LINESTRING (-5.327438 40.4662393, -5.3274742 40.4663541)",,,
278576190,False,2,N-110,Calle Extramuros,trunk,50,False,15.768,"LINESTRING (-5.327438 40.4662393, -5.3275271 40.4662182, -5.3276116 40.4661885)",,,
278576192,False,2,N-110,Calle Extramuros,trunk,50,True,21.407,"LINESTRING (-5.327438 40.4662393, -5.32736 40.4662445, -5.3272893 40.4662425, -5.3271874 40.4662267)",,,
278576187,False,2,N-110,Calle Extramuros,trunk,50,False,116.62,"LINESTRING (-5.3285312 40.4656578, -5.3287637 40.4655025, -5.3289394 40.4653785, -5.3290278 40.465301, -5.329114 40.4652132, -5.3293105 40.4650127, -5.3294431 40.4648774)",,,
278576187,False,2,N-110,Calle Extramuros,trunk,50,True,97.78,"LINESTRING (-5.3285312 40.4656578, -5.3279208 40.4660333, -5.3277811 40.4661081, -5.3277009 40.4661509, -5.3276116 40.4661885)",,,
