osmid,name,highway,oneway,reversed,length,geometry,ref,junction,lanes,tunnel,maxspeed
164250512,Calle Muñoz Urra,residential,False,True,47.051,"LINESTRING (-4.8259903 39.963938, -4.8259595 39.9638105, -4.8259583 39.9636541, -4.8260184 39.963525)",,,,,
622359127,Plaza de España,primary,True,False,21.231,"LINESTRING (-4.8259903 39.963938, -4.8259415 39.9639471, -4.8258958 39.9639669, -4.8258705 39.9639857, -4.825837 39.9640197, -4.8258162 39.9640592)",N-502a,roundabout,,,
164250506,Avenida de Pío XII,primary,True,False,22.313,"LINESTRING (-4.8258162 39.9640592, -4.8255545 39.9640651)",N-502a,,2,,
34942072,Plaza de España,primary,True,False,9.525,"LINESTRING (-4.8258162 39.9640592, -4.8258094 39.9641017, -4.8258174 39.9641441)",N-502a,roundabout,,,
165468107,Paseo de la Estación,residential,False,True,22.284999999999997,"LINESTRING (-4.8260115 39.9642625, -4.8260319 39.9644075, -4.8260248 39.9644618)",,,,,
622359095,Plaza de España,primary,True,False,16.936999999999998,"LINESTRING (-4.8260115 39.9642625, -4.826061 39.9642599, -4.8261085 39.9642485, -4.8261511 39.964229, -4.8261867 39.9642024)",N-502a,roundabout,,,
89332754,Calle Trinidad,living_street,True,False,81.084,"LINESTRING (-4.8261572 39.9639745, -4.8262188 39.9638861, -4.8264332 39.9636963, -4.8267724 39.963422)",,,,,
622359127,Plaza de España,primary,True,False,15.149,"LINESTRING (-4.8261572 39.9639745, -4.8261081 39.9639512, -4.8260378 39.9639376, -4.8259903 39.963938)",N-502a,roundabout,,,
622359127,Plaza de España,primary,True,False,9.827,"LINESTRING (-4.8262224 39.9640464, -4.8261962 39.964007, -4.8261572 39.9639745)",N-502a,roundabout,,,
630194667,Plaza de España,primary,True,False,1.509,"LINESTRING (-4.8258174 39.9641441, -4.8258229 39.964157)",N-502a,roundabout,,,
34942075,Avenida de Pío XII,primary,True,False,45.99,"LINESTRING (-4.8261867 39.9642024, -4.8263356 39.9642197, -4.8263754 39.9642243, -4.8267143 39.9642875)",N-502a,,2,,
