osmid,oneway,name,highway,reversed,length,geometry,junction,lanes,maxspeed,access
23910980,True,Calle Puerto,secondary,False,62.086,"LINESTRING (-6.3547296 36.7720704, -6.3545784 36.7720842, -6.3540568 36.771958)",,,,
39764687,True,Glorieta de la Igualdad Social,secondary,False,14.725999999999999,"LINESTRING (-6.3547296 36.7720704, -6.3547119 36.7721003, -6.3547073 36.7721332, -6.3547163 36.7721656, -6.3547378 36.7721938)",roundabout,,,
39764687,True,Glorieta de la Igualdad Social,secondary,False,4.792,"LINESTRING (-6.3547378 36.7721938, -6.3547808 36.7722197)",roundabout,,,
39764687,True,Glorieta de la Igualdad Social,secondary,False,11.277000000000001,"LINESTRING (-6.3547808 36.7722197, -6.3548431 36.7722285, -6.354903 36.772212)",roundabout,,,
913509819,True,Calle San Antón,tertiary,False,72.706,"LINESTRING (-6.3547808 36.7722197, -6.3547454 36.7722976, -6.3545937 36.7724107, -6.3544705 36.772527, -6.354324 36.7727505)",,,,
39764687,True,Glorieta de la Igualdad Social,secondary,False,8.047,"LINESTRING (-6.354903 36.772212, -6.3549355 36.7721869, -6.3549549 36.7721542)",roundabout,,,
39764687,True,Glorieta de la Igualdad Social,secondary,False,15.713999999999999,"LINESTRING (-6.3549549 36.7721542, -6.3549588 36.772119, -6.3549473 36.7720849, -6.3549218 36.7720561, -6.3548855 36.772036)",roundabout,,,
39764687,True,Glorieta de la Igualdad Social,secondary,False,15.562,"LINESTRING (-6.3548855 36.772036, -6.3548432 36.7720272, -6.3547997 36.7720305, -6.3547603 36.7720455, -6.3547296 36.7720704)",roundabout,,,
117702202,True,Glorieta los Doñana,tertiary,False,18.975,"LINESTRING (-6.3578532 36.7725946, -6.3577763 36.772603, -6.3577121 36.7726407, -6.3576848 36.7726797)",roundabout,,,
410363817,True,Calle Torno,tertiary,False,76.32,"LINESTRING (-6.3547498 36.7775486, -6.3543294 36.7776896, -6.3539588 36.7778126)",,,,
