osmid,bridge,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,tunnel,access
43139594,yes,2,Nafarroa hiribidea,secondary,30,False,False,25.696,"LINESTRING (-1.7845006 43.3393958, -1.7848173 43.3393772)",,,,
60257010,,,Dunboa,residential,,True,False,33.961,"LINESTRING (-1.7845006 43.3393958, -1.784459 43.3393136, -1.7843555 43.3391092)",,,,
1038844496,,2,Nafarroa hiribidea,secondary,30,False,True,88.587,"LINESTRING (-1.7845006 43.3393958, -1.7844063 43.339402, -1.7834097 43.3394679)",,,,
1052432997,,2,Colon pasealekua,secondary,30,False,True,9.887,"LINESTRING (-1.7945447 43.3404294, -1.7944269 43.3404056)",,,,
148308314,,3,Colon pasealekua,secondary,30,False,False,16.001,"LINESTRING (-1.7945447 43.3404294, -1.7946012 43.3404429, -1.7947346 43.3404697)",,,,
38692111,,,Pelegrín de Uranzu kalea,residential,,True,False,73.178,"LINESTRING (-1.7842276 43.3383427, -1.7843391 43.3383042, -1.7849819 43.3380824, -1.7850451 43.3380606)",,,,
"[39980155, 553100189]",yes,,Uranzu kalea,residential,,False,True,19.782999999999998,"LINESTRING (-1.7842276 43.3383427, -1.7840613 43.3384009, -1.7840469 43.338406, -1.7840072 43.3384199)",,,,
290824669,,,Urdanibia plaza,living_street,,True,False,34.362,"LINESTRING (-1.7857997 43.3377906, -1.786211 43.3378681)",,,,
"[38692329, 290824668, 378411878]",,,"['San Martzial kalea', 'Iglesia']",residential,30,True,False,161.98600000000002,"LINESTRING (-1.7876391 43.3381438, -1.7885392 43.3383374, -1.7885691 43.3383438, -1.7886782 43.3383672, -1.7887311 43.3384199, -1.7887545 43.3385538, -1.7887779 43.338711, -1.7887549 43.3387538, -1.788604 43.3388845, -1.7885477 43.3389688)",,,,
38692115,,,Olaberria kalea,residential,,True,False,45.252,"LINESTRING (-1.788728 43.3350756, -1.7888621 43.3346805)",,,,
38692116,,,Eguzkitzaldea kalea,residential,,False,False,54.311,"LINESTRING (-1.788728 43.3350756, -1.7886365 43.335501, -1.7886246 43.3355582)",,,,
43085876,,,Prudencia Arbide kalea,residential,,False,False,34.833,"LINESTRING (-1.7886246 43.3355582, -1.788642 43.3358712)",,,,
38692116,,,Eguzkitzaldea kalea,residential,,False,True,54.311,"LINESTRING (-1.7886246 43.3355582, -1.7886365 43.335501, -1.788728 43.3350756)",,,,
38692118,,,Eguzkitzaldea kalea,residential,,False,False,50.25899999999999,"LINESTRING (-1.7886246 43.3355582, -1.7885321 43.335698, -1.7884916 43.335797, -1.7884728 43.3358596, -1.788391 43.3359746)",,,,
1038843197,,,Prudencia Arbide kalea,residential,,False,True,12.917,"LINESTRING (-1.7887983 43.3365676, -1.7887683 43.3364535)",,,,
140516022,,,Prudencia Arbide kalea,residential,,True,False,119.277,"LINESTRING (-1.7887983 43.3365676, -1.7888452 43.3369036, -1.7889851 43.3375519, -1.7890923 43.3375411)",,,,
38692115,,,Olaberria kalea,residential,,True,False,58.50399999999999,"LINESTRING (-1.7888621 43.3346805, -1.7888964 43.3344792, -1.7889105 43.3343735, -1.7889173 43.3342479, -1.7888912 43.3341585)",,,,
