osmid,oneway,ref,name,highway,reversed,length,geometry,junction,lanes,access,maxspeed
45179947,True,M-608,Carretera de Collado Villalba a Alpedrete,trunk,False,24.274,"LINESTRING (-3.9946223 40.6471939, -3.9944708 40.6471163, -3.9943838 40.6470718)",,,,
229055100,True,,Carretera de Moralzarzal,primary,False,62.19,"LINESTRING (-3.9945779 40.6464937, -3.9945133 40.6465323, -3.9944619 40.6465865, -3.9944074 40.6466513, -3.9943459 40.6467172, -3.9943175 40.6467592, -3.9942437 40.6468406, -3.9941981 40.6469006, -3.9941558 40.646948)",,,,
405765961,False,,Carretera de Moralzarzal,primary,True,52.749,"LINESTRING (-3.9945779 40.6464937, -3.9947159 40.6463598, -3.9948446 40.646229, -3.9949538 40.6461147)",,,,
229055101,True,,Carretera de Moralzarzal,primary,False,61.004999999999995,"LINESTRING (-3.9943111 40.6469959, -3.9943162 40.6469352, -3.9943282 40.6468884, -3.9943457 40.6468396, -3.9943734 40.6467815, -3.9944087 40.6467287, -3.9944436 40.6466808, -3.9944835 40.6466262, -3.9945388 40.6465648, -3.9945779 40.6464937)",,,,
432507998,True,M-608,,trunk,False,14.375,"LINESTRING (-3.9943111 40.6469959, -3.9942766 40.6469769, -3.9942386 40.6469624, -3.994198 40.6469527, -3.9941558 40.646948)",roundabout,,,
26255893,True,M-608,,trunk,False,26.945,"LINESTRING (-3.9940791 40.6469528, -3.994041 40.6469618, -3.9940051 40.646975, -3.9939722 40.6469922, -3.9939431 40.6470129, -3.9939184 40.6470367, -3.9938988 40.6470631, -3.9938845 40.6470914, -3.993876 40.647121)",roundabout,,,
27814324,True,,Calle el Santo,residential,False,24.549,"LINESTRING (-3.9940791 40.6469528, -3.9940404 40.6469032, -3.9939773 40.646878, -3.9939359 40.6468615, -3.99388 40.6468393, -3.99385 40.6468274)",,,,
45179804,True,M-608,Carretera de Moralzarzal,trunk,False,105.86000000000001,"LINESTRING (-3.993876 40.647121, -3.9938395 40.6471442, -3.993787 40.6471716, -3.9937328 40.6471916, -3.9936697 40.647205, -3.993596 40.647215, -3.9934994 40.6472201, -3.993313 40.6472222, -3.9931119 40.6472201, -3.9929858 40.6472181, -3.9928678 40.6472191, -3.992786 40.6472232, -3.9927162 40.6472283, -3.9926543 40.6472324)",,,,
435000222,True,M-608,,trunk,False,18.072,"LINESTRING (-3.993876 40.647121, -3.9938757 40.6471751, -3.9938945 40.6472274, -3.993931 40.647274)",roundabout,,,
432507997,True,M-608,,trunk,False,46.787000000000006,"LINESTRING (-3.993931 40.647274, -3.9939601 40.6472976, -3.9939938 40.6473175, -3.9940313 40.6473329, -3.9940716 40.6473436, -3.9941136 40.6473492, -3.9941562 40.6473497, -3.9941984 40.647345, -3.9942391 40.6473352, -3.9942771 40.6473206, -3.9943116 40.6473015, -3.9943416 40.6472785, -3.9943664 40.6472522, -3.9943853 40.6472231)",roundabout,,,
45179946,True,M-608,Carretera de Collado Villalba a Alpedrete,trunk,False,20.972,"LINESTRING (-3.9943853 40.6472231, -3.9944806 40.6471869, -3.9946223 40.6471939)",,,,
441083064,True,M-608,,trunk,False,17.229,"LINESTRING (-3.9943853 40.6472231, -3.9943974 40.6471935, -3.9944033 40.6471629, -3.994403 40.6471319, -3.9943965 40.6471013, -3.9943838 40.6470718)",roundabout,,,
432114302,True,M-608,,trunk,False,10.519,"LINESTRING (-3.9943838 40.6470718, -3.9943649 40.6470437, -3.9943405 40.6470182, -3.9943111 40.6469959)",roundabout,,,
298620664,False,,Carretera de Moralzarzal,primary,False,394.502,"LINESTRING (-3.9961295 40.6428057, -3.9961416 40.6430087, -3.9961495 40.643158, -3.9961588 40.6433361, -3.9961642 40.6435905, -3.9961575 40.6437838, -3.9961496 40.6439845, -3.996129 40.6442403, -3.9961132 40.6443516, -3.9960965 40.6444315, -3.9960717 40.6445327, -3.9960355 40.6446599, -3.9959987 40.6447726, -3.9959523 40.6448919, -3.9958816 40.6450271, -3.9958128 40.6451486, -3.9957525 40.6452461, -3.9957055 40.6453102, -3.9956439 40.6453865, -3.9955956 40.6454486, -3.9955567 40.6454944, -3.9955084 40.6455462, -3.9954279 40.6456348, -3.9953569 40.645705, -3.9952952 40.6457701, -3.995208 40.6458607, -3.9951433 40.6459239, -3.9949538 40.6461147)",,,,
298620665,True,,Carretera de Moralzarzal,primary,False,38.17,"LINESTRING (-3.9961295 40.6428057, -3.99617 40.6426365, -3.9962365 40.6424728)",,,,
484263596,True,,Carretera de Moralzarzal,primary,False,34.94,"LINESTRING (-3.9967067 40.6402031, -3.996512 40.6402757, -3.9964284 40.6403117, -3.9963301 40.6403294)",,,,
