osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,junction,access
585633831,NA-6531,Carretera San Adrián - Calahorra,tertiary,False,True,103.256,,"LINESTRING (-1.9362483 42.3289765, -1.935038 42.3292249)",,
"[19842674, 23333623, 76733804, 585633831]","['LR-134', 'NA-6531']","['Carretera de San Adrián', 'Carretera San Adrián - Calahorra']","['primary', 'tertiary']",False,False,228.34699999999998,yes,"LINESTRING (-1.9362483 42.3289765, -1.9363192 42.3289615, -1.9374076 42.3287322, -1.9385852 42.3284874, -1.9389213 42.3284179)",,
22947888,,Calle Adriana Sanz,residential,False,True,13.526,,"LINESTRING (-1.9286405 42.334874, -1.9287472 42.3349666)",,
25979516,,Calle Arenal,residential,False,False,98.3,,"LINESTRING (-1.9286405 42.334874, -1.9279597 42.3341472)",,
585633828,NA-8710,Travesía de San Adrián (II),tertiary,False,False,131.53,,"LINESTRING (-1.9286405 42.334874, -1.9287693 42.3348059, -1.9290329 42.3346629, -1.92939 42.3345316, -1.9300311 42.3342959)",,
585633828,NA-8710,Travesía de San Adrián (II),tertiary,False,True,142.906,,"LINESTRING (-1.9328225 42.3330197, -1.9313493 42.3337021)",,
22736880,,,residential,False,False,81.205,,"LINESTRING (-1.9328225 42.3330197, -1.9328158 42.3326634, -1.9328131 42.3325187, -1.9327908 42.3324465, -1.9327441 42.3322952)",,
26198382,,Calle la Madera,residential,False,True,141.69,,"LINESTRING (-1.9328225 42.3330197, -1.9329864 42.3332118, -1.9333161 42.3334061, -1.9341378 42.3338207)",,
585633828,NA-8710,Travesía de San Adrián (II),tertiary,False,False,65.62899999999999,,"LINESTRING (-1.9328225 42.3330197, -1.9329342 42.3329669, -1.9332044 42.3328696, -1.9333449 42.3328321, -1.933556 42.3327987)",,
23578202,,Camino Eje del Ebro,residential,False,True,79.588,,"LINESTRING (-1.9347687 42.3307451, -1.935211 42.3313818)",,
367158362,,Av. Navarra,residential,False,False,41.086,,"LINESTRING (-1.9347687 42.3307451, -1.9351667 42.3305216)",,
4306851,NA-8709,Travesía de San Adrián (I),tertiary,False,True,90.33600000000001,,"LINESTRING (-1.9347687 42.3307451, -1.93424 42.3310675, -1.9340785 42.3311929, -1.9339642 42.3312951)",,
4306848,NA-8710,Travesía de San Adrián (II),tertiary,True,False,21.926,,"LINESTRING (-1.933556 42.3327987, -1.9335706 42.3328209, -1.9335936 42.3328387, -1.9336229 42.3328505, -1.9336556 42.3328552, -1.9336887 42.3328523, -1.9337191 42.3328421, -1.9337438 42.3328256, -1.9337606 42.3328043)",roundabout,
585633828,NA-8710,Travesía de San Adrián (II),tertiary,False,True,65.62899999999999,,"LINESTRING (-1.933556 42.3327987, -1.9333449 42.3328321, -1.9332044 42.3328696, -1.9329342 42.3329669, -1.9328225 42.3330197)",,
4306848,NA-8710,Travesía de San Adrián (II),tertiary,True,False,18.265,,"LINESTRING (-1.9337606 42.3328043, -1.933768 42.3327774, -1.9337627 42.3327504, -1.9337454 42.3327262, -1.9337181 42.3327077, -1.933684 42.332697, -1.933647 42.3326955)",roundabout,
4334074,NA-8710,Travesía de San Adrián (II),tertiary,False,True,47.504000000000005,,"LINESTRING (-1.9337606 42.3328043, -1.9339933 42.3328205, -1.9343352 42.3328497)",,
