osmid,name,highway,oneway,reversed,length,ref,maxspeed,bridge,geometry,lanes,width,junction
684996383,Carrer del Pont,residential,False,True,7.473,,,,"LINESTRING (2.5143624 41.8164594, 2.5143296 41.8163968)",,,
"[49085329, 35035306, 49056666]",Carrer del Pont,tertiary,True,False,61.727999999999994,GI-552a,50,yes,"LINESTRING (2.5143624 41.8164594, 2.5143696 41.816689, 2.5143759 41.8167765, 2.5143882 41.8168993, 2.5143947 41.8170139)",,,
49009125,Carrer Dr. Geli,tertiary,False,False,52.006,GI-543,,,"LINESTRING (2.5143947 41.8170139, 2.514583 41.8170259, 2.5149488 41.8172062)",2,8,
505561193,Carretera d'Arbúcies a Viladrau,tertiary,False,True,70.47,GI-543,,,"LINESTRING (2.5143947 41.8170139, 2.5138606 41.8171856, 2.5137512 41.8172208, 2.5136155 41.8172676)",,,
"[49077264, 35035297, 49085307]","['Avinguda Paisos Catalans', 'Avinguda dels Països Catalans']",residential,False,False,150.262,,50,yes,"LINESTRING (2.520106 41.8151524, 2.5192206 41.814773, 2.5189423 41.8146541, 2.5186962 41.8145516, 2.518518 41.8145044)",2,,
48980381,Carrer de la Selva,residential,False,False,91.656,,,,"LINESTRING (2.517409 41.8179232, 2.5179403 41.8173204, 2.5180161 41.8172342)",,6,
49009125,Carrer Dr. Geli,tertiary,False,True,56.595,GI-543,,,"LINESTRING (2.517409 41.8179232, 2.5171949 41.8178724, 2.5167367 41.8178771)",2,8,
49009126,Carrer Jacint Verdaguer,tertiary,False,False,102.795,GI-543,,,"LINESTRING (2.517409 41.8179232, 2.517503 41.8180146, 2.5175102 41.8181499, 2.5172805 41.8186373, 2.5172105 41.8187857)",2,8,
542809374,Plaça Doctor Turón,living_street,True,False,24.756,,20,,"LINESTRING (2.5155214 41.8173132, 2.5154634 41.8175316)",,,
41440962,Carrer Magnes,residential,True,False,89.413,,50,,"LINESTRING (2.5155214 41.8173132, 2.5157838 41.8173368, 2.5159642 41.81734, 2.5160884 41.8173158, 2.5161932 41.8172975, 2.5165035 41.8172707, 2.5165859 41.8172529)",,,
48928344,Carrer Segimon Fogaroles,residential,False,True,104.741,,,,"LINESTRING (2.5098794 41.8185972, 2.5097725 41.8181692, 2.5097769 41.8181128, 2.5098246 41.8180655, 2.5102079 41.8177986)",,6,
505561193,Carretera d'Arbúcies a Viladrau,tertiary,False,False,101.724,GI-543,,,"LINESTRING (2.5098794 41.8185972, 2.5103556 41.8184797, 2.5105882 41.8183984, 2.5105997 41.8183929, 2.510774 41.8183098, 2.510951 41.8181799)",,,
505561193,Carretera d'Arbúcies a Viladrau,tertiary,False,True,68.312,GI-543,,,"LINESTRING (2.5098794 41.8185972, 2.5094946 41.8187036, 2.5094032 41.8187314, 2.5091114 41.8188202)",,,
48926598,Carrer del Turo de l'Home,residential,True,False,54.02,,,,"LINESTRING (2.5111426 41.8160035, 2.5114388 41.8161682, 2.5114945 41.8161989, 2.5116697 41.8162892)",,5,
48871423,Carrer Segimon Fogaroles,residential,False,False,75.912,,,,"LINESTRING (2.5116697 41.8162892, 2.5111518 41.8168523)",,6,
48871423,Carrer Segimon Fogaroles,residential,False,True,104.68,,,,"LINESTRING (2.5116697 41.8162892, 2.5124068 41.8155247)",,6,
48871423,Carrer Segimon Fogaroles,residential,False,False,35.429,,,,"LINESTRING (2.5110538 41.8169493, 2.5108011 41.8172063)",,6,
48871423,Carrer Segimon Fogaroles,residential,False,True,13.502,,,,"LINESTRING (2.5110538 41.8169493, 2.5111518 41.8168523)",,6,
"[48926600, 48926599]","['Carrer de Francesc Riumallo', ""Carrer del Turo d'Arenys""]",residential,True,False,145.54899999999998,,,,"LINESTRING (2.5110538 41.8169493, 2.5106552 41.8167766, 2.5105254 41.8166888, 2.5105732 41.8165557, 2.5109222 41.816238, 2.5111426 41.8160035)",,5,
441653438,Carrer del Turó del Campament,residential,True,False,67.56700000000001,,,,"LINESTRING (2.5111584 41.8138798, 2.5110264 41.8140262, 2.5109564 41.8141869, 2.510888 41.8144442)",,5,
48871423,Carrer Segimon Fogaroles,residential,False,False,104.68,,,,"LINESTRING (2.5124068 41.8155247, 2.5116697 41.8162892)",,6,
48927570,Carrer del Turó del Campament,residential,False,False,10.202,,,,"LINESTRING (2.5124068 41.8155247, 2.5123532 41.8154421)",,5,
"[48871425, 852347654]","['Carrer Germana Assumpta', 'Carrer Sant Jaume']",residential,False,True,133.59799999999998,,,,"LINESTRING (2.5124068 41.8155247, 2.5126921 41.8154943, 2.513663 41.8153587, 2.5139876 41.8152938)",,6,
48927570,Carrer del Turó del Campament,residential,False,False,41.235,,,,"LINESTRING (2.5105206 41.8156639, 2.5105221 41.8156325, 2.510731 41.8153309)",,5,
48927570,Carrer del Turó del Campament,residential,False,True,110.637,,,,"LINESTRING (2.5105206 41.8156639, 2.5105731 41.8157083, 2.5106818 41.8157369, 2.5108227 41.8157178, 2.5109591 41.8156422, 2.5112217 41.815501, 2.5114753 41.815429, 2.5117045 41.8154024)",,5,
356112781,Passeig dels Castanyers,residential,False,False,98.33399999999999,,,,"LINESTRING (2.5105206 41.8156639, 2.5104478 41.8156989, 2.5100068 41.8162145, 2.509903 41.8162685, 2.509757 41.8163024)",,,
48927570,Carrer del Turó del Campament,residential,False,False,116.70699999999998,,,,"LINESTRING (2.510731 41.8153309, 2.5110148 41.8150708, 2.5111335 41.8149379, 2.5111497 41.8147903, 2.5111355 41.8147119, 2.5110295 41.8145627, 2.510888 41.8144442)",,5,
48927570,Carrer del Turó del Campament,residential,False,True,41.235,,,,"LINESTRING (2.510731 41.8153309, 2.5105221 41.8156325, 2.5105206 41.8156639)",,5,
356112773,Carrer del Turó del Sagrat Cor,residential,False,True,93.413,,,,"LINESTRING (2.510731 41.8153309, 2.5106091 41.8153266, 2.5100141 41.8154706, 2.5096689 41.8155882)",,,
48927571,Carrer de Loreto Mataro,residential,True,False,81.461,,,,"LINESTRING (2.5117045 41.8154024, 2.5111426 41.8160035)",,6,
48927570,Carrer del Turó del Campament,residential,False,False,110.637,,,,"LINESTRING (2.5117045 41.8154024, 2.5114753 41.815429, 2.5112217 41.815501, 2.5109591 41.8156422, 2.5108227 41.8157178, 2.5106818 41.8157369, 2.5105731 41.8157083, 2.5105206 41.8156639)",,5,
48927570,Carrer del Turó del Campament,residential,False,True,54.312,,,,"LINESTRING (2.5117045 41.8154024, 2.5117443 41.8154015, 2.5120274 41.8153947, 2.5122913 41.8154286, 2.5123532 41.8154421)",,5,
