osmid,oneway,lanes,ref,name,highway,maxspeed,width,reversed,length,geometry,access,junction,tunnel
8243000,False,2,C-246a,Rambla de l'Exposició,tertiary,30,11,False,52.32300000000001,"LINESTRING (1.7288617 41.2216628, 1.7289805 41.2216986, 1.7290207 41.2217098, 1.7292916 41.2217903, 1.7294431 41.2218365)",,,
8243008,False,2,C-246a,Rambla de Josep Tomàs Ventosa,tertiary,30,11,True,51.265,"LINESTRING (1.7288617 41.2216628, 1.7287346 41.2216255, 1.7287005 41.2216148, 1.7284173 41.2215307, 1.7282918 41.2214931)",,,
"[643195008, 8243006]",True,1,,Carrer de la Unió,residential,30,5,False,108.369,"LINESTRING (1.7288617 41.2216628, 1.7288503 41.2217129, 1.7288381 41.2217364, 1.7285219 41.2225084, 1.7285112 41.2225374, 1.7284882 41.2225955)",,,
8243005,False,2,C-246a,Rambla de l'Exposició,tertiary,30,11,False,38.322,"LINESTRING (1.7294431 41.2218365, 1.7298704 41.2219609)",,,
8243000,False,2,C-246a,Rambla de l'Exposició,tertiary,30,11,True,52.323,"LINESTRING (1.7294431 41.2218365, 1.7292916 41.2217903, 1.7290207 41.2217098, 1.7289805 41.2216986, 1.7288617 41.2216628)",,,
8243001,True,1,,Avinguda de Víctor Balaguer,residential,30,8,False,148.495,"LINESTRING (1.7294431 41.2218365, 1.7294702 41.2217796, 1.7294774 41.2217659, 1.729957 41.2208551, 1.7300617 41.2206562, 1.7300951 41.2205944)",,,
"[238237624, 279216073, 582698064, 279216076]",False,3,,Plaça Eduard Maristany,residential,30,12,False,76.403,"LINESTRING (1.7300951 41.2205944, 1.730228 41.2206327, 1.7302657 41.2206436, 1.730369 41.2206716, 1.7304879 41.2207039, 1.7305609 41.2207207, 1.73071 41.2207585, 1.7308592 41.2207963, 1.7309572 41.2208212)",,,
275214292,False,1,,Carrer del Forn del Vidre,residential,30,8,True,43.30200000000001,"LINESTRING (1.7300951 41.2205944, 1.729988 41.2205888, 1.7296916 41.2205015, 1.7296184 41.2204595)",,,
49938960,True,1,,Carrer de Narcís Monturiol,residential,30,5,False,80.217,"LINESTRING (1.7296184 41.2204595, 1.7295668 41.2205253, 1.7291657 41.2210954)",,,
275214292,False,1,,Carrer del Forn del Vidre,residential,30,8,False,43.302,"LINESTRING (1.7296184 41.2204595, 1.7296916 41.2205015, 1.729988 41.2205888, 1.7300951 41.2205944)",,,
924131174,False,2,,Carrer del Forn del Vidre,residential,30,4,True,76.513,"LINESTRING (1.7296184 41.2204595, 1.7295668 41.2204433, 1.7287922 41.2201984, 1.728775 41.220193)",,,
8243005,False,2,C-246a,Rambla de l'Exposició,tertiary,30,11,True,42.375,"LINESTRING (1.7303407 41.2221026, 1.7301829 41.222055, 1.730153 41.222045, 1.7298704 41.2219609)",,,
8243009,False,2,C-246a,Rambla de l'Exposició,tertiary,30,11,False,52.316,"LINESTRING (1.7303407 41.2221026, 1.7305827 41.2221761, 1.7308129 41.2222425, 1.7309228 41.2222748)",,,
"[279216064, 279216067, 8243004, 279216069]",True,"['1', '2']",,Avinguda del Ferrocarril,residential,30,"['12', '10']",False,151.79500000000002,"LINESTRING (1.7309572 41.2208212, 1.7309217 41.220967, 1.7307694 41.2212478, 1.7304502 41.2218879, 1.7304215 41.2219442, 1.7303806 41.2220243, 1.7303638 41.2220545, 1.7303407 41.2221026)",,,
275199490,False,2,,Plaça Eduard Maristany,residential,30,8,True,18.323,"LINESTRING (1.7309572 41.2208212, 1.7310155 41.2207079, 1.7310362 41.2206675)",,,
"[582698064, 279216073, 279216076, 238237624]",False,3,,Plaça Eduard Maristany,residential,30,12,True,76.403,"LINESTRING (1.7309572 41.2208212, 1.7308592 41.2207963, 1.73071 41.2207585, 1.7305609 41.2207207, 1.7304879 41.2207039, 1.730369 41.2206716, 1.7302657 41.2206436, 1.730228 41.2206327, 1.7300951 41.2205944)",,,
8243008,False,2,C-246a,Rambla de Josep Tomàs Ventosa,tertiary,30,11,False,45.018,"LINESTRING (1.7277914 41.2213441, 1.7279073 41.2213812, 1.7279503 41.2213932, 1.7282019 41.2214671, 1.7282918 41.2214931)",,,
"[1127602426, 61788746]",True,1,,Carrer de la Llibertat,"['residential', 'living_street']","['20', '30']",8,False,107.458,"LINESTRING (1.7277914 41.2213441, 1.7277741 41.2213872, 1.7277585 41.2214195, 1.7273755 41.2221902, 1.7273476 41.2222509)",,,
165293817,False,2,C-246a,Rambla de Josep Tomàs Ventosa,tertiary,30,11,True,57.405,"LINESTRING (1.7277914 41.2213441, 1.7276732 41.2213095, 1.7276401 41.2213012, 1.7271548 41.2211513)",,,
