osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,width,junction
336367448,2,Ma-11,carretera de Desviament,primary,60,False,False,26.871,"LINESTRING (2.7094449 39.7631492, 2.7093213 39.7633714)",,,,
"[42765956, 42765957]",,,"['Carrer de Sant Bartomeu', 'carrer del Metge Jaume A. Mayol']",residential,,True,False,175.913,"LINESTRING (2.7167234 39.7657886, 2.7166288 39.7659775, 2.7164271 39.7661082, 2.716297 39.7663392, 2.7172114 39.7666767, 2.717385 39.7667345)",,,,
336457704,,,Carrer de Sant Jaume,residential,,True,False,112.65200000000002,"LINESTRING (2.7167234 39.7657886, 2.7176063 39.7661004, 2.7179334 39.766188)",,,,
336457702,,,Carrer de Moragues,residential,,True,False,71.268,"LINESTRING (2.7179334 39.766188, 2.7181405 39.7658213, 2.7182849 39.7656072)",,,,
336457704,,,Carrer de Sant Jaume,residential,,True,False,89.88300000000001,"LINESTRING (2.7179334 39.766188, 2.7182306 39.7662751, 2.7182584 39.7662833, 2.7184889 39.7663508, 2.7185062 39.7663559, 2.718916 39.766476)",,,,
242636970,,,Carrer de Santa Teresa,residential,,True,False,89.091,"LINESTRING (2.718916 39.766476, 2.7190811 39.7656849)",,,,
336457704,,,Carrer de Sant Jaume,residential,,True,False,50.067,"LINESTRING (2.718916 39.766476, 2.7194634 39.7666363)",,,,
42772742,,,Plaça dels Estiradors,residential,,True,False,19.011,"LINESTRING (2.7191172 39.7655162, 2.7190811 39.7656849)",,,,
242636972,,,Carrer de sa Lluna,residential,,False,False,7.297,"LINESTRING (2.7188172 39.7679286, 2.7187361 39.7679491)",,,,
"[496982609, 4385277]",,,"['Carrer de sa Romaguera', 'Carrer de Cristòfol Colom']",residential,,False,True,141.43,"LINESTRING (2.7145325 39.7682717, 2.7142846 39.768034, 2.7141119 39.7677906, 2.7140962 39.767738, 2.7140962 39.7676024, 2.714104 39.7672857, 2.714109 39.7672244, 2.7141111 39.7671607, 2.7141182 39.7671024)",,,,
364736020,,,Plaça dels Teixidors,residential,,False,True,58.672,"LINESTRING (2.7145325 39.7682717, 2.7145312 39.768294, 2.7145233 39.7684353, 2.7145052 39.7686109, 2.7146349 39.76877)",,,,
364744293,,,Carrer de sa Romaguera,residential,,False,False,90.594,"LINESTRING (2.7145325 39.7682717, 2.7145616 39.7682629, 2.7146931 39.7682231, 2.7149782 39.7684682, 2.7151853 39.7686879, 2.7152482 39.7687541)",,,,
364736019,,,Camí de Cas Jurat,residential,30,True,False,75.39,"LINESTRING (2.7152482 39.7687541, 2.7149796 39.7693999)",,,,
42775888,,,Plaça dels Teixidors,residential,,False,False,52.448,"LINESTRING (2.7152482 39.7687541, 2.7150764 39.7687586, 2.7149656 39.7687614, 2.7148812 39.7687636, 2.7147826 39.7687662, 2.7146349 39.76877)",,,,
364744293,,,Carrer de sa Romaguera,residential,,False,True,90.594,"LINESTRING (2.7152482 39.7687541, 2.7151853 39.7686879, 2.7149782 39.7684682, 2.7146931 39.7682231, 2.7145616 39.7682629, 2.7145325 39.7682717)",,,,
"[152453920, 42772818]",,,"['Carrer de sa Romaguera', ""Carrer de la Victòria de l'11 de Maig""]",residential,,True,False,34.035,"LINESTRING (2.7156188 39.7686421, 2.7154186 39.7687022, 2.7152482 39.7687541)",yes,,,
4385290,,,Carrer de la Rectoria,residential,,True,False,87.45400000000001,"LINESTRING (2.7139265 39.7662438, 2.7137196 39.7661005, 2.7134805 39.7659789, 2.7130225 39.7659801)",,,,
26993004,,,Gran Via,residential,,True,False,274.05,"LINESTRING (2.7130225 39.7659801, 2.7129525 39.7661438, 2.7127892 39.7663673, 2.7115391 39.7680729, 2.7114891 39.7681411)",,,,
"[80941717, 81174527]",,,"['Carrer Quadrado', 'Carrer Tamany']",residential,,False,"[False, True]",81.624,"LINESTRING (2.7130225 39.7659801, 2.7127049 39.7658373, 2.7123292 39.7656032, 2.7123907 39.7655393)",,yes,,
186705076,,,,residential,,False,False,38.152,"LINESTRING (2.7125478 39.7647449, 2.7123241 39.764657, 2.7122758 39.7645395, 2.7122892 39.7645148)",,yes,,
"[336525514, 336525515]",,,"['Carrer de la Volta Piquera', 'Carrer del Bisbe Nadal']",residential,,False,False,88.24600000000001,"LINESTRING (2.7125478 39.7647449, 2.712629 39.7646375, 2.7128537 39.7645467, 2.7130018 39.7645347, 2.7132781 39.7642443)",,yes,,
"[336525513, 336525514, 81174527]",,,"['Carrer de la Volta Piquera', 'Carrer Tamany', 'Carrer Jesús']",residential,,False,True,106.16399999999999,"LINESTRING (2.7125478 39.7647449, 2.7123173 39.7650895, 2.7124721 39.7652225, 2.7125774 39.7653545, 2.7123907 39.7655393)",,yes,,
4385291,,,Carrer Isabel II,residential,,True,False,198.939,"LINESTRING (2.7132781 39.7642443, 2.7137692 39.7646862, 2.7142257 39.7651302, 2.7145415 39.7654057, 2.7148298 39.7655682)",,,,
"[336525514, 336525515]",,,"['Carrer de la Volta Piquera', 'Carrer del Bisbe Nadal']",residential,,False,True,88.246,"LINESTRING (2.7132781 39.7642443, 2.7130018 39.7645347, 2.7128537 39.7645467, 2.712629 39.7646375, 2.7125478 39.7647449)",,yes,,
77511599,,,Plaça d'Espanya,residential,,False,True,28.468,"LINESTRING (2.7148298 39.7655682, 2.7151565 39.765618)",,,,
"[28588777, 42765963, 106471775]",,,"['avinguda de Jeroni Estades', 'Plaça de sa Constitució']",residential,,False,"[False, True]",108.451,"LINESTRING (2.7148298 39.7655682, 2.7147953 39.7658929, 2.7148246 39.7661858, 2.7148244 39.7663727, 2.7147815 39.7664434, 2.7147307 39.7664859, 2.714695 39.7665045)",,,,
77511599,,,Plaça d'Espanya,residential,,False,False,89.267,"LINESTRING (2.7148298 39.7655682, 2.7149762 39.7652397, 2.7149892 39.7651339, 2.7149091 39.7650099, 2.7149589 39.7649913, 2.7149869 39.7649808, 2.7150873 39.7650381, 2.7151362 39.7650683)",,,,
24730348,1,,carrer de sa Mar,residential,,True,False,94.726,"LINESTRING (2.7105406 39.7699961, 2.710172 39.7703536, 2.7098874 39.7706278, 2.7098494 39.770662)",,,5,
28589030,,,carreró del Rei Herodes,residential,,True,False,65.169,"LINESTRING (2.7105406 39.7699961, 2.7105336 39.7699198, 2.7107271 39.7694324)",,,,
24730348,1,,carrer de sa Mar,residential,,True,False,104.267,"LINESTRING (2.7112975 39.7692607, 2.7105406 39.7699961)",,,5,
26836671,,,carrer des Noguerar,residential,,True,False,30.462,"LINESTRING (2.7112975 39.7692607, 2.7110178 39.7690909)",,,,
28589029,,,carrer de la Prosperitat,residential,,False,True,57.63,"LINESTRING (2.709651 39.7689242, 2.7098106 39.7687074, 2.709983 39.7684731)",,,,
"[242543609, 242543610]",,,"['carrer de la Prosperitat', 'urbanització de sa Sínia']",residential,,True,False,223.068,"LINESTRING (2.709651 39.7689242, 2.7093114 39.7694345, 2.7097973 39.7696576, 2.710141 39.7692289, 2.7107271 39.7694324)",,,,
28589247,,,carrer de la Prosperitat,residential,,True,False,87.597,"LINESTRING (2.709983 39.7684731, 2.7104519 39.7677726)",,,,
28589029,,,carrer de la Prosperitat,residential,,False,False,57.63,"LINESTRING (2.709983 39.7684731, 2.7098106 39.7687074, 2.709651 39.7689242)",,,,
28588776,,,carrer de sa Mar,residential,,False,False,8.792,"LINESTRING (2.7120647 39.7685048, 2.7121314 39.7684446)",,,,
