osmid,oneway,highway,reversed,length,geometry,name,ref,junction,lanes,bridge,maxspeed
28314586,True,residential,False,16.888,"LINESTRING (-0.9552714 37.7461409, -0.9551604 37.7460903, -0.9551151 37.7460546)",,,,,,
391469626,False,residential,True,75.406,"LINESTRING (-0.9552714 37.7461409, -0.9553367 37.7461558, -0.9560109 37.7462732, -0.9561078 37.7462903)",Calle Antonio Ayala Garre,,,,,
28314584,True,secondary,False,4.412,"LINESTRING (-0.9549585 37.746145, -0.9549733 37.7461511, -0.9549892 37.7461553, -0.9550057 37.7461575)",,RM-F21,roundabout,,,
258510051,True,residential,False,44.473,"LINESTRING (-0.9549585 37.746145, -0.9549232 37.7461925, -0.9548878 37.7463293, -0.9548427 37.7465314)",Calle Marcos Redondo,,,,,
28314585,True,residential,False,5.837,"LINESTRING (-0.9550584 37.7461499, -0.9551247 37.7461526)",,,,,,
28314584,True,secondary,False,8.913,"LINESTRING (-0.9550584 37.7461499, -0.9550863 37.7461348, -0.9551066 37.7461135, -0.9551172 37.7460881)",,RM-F21,roundabout,,,
404029845,True,secondary,False,7.202,"LINESTRING (-0.9551247 37.7461526, -0.9551172 37.7460881)",,,,,,
1108122239,True,residential,False,12.964,"LINESTRING (-0.9551247 37.7461526, -0.9552714 37.7461409)",,,,,,
28314588,False,secondary,True,55.528000000000006,"LINESTRING (-0.9543692 37.7446535, -0.954424 37.7447128, -0.9545625 37.7450027, -0.9546114 37.7451121)",Carretera de Roldán,RM-F21,,,,
"[406032576, 391710674, 1108405644]",True,secondary,False,75.198,"LINESTRING (-0.9543692 37.7446535, -0.9543024 37.7446223, -0.9542294 37.744609, -0.9541562 37.7445957, -0.9540306 37.7445642, -0.9539134 37.7444778, -0.9538217 37.7444102, -0.953783 37.7443742, -0.9537018 37.744274)","['Puerta del Sol', 'Carretera de Roldán']",RM-F21,,2,,
"[406032596, 30003807]",False,primary,False,54.254999999999995,"LINESTRING (-0.9537018 37.744274, -0.9538295 37.7442459, -0.9538865 37.7442345, -0.9540269 37.7442095, -0.9543079 37.744193)","['Avenida de la Estación', 'Puerta del Sol']",RM-F14,,2,,
146403019,False,primary,False,21.278000000000002,"LINESTRING (-0.9537018 37.744274, -0.9535034 37.7442719, -0.9534611 37.7442636)",Puerta del Sol,RM-F30,,3,,
"[406032602, 146403018]",True,primary,False,15.531,"LINESTRING (-0.9534611 37.7442636, -0.9534101 37.7443218, -0.9533828 37.7443872)","['Puerta del Sol', 'Carretera de Balsicas']",,,,,
146403019,False,primary,True,21.278000000000002,"LINESTRING (-0.9534611 37.7442636, -0.9535034 37.7442719, -0.9537018 37.744274)",Puerta del Sol,RM-F30,,3,,
"[1117715880, 1108405645]",False,primary,False,60.205999999999996,"LINESTRING (-0.9534611 37.7442636, -0.953406 37.7442258, -0.9533471 37.7441831, -0.9529499 37.7439034)","['Avenida Juan Carlos I', 'Puerta del Sol']",RM-F30,,,,
393208916,True,secondary,False,9.7,"LINESTRING (-0.9532774 37.7400732, -0.9533684 37.7400239)",,,roundabout,,,
128239865,True,secondary,False,20.741999999999997,"LINESTRING (-0.9533684 37.7400239, -0.9534823 37.7399763, -0.9535871 37.739959)",Calle Pedro López,,,,,
393208916,True,secondary,False,26.214,"LINESTRING (-0.9533684 37.7400239, -0.9534255 37.7399277, -0.9534475 37.7397994)",,,roundabout,,,
393208916,True,secondary,False,40.768,"LINESTRING (-0.9534475 37.7397994, -0.953426 37.739722, -0.9533897 37.7396622, -0.9533088 37.7395854, -0.953163 37.7395484)",,,roundabout,,,
28314596,True,primary,False,21.351,"LINESTRING (-0.953163 37.7395484, -0.9530369 37.7394735, -0.9529868 37.7394191)",Calle Cartagena,RM-F36,,,,
393208916,True,secondary,False,21.465,"LINESTRING (-0.953163 37.7395484, -0.9530324 37.7395736, -0.9529608 37.7396393)",,,roundabout,,,
391574164,True,residential,False,103.864,"LINESTRING (-0.9529472 37.7396533, -0.9528271 37.7396377, -0.9528125 37.7396354, -0.9526873 37.7396185, -0.9524225 37.7395599, -0.9522862 37.7395165, -0.9518488 37.7393321)",Camino de las Gilas,,,,,
393208916,True,secondary,False,15.802,"LINESTRING (-0.9529472 37.7396533, -0.9529263 37.7397139, -0.9529151 37.7397927)",,,roundabout,,,
128239905,True,secondary,False,21.409,"LINESTRING (-0.9529151 37.7397927, -0.9528103 37.7398542, -0.9527698 37.7398679, -0.9527038 37.7398836)",Avenida de Europa,,,,,
393208916,True,secondary,False,19.668,"LINESTRING (-0.9529151 37.7397927, -0.95293 37.7398855, -0.9529616 37.739965)",,,roundabout,,,
28314592,False,primary,False,8.74,"LINESTRING (-0.9529868 37.7394191, -0.9529849 37.7394058, -0.9529756 37.739341)",Calle Cartagena,RM-F36,,,,
28314594,True,primary,False,24.599,"LINESTRING (-0.9529868 37.7394191, -0.9529696 37.7395364, -0.9529608 37.7396393)",Calle Cartagena,RM-F36,,,,
28314779,True,primary,False,15.661,"LINESTRING (-0.9533935 37.7458638, -0.9534291 37.7460018)",Carretera de Balsicas,,,,,
