osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,access,junction,tunnel
48735517,calle Enrique del Castillo,living_street,False,False,20.545,"LINESTRING (-4.88485 36.5088014, -4.8847875 36.5088837, -4.8847302 36.5089591)",,,,,,
"[1022828174, 1022828175]",Avenida de Ramón y Cajal,primary,True,False,171.613,"LINESTRING (-4.88485 36.5088014, -4.8852421 36.5089533, -4.885668 36.5090804, -4.885699 36.5090896, -4.8861226 36.509214, -4.8861579 36.509225, -4.8862383 36.5092489, -4.8862758 36.5092601, -4.8866346 36.5093677)",2,50,,,,
516456415,Calle Peñuelas,residential,True,False,22.645,"LINESTRING (-4.8811612 36.5112317, -4.8809604 36.5113559)",1,,5,,,
29202211,Calle Boquerón,residential,True,False,114.457,"LINESTRING (-4.8811612 36.5112317, -4.8811938 36.5112886, -4.8817372 36.51209, -4.8817726 36.5121359)",,,,,,
516456415,Calle Peñuelas,residential,True,False,59.303,"LINESTRING (-4.8804417 36.5118646, -4.8803215 36.5120412, -4.8801324 36.5123364)",1,,5,,,
126306199,Avenida de Europa,residential,True,False,6.199,"LINESTRING (-4.8817206 36.5121728, -4.8817726 36.5121359)",,,,,,
126349035,Calle Boquerón,residential,True,False,97.835,"LINESTRING (-4.8817206 36.5121728, -4.8817882 36.5122329, -4.8824317 36.5128417)",,,,,,
126306201,Calle San Vicente,residential,False,False,27.967,"LINESTRING (-4.8824317 36.5128417, -4.8821965 36.5130076)",,,5,,,
126306225,Calle San Vicente,residential,True,False,124.302,"LINESTRING (-4.8824317 36.5128417, -4.8826213 36.5127065, -4.8826502 36.5126726, -4.8826504 36.5126406, -4.8826287 36.5126086, -4.8820302 36.5120504, -4.8819757 36.5119987)",,,,,,
126306224,Calle San Antonio,residential,False,True,14.451,"LINESTRING (-4.8820833 36.5131004, -4.8821965 36.5130076)",,,,,,
126306224,Calle San Antonio,residential,False,False,22.448,"LINESTRING (-4.8820833 36.5131004, -4.8820801 36.5132042, -4.8820651 36.5133015)",,,,,,
37448904,Calle El Fuerte,residential,False,False,8.152,"LINESTRING (-4.8837769 36.5082479, -4.8838417 36.5081963)",,,,,,
"[126856584, 427190271]",Avenida de Ramón y Cajal,primary,True,False,113.965,"LINESTRING (-4.8837769 36.5082479, -4.8839899 36.5083621, -4.884604 36.5086765, -4.8847538 36.5087542, -4.88485 36.5088014)",2,50,,,,
48303458,Avenida Antonio Belón,residential,True,False,29.797,"LINESTRING (-4.888119 36.507921, -4.8884449 36.5078645)",,,,,,
48066440,Calle Carlos Mackintosh,living_street,True,False,47.168,"LINESTRING (-4.8867767 36.5087471, -4.8862739 36.5086182)",1,30,,,,
126453636,Avenida Miguel Cano,living_street,True,False,75.76,"LINESTRING (-4.8867767 36.5087471, -4.8869933 36.5081351, -4.8870083 36.5080917)",1,20,,,,
126856585,Avenida Ricardo Soriano,primary,True,False,79.08200000000001,"LINESTRING (-4.8866346 36.5093677, -4.8867071 36.5093912, -4.8867512 36.5094069, -4.8874398 36.5096624)",2,50,,,,
445398080,Calle Huerta Chica,living_street,True,False,65.816,"LINESTRING (-4.8866346 36.5093677, -4.8866252 36.5094252, -4.8866239 36.5094404, -4.8866054 36.5096538, -4.8865722 36.5098343, -4.8865456 36.5099547)",,,,,,
