osmid,lanes,name,highway,junction,oneway,reversed,length,geometry,maxspeed
878420700,2,Buenavista etorbidea,secondary,roundabout,True,False,15.098,"LINESTRING (-1.9220887 43.3210053, -1.9220996 43.3210313, -1.9221206 43.3210537, -1.9221499 43.3210706, -1.9221847 43.3210804, -1.9222219 43.3210822)",
42561283,,Berra Behea,living_street,,False,False,74.101,"LINESTRING (-1.922919 43.3210695, -1.9231046 43.3206009, -1.9231512 43.3204892, -1.9230875 43.320448)",
140978936,2,Kasares pasealekua,tertiary,,False,False,46.830999999999996,"LINESTRING (-1.922919 43.3210695, -1.9232181 43.3211102, -1.923402 43.321129, -1.9234909 43.3211299)",30
140978936,2,Kasares pasealekua,tertiary,,False,True,50.083,"LINESTRING (-1.922919 43.3210695, -1.9227941 43.3210448, -1.9226985 43.3210183, -1.9225658 43.3209854, -1.9225107 43.3209733, -1.9224069 43.3209544, -1.9223498 43.3209527, -1.9223244 43.320954)",30
140978936,2,Kasares pasealekua,tertiary,,False,False,50.083,"LINESTRING (-1.9223244 43.320954, -1.9223498 43.3209527, -1.9224069 43.3209544, -1.9225107 43.3209733, -1.9225658 43.3209854, -1.9226985 43.3210183, -1.9227941 43.3210448, -1.922919 43.3210695)",30
878420702,2,Buenavista etorbidea,secondary,roundabout,True,False,15.535,"LINESTRING (-1.9223244 43.320954, -1.922303 43.3209308, -1.9222729 43.3209134, -1.922237 43.3209036, -1.9221986 43.3209022, -1.9221615 43.3209094)",
363130980,2,Buenavista etorbidea,secondary,,False,False,248.967,"LINESTRING (-1.9193796 43.3196317, -1.9201053 43.3199891, -1.9206195 43.3202363, -1.9210154 43.3204284, -1.9213198 43.3205799, -1.9216567 43.3207418, -1.9219357 43.3208786)",50
878420701,2,Buenavista etorbidea,secondary,roundabout,True,False,13.032999999999998,"LINESTRING (-1.9221615 43.3209094, -1.9221277 43.3209254, -1.9221028 43.3209484, -1.9220893 43.320976, -1.9220887 43.3210053)",
1006681271,1,Buenavista etorbidea,secondary,,True,False,13.620000000000001,"LINESTRING (-1.9221615 43.3209094, -1.9221285 43.3209079, -1.9220985 43.3209062, -1.9220567 43.3209025, -1.9219952 43.3208922)",
140978936,2,Kasares pasealekua,tertiary,,False,True,46.831,"LINESTRING (-1.9234909 43.3211299, -1.923402 43.321129, -1.9232181 43.3211102, -1.922919 43.3210695)",30
812959836,,,living_street,,False,False,71.157,"LINESTRING (-1.9234909 43.3211299, -1.9237387 43.3207171, -1.923857 43.3205483)",
363130980,2,Buenavista etorbidea,secondary,,False,True,248.967,"LINESTRING (-1.9219357 43.3208786, -1.9216567 43.3207418, -1.9213198 43.3205799, -1.9210154 43.3204284, -1.9206195 43.3202363, -1.9201053 43.3199891, -1.9193796 43.3196317)",50
870764562,1,Buenavista etorbidea,secondary,,True,False,18.754,"LINESTRING (-1.9219357 43.3208786, -1.9219948 43.320928, -1.9220362 43.3209619, -1.9220573 43.3209799, -1.9220887 43.3210053)",
812959836,,,living_street,,False,True,71.157,"LINESTRING (-1.923857 43.3205483, -1.9237387 43.3207171, -1.9234909 43.3211299)",
42561283,,Berra Behea,living_street,,False,True,74.101,"LINESTRING (-1.9230875 43.320448, -1.9231512 43.3204892, -1.9231046 43.3206009, -1.922919 43.3210695)",
148099355,,,living_street,,False,False,33.307,"LINESTRING (-1.9221858 43.3206446, -1.9221245 43.3206571, -1.9220264 43.3208354, -1.9219952 43.3208922)",
140978925,2,Buenavista etorbidea,secondary,roundabout,True,False,19.277,"LINESTRING (-1.9222219 43.3210822, -1.9222551 43.3210768, -1.9222851 43.3210651, -1.9223095 43.3210478, -1.9223267 43.3210264, -1.9223351 43.3210024, -1.9223344 43.3209777, -1.9223244 43.320954)",
1006681272,1,Buenavista etorbidea,secondary,,True,False,5.045,"LINESTRING (-1.9219952 43.3208922, -1.9219357 43.3208786)",50
148099355,,,living_street,,False,True,33.307,"LINESTRING (-1.9219952 43.3208922, -1.9220264 43.3208354, -1.9221245 43.3206571, -1.9221858 43.3206446)",
