osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,junction
37875274,True,1,Rúa de Tedín,residential,30,False,307.9870000000001,"LINESTRING (-9.0320107 43.1099997, -9.0319268 43.1099585, -9.0319082 43.1099465, -9.0313634 43.1095962, -9.0312212 43.1094841, -9.0311486 43.1094251, -9.0310886 43.109347, -9.0308904 43.1090886, -9.0307331 43.1088177, -9.0305906 43.1086673, -9.0305218 43.1085948, -9.0305085 43.1085808, -9.0304159 43.1076355)",,,
237257503,False,2,Rúa da Torre,primary,50,True,123.718,"LINESTRING (-9.0320107 43.1099997, -9.0312441 43.1105743, -9.0310645 43.1106903, -9.0309847 43.1107385, -9.0309216 43.1107767)",AC-552,,
557383891,False,2,Rúa Trasariz,primary,50,True,131.298,"LINESTRING (-9.0320107 43.1099997, -9.0321681 43.1102127, -9.0327134 43.110965, -9.0327727 43.1110412)",AC-432,,
661150328,False,2,Avenida de Fisterra,primary,50,False,90.717,"LINESTRING (-9.0320107 43.1099997, -9.0321172 43.1099388, -9.0323535 43.1097593, -9.0326635 43.1095186, -9.0327948 43.1094197)",AC-552,,
557383891,False,2,Rúa Trasariz,primary,50,True,48.981,"LINESTRING (-9.0327727 43.1110412, -9.0330722 43.1114236)",AC-432,,
223065516,False,2,Rúa Antonio Vázquez Mouzo,residential,30,False,29.446000000000005,"LINESTRING (-9.0327727 43.1110412, -9.0328227 43.1110198, -9.0329545 43.1109663, -9.0330887 43.1109112)",,,
557383891,False,2,Rúa Trasariz,primary,50,False,131.298,"LINESTRING (-9.0327727 43.1110412, -9.0327134 43.110965, -9.0321681 43.1102127, -9.0320107 43.1099997)",AC-432,,
237257524,True,,,primary_link,,False,22.866000000000003,"LINESTRING (-9.0288 43.1118205, -9.0288965 43.1117706, -9.0289906 43.1117438, -9.0290298 43.1117314, -9.0290479 43.1117257)",,,
945875904,True,,Rúa da Torre,primary,50,False,49.507,"LINESTRING (-9.0288 43.1118205, -9.0290189 43.111763, -9.0290908 43.1117442, -9.0293622 43.1116494)",AC-552,,
945875904,True,,Rúa da Torre,primary,50,False,89.46,"LINESTRING (-9.0293622 43.1116494, -9.0295401 43.1115704, -9.0301259 43.1112504, -9.0302611 43.111185)",AC-552,,
237257503,False,2,Rúa da Torre,primary,50,False,22.758,"LINESTRING (-9.0307023 43.1109042, -9.0309216 43.1107767)",AC-552,,
237257502,True,,Rúa da Torre,primary,50,False,37.98,"LINESTRING (-9.0307023 43.1109042, -9.0305083 43.1109891, -9.0303341 43.1110931, -9.0303203 43.1110999)",AC-552,,
945875903,False,,Rúa do Prado da Torre,unclassified,50,True,158.493,"LINESTRING (-9.0286143 43.1102167, -9.0286967 43.1102491, -9.028801 43.1103039, -9.0288884 43.1103657, -9.0289517 43.1104353, -9.0289913 43.110519, -9.0290079 43.1105945, -9.0290094 43.1106932, -9.0289877 43.1110336, -9.0289696 43.1113172, -9.0289593 43.1115195)",,,
661150328,False,2,Avenida de Fisterra,primary,50,False,51.586,"LINESTRING (-9.0339115 43.1085369, -9.0340087 43.1084448, -9.0342109 43.1082455, -9.0342856 43.1081621)",AC-552,,
661150328,False,2,Avenida de Fisterra,primary,50,True,59.108000000000004,"LINESTRING (-9.0339115 43.1085369, -9.0338133 43.1086251, -9.0334264 43.1089331)",AC-552,,
