osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,bridge
50316932,2,Avinguda de Santiga,tertiary,30,False,False,55.369,"LINESTRING (2.1788171 41.5364758, 2.1793792 41.5367421)",,,
50316932,2,Avinguda de Santiga,tertiary,30,False,True,20.221,"LINESTRING (2.1788171 41.5364758, 2.1786157 41.5363741)",,,
296802951,,Carrer de Sant Ramon,residential,,True,False,102.16,"LINESTRING (2.1788171 41.5364758, 2.17884 41.5364324, 2.179268 41.5356213)",,,
50316932,2,Avinguda de Santiga,tertiary,30,False,True,33.112,"LINESTRING (2.1804712 41.5372714, 2.1804148 41.5372439, 2.1803818 41.5372277, 2.180138 41.5371087)",,,
296802948,,Carrer del Poeta Maragall,residential,,True,False,89.57900000000001,"LINESTRING (2.1804712 41.5372714, 2.1805126 41.5372173, 2.181006 41.5365723)",,,
1044282243,2,Avinguda de Santiga,tertiary,30,False,True,31.309,"LINESTRING (2.1832864 41.5357277, 2.1830421 41.5359418)",,,
293136221,,Avinguda de Santiga,tertiary,,True,False,21.557000000000002,"LINESTRING (2.1832864 41.5357277, 2.1833118 41.5356937, 2.1833612 41.5356277, 2.1834088 41.5355569)",,,
50316932,2,Avinguda de Santiga,tertiary,30,False,False,25.434,"LINESTRING (2.1818258 41.5368885, 2.1820644 41.5367456)",,,
142010600,,Carrer Pep Ventura,residential,,True,False,76.76,"LINESTRING (2.1818258 41.5368885, 2.1817616 41.5368637, 2.181006 41.5365723)",,,
50316932,2,Avinguda de Santiga,tertiary,30,False,True,25.434,"LINESTRING (2.1820644 41.5367456, 2.1818258 41.5368885)",,,
"[1044281107, 50316932]",2,Avinguda de Santiga,tertiary,"['20', '30']",False,False,29.061,"LINESTRING (2.1820644 41.5367456, 2.1821826 41.5366662, 2.182223 41.536639, 2.1823242 41.536571)",,,
142010549,,Carrer de Mossèn Camil Rosell,residential,,True,False,34.597,"LINESTRING (2.1823242 41.536571, 2.1819634 41.5364165)",,,
"[1044281106, 1044281107]",2,Avinguda de Santiga,tertiary,20,False,False,92.008,"LINESTRING (2.1823242 41.536571, 2.1823895 41.5365138, 2.1824355 41.5364734, 2.1824558 41.5364557, 2.1829301 41.53604, 2.1830421 41.5359418)",,,
"[1044281107, 50316932]",2,Avinguda de Santiga,tertiary,"['20', '30']",False,True,29.061,"LINESTRING (2.1823242 41.536571, 2.182223 41.536639, 2.1821826 41.5366662, 2.1820644 41.5367456)",,,
"[293084307, 293084308, 293084311]",,Avinguda de Mossèn Jacint Verdaguer,tertiary,50,True,False,246.677,"LINESTRING (2.1859011 41.53351, 2.1859723 41.5334562, 2.1862785 41.5332244, 2.1865984 41.5329648, 2.1866889 41.5328914, 2.186918 41.5327055, 2.1870616 41.5325959, 2.1871386 41.5325372, 2.1872943 41.5324183, 2.1879569 41.5319125)",B-140a,,
293136228,,,tertiary,,True,False,10.541,"LINESTRING (2.1834088 41.5355569, 2.1833998 41.5355061, 2.1834131 41.5354637)",,roundabout,
50310810,,Avinguda de Mossèn Jacint Verdaguer,tertiary,50,False,False,99.623,"LINESTRING (2.184888 41.5342993, 2.185718 41.5336538)",B-140a,,
142018893,,Carrer Rafael Casanova,residential,,False,True,56.89,"LINESTRING (2.184888 41.5342993, 2.1842311 41.534158)",,,
50310810,,Avinguda de Mossèn Jacint Verdaguer,tertiary,50,False,True,148.448,"LINESTRING (2.184888 41.5342993, 2.1838696 41.5351068, 2.1838177 41.5351633, 2.1837435 41.5352471, 2.1837026 41.5352933)",B-140a,,
50310809,,Avinguda de Mossèn Jacint Verdaguer,tertiary,,True,False,17.705,"LINESTRING (2.1835334 41.5353868, 2.183611 41.5353291, 2.1837026 41.5352933)",,,
293136227,,,tertiary,,True,False,13.003,"LINESTRING (2.1835334 41.5353868, 2.1835982 41.5353842, 2.1836825 41.5354105)",,roundabout,
293136229,,,tertiary,,True,False,9.065000000000001,"LINESTRING (2.1836825 41.5354105, 2.1837287 41.5354508, 2.1837434 41.535477)",,roundabout,
51460047,,,tertiary,,True,False,21.245,"LINESTRING (2.1837434 41.535477, 2.1837878 41.5355126, 2.1838429 41.5355538, 2.1838798 41.5355762, 2.1839302 41.5356067)",B-140a,,
293136229,,,tertiary,,True,False,15.186,"LINESTRING (2.1837434 41.535477, 2.183747 41.5355411, 2.183702 41.5356052)",,roundabout,
293136229,,,tertiary,,True,False,14.494,"LINESTRING (2.183702 41.5356052, 2.1836373 41.5356374, 2.1835412 41.5356434)",,roundabout,
50310807,,Avinguda de Santiga,tertiary,,True,False,23.278000000000002,"LINESTRING (2.1835412 41.5356434, 2.1834207 41.5356732, 2.1833336 41.5357085, 2.1832864 41.5357277)",,,
50310808,,,tertiary,,True,False,15.135,"LINESTRING (2.1835412 41.5356434, 2.1834506 41.5356072, 2.1834088 41.5355569)",,roundabout,
50310810,,Avinguda de Mossèn Jacint Verdaguer,tertiary,50,False,False,148.448,"LINESTRING (2.1837026 41.5352933, 2.1837435 41.5352471, 2.1838177 41.5351633, 2.1838696 41.5351068, 2.184888 41.5342993)",B-140a,,
293136220,,Avinguda de Mossèn Jacint Verdaguer,tertiary,,True,False,13.145,"LINESTRING (2.1837026 41.5352933, 2.1836929 41.5353354, 2.1836825 41.5354105)",,,
"[572168641, 51206619]",,Passeig de la Florida,residential,30,True,False,251.004,"LINESTRING (2.1847219 41.531041, 2.184823 41.5309119, 2.1852605 41.5303533, 2.186135 41.529229, 2.1861833 41.5291669, 2.186188 41.529134, 2.1861883 41.5290798)",,,
51206623,,,residential,,True,False,11.469999999999999,"LINESTRING (2.1847219 41.531041, 2.1847516 41.5310536, 2.1847786 41.5310692, 2.1848228 41.5311094)",,roundabout,
51206623,,,residential,,True,False,20.692,"LINESTRING (2.1844832 41.5310576, 2.1845995 41.5310248, 2.1847219 41.531041)",,roundabout,
142018923,2,Carrer de Pablo Ruiz Picasso,residential,20,False,True,59.195,"LINESTRING (2.1844832 41.5310576, 2.184415 41.5310115, 2.1842763 41.5309179, 2.1840366 41.530756, 2.1839552 41.530701)",,,
51206626,,Carrer de García Nieto,residential,,True,False,88.72200000000001,"LINESTRING (2.1851833 41.5284271, 2.1851283 41.528476, 2.1850225 41.52857, 2.1849152 41.5286976, 2.1848468 41.528828, 2.184704 41.5291298)",,,
1050638096,2,Avinguda de l'Onze de Setembre,secondary,30,False,True,83.569,"LINESTRING (2.1851833 41.5284271, 2.1855778 41.528639, 2.185999 41.5288652)",,,
142018923,2,Carrer de Pablo Ruiz Picasso,residential,20,False,False,59.19499999999999,"LINESTRING (2.1839552 41.530701, 2.1840366 41.530756, 2.1842763 41.5309179, 2.184415 41.5310115, 2.1844832 41.5310576)",,,
