osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,ref,junction,tunnel,width,bridge,access
111719526,False,Rúa de Montero Ríos,residential,30,False,19.969,,"LINESTRING (-8.5447196 42.8760265, -8.5445316 42.8761417)",,,,,,
24704614,True,Rúa do Castrón d'Ouro,tertiary,30,False,146.113,1,"LINESTRING (-8.5415397 42.8766393, -8.5405458 42.8759873, -8.5402591 42.8758377, -8.5401705 42.8757935)",,,,,,
9867076,True,Rúa do Hórreo,tertiary,50,False,42.221000000000004,,"LINESTRING (-8.5439501 42.8759141, -8.5439704 42.876081, -8.5439803 42.8761331, -8.5440019 42.8762062, -8.5440259 42.8762891)",,,,,,
9868294,True,Rúa dos Pitelos,residential,,False,85.46000000000001,,"LINESTRING (-8.5439501 42.8759141, -8.5438742 42.8759138, -8.5438365 42.8759168, -8.5436032 42.8759356, -8.5433536 42.8759536, -8.5432246 42.8760176, -8.5429912 42.8761482)",,,,,,
681436081,True,,trunk_link,,False,19.716,,"LINESTRING (-8.5414409 42.8725114, -8.5411999 42.872527)",,,,,,
117559963,True,Avenida de Lugo,trunk,50,False,153.03900000000002,2,"LINESTRING (-8.5414409 42.8725114, -8.5403521 42.8727913, -8.5396677 42.8729647)",SC-20,,,,,
25876382,True,Avenida de Quiroga Palacios,living_street,,False,120.739,,"LINESTRING (-8.5374444 42.8773079, -8.5371941 42.8773069, -8.5361283 42.8772356, -8.5359839 42.8772881)",,,,,,
182027095,False,,unclassified,,True,17.134999999999998,,"LINESTRING (-8.5374444 42.8773079, -8.5373549 42.8772513, -8.5373063 42.877194)",,,,,,
145469162,True,Rúa do Hórreo,tertiary,50,False,1.117,,"LINESTRING (-8.5440259 42.8762891, -8.5440282 42.876299)",,,,,,
77543509,True,Rúa de López Ferreiro,residential,,False,20.46,,"LINESTRING (-8.5428884 42.8744376, -8.5426376 42.874429)",,,,,,
111718627,False,Rúa de Santiago de Guayaquil,residential,,False,22.485,,"LINESTRING (-8.5428884 42.8744376, -8.5429474 42.8744305, -8.5430063 42.8744097, -8.5430845 42.8743733, -8.5431382 42.874357)",,,,,,
25953266,True,Rúa de Concepción Arenal,residential,30,False,85.97899999999998,1,"LINESTRING (-8.5437055 42.8770772, -8.543667 42.8770244, -8.5434475 42.8767069, -8.5433982 42.8766356, -8.5432914 42.8764913, -8.5432598 42.8764487, -8.5432176 42.8763917)",,,,,,
