osmid,ref,name,highway,junction,oneway,reversed,length,geometry,lanes,bridge
33292440,PA-30,Ronda de Pamplona,trunk,roundabout,True,False,6.764,"LINESTRING (-1.5847128 42.8295856, -1.5846759 42.8295994, -1.5846439 42.8296188)",,
309402648,,Centro Comercial Itaroa,unclassified,,True,False,13.849,"LINESTRING (-1.5846361 42.829625, -1.5844674 42.8296107)",,
33292440,PA-30,Ronda de Pamplona,trunk,roundabout,True,False,15.520999999999999,"LINESTRING (-1.5846361 42.829625, -1.5846031 42.8296647, -1.5845896 42.8297102, -1.5845971 42.8297564)",,
33292440,PA-30,Ronda de Pamplona,trunk,roundabout,True,False,12.898000000000001,"LINESTRING (-1.5845971 42.8297564, -1.5846188 42.8297916, -1.5846527 42.8298212, -1.5846964 42.8298429)",,
33292440,PA-30,Ronda de Pamplona,trunk,roundabout,True,False,14.041,"LINESTRING (-1.5846964 42.8298429, -1.5847511 42.8298556, -1.5848085 42.8298559, -1.5848634 42.8298436)",,
33292442,PA-30,Ronda de Pamplona,trunk,,True,False,232.981,"LINESTRING (-1.5846964 42.8298429, -1.5847197 42.829917, -1.5847611 42.8301542, -1.5847753 42.8302765, -1.5848246 42.8305527, -1.5849051 42.8308712, -1.5850175 42.8310888, -1.5850544 42.8311482, -1.5853584 42.8316376, -1.585416 42.8317381, -1.5854741 42.8318396)",,
33292246,,Antigua Ctra. Aoiz,tertiary,,True,False,33.609,"LINESTRING (-1.5854741 42.8318396, -1.5854399 42.8319008, -1.5853905 42.8319457, -1.5853371 42.8319733, -1.5851617 42.8319512)",,
33292442,PA-30,Ronda de Pamplona,trunk,,True,False,52.598,"LINESTRING (-1.5854741 42.8318396, -1.5855783 42.8320342, -1.5856638 42.8322906)",,
38166063,,Ibaialde,residential,,False,True,60.07599999999999,"LINESTRING (-1.5871727 42.8331667, -1.587225 42.8330357, -1.5873397 42.8328545, -1.5874955 42.8326855)",,
33292407,PA-30,Ronda de Pamplona,trunk,,True,False,291.575,"LINESTRING (-1.585922 42.8323054, -1.5858077 42.8321893, -1.5857128 42.8320661, -1.5855961 42.831879, -1.5855025 42.8317157, -1.5854662 42.8316523, -1.5852991 42.8313852, -1.5851479 42.8311245, -1.5850716 42.8309929, -1.5850311 42.8309012, -1.5849754 42.8307565, -1.5849391 42.8305932, -1.5848912 42.8303412, -1.5848516 42.8299644, -1.5848634 42.8298436)",2,
974330672,PA-30,Ronda de Pamplona,trunk,roundabout,True,False,22.184,"LINESTRING (-1.585922 42.8323054, -1.5858407 42.8322759, -1.5857503 42.8322707, -1.5856638 42.8322906)",2,
33292440,PA-30,Ronda de Pamplona,trunk,roundabout,True,False,32.922,"LINESTRING (-1.5848634 42.8298436, -1.5849111 42.8298199, -1.584947 42.8297867, -1.5849678 42.8297473, -1.5849717 42.8297051, -1.5849583 42.829664, -1.5849288 42.8296276, -1.5848858 42.8295994)",,
33292440,PA-30,Ronda de Pamplona,trunk,roundabout,True,False,14.668,"LINESTRING (-1.5848858 42.8295994, -1.5848311 42.8295814, -1.5847715 42.8295766, -1.5847128 42.8295856)",,
207399133,NA-4200,Calle Zubiarte,tertiary,,False,False,27.891,"LINESTRING (-1.589014 42.8318553, -1.5887141 42.8319759)",2,
207399133,NA-4200,Calle Zubiarte,tertiary,,False,True,21.353,"LINESTRING (-1.589014 42.8318553, -1.5892757 42.8318486)",2,
207399140,,Calle Portal,residential,,False,False,10.359,"LINESTRING (-1.589014 42.8318553, -1.5889655 42.8317692)",,
207399133,NA-4200,Calle Zubiarte,tertiary,,False,True,21.634,"LINESTRING (-1.5884662 42.8320452, -1.5887141 42.8319759)",2,
38166063,,Ibaialde,residential,,False,False,39.244,"LINESTRING (-1.5884662 42.8320452, -1.5884241 42.8321107, -1.5883588 42.8321879, -1.5881798 42.8323248)",,
207399133,NA-4200,Calle Zubiarte,tertiary,,False,False,115.89499999999998,"LINESTRING (-1.5884662 42.8320452, -1.587775 42.8321856, -1.5873867 42.8322718, -1.5872733 42.832295, -1.5871008 42.8323342)",2,
