osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,maxspeed,tunnel
1185923807,True,2,CL-605,Avenida de Emilio Romero,primary,False,31.192999999999998,"LINESTRING (-4.7201806 41.0593175, -4.7202131 41.0593337, -4.7202395 41.059351, -4.7202817 41.0593846, -4.720339 41.0594332, -4.7203782 41.0594733, -4.7204209 41.0595282)",,,
24655191,True,2,AV-413,Calle del Capitan Luis Vara,secondary,False,54.465,"LINESTRING (-4.7204406 41.0595795, -4.7205931 41.0598658, -4.7206113 41.059908, -4.7206431 41.0600428)",,,
1185548502,True,,CL-605,Plaza Fray Juan Gil,primary,False,22.095,"LINESTRING (-4.7204406 41.0595795, -4.7204562 41.0595982, -4.7204757 41.0596147, -4.7204984 41.0596286, -4.7205239 41.0596395, -4.7205514 41.0596471, -4.7205801 41.0596512, -4.7206094 41.0596518, -4.7206384 41.0596487, -4.7206663 41.0596421)",roundabout,,
39239881,False,,AV-413,Calle del Capitan Luis Vara,secondary,False,17.864,"LINESTRING (-4.7206431 41.0600428, -4.7206254 41.0602029)",,20,
39239882,True,,AV-413,Calle del Capitan Luis Vara,secondary,False,35.581,"LINESTRING (-4.7206431 41.0600428, -4.7207073 41.0597265)",,,
59607297,True,,,Plaza de Santo Domingo,residential,False,60.896,"LINESTRING (-4.7189661 41.0635624, -4.7190718 41.0635793, -4.7195179 41.0634728, -4.7195631 41.0634649, -4.719593 41.0634597, -4.719666 41.0634549)",,,
"[306603827, 306603837]",False,,AV-413,"['Calle de San Ignacio de Loyola', 'Calle de los Caldereros']",secondary,False,65.014,"LINESTRING (-4.7189661 41.0635624, -4.7189419 41.0636234, -4.7188493 41.0637937, -4.7187888 41.0638912, -4.7186373 41.0639297, -4.7185834 41.0640306)",,,
306603837,False,,AV-413,Calle de los Caldereros,secondary,True,33.568,"LINESTRING (-4.7189661 41.0635624, -4.7190267 41.0633769, -4.7190499 41.0633056, -4.719054 41.0632683)",,,
"[1185548505, 1185548508]",True,,CL-605,Plaza Fray Juan Gil,primary,False,3.5540000000000003,"LINESTRING (-4.7207161 41.0596191, -4.7207235 41.059614, -4.7207446 41.0595955)",roundabout,,
39239884,True,,CL-605,Avenida de Emilio Romero,primary,False,5.71,"LINESTRING (-4.7206216 41.0593834, -4.7205572 41.0593667)",,,
1185923814,True,,CL-605,Plaza Fray Juan Gil,primary,False,6.05,"LINESTRING (-4.7206216 41.0593834, -4.7205855 41.0593828, -4.72055 41.0593875)",roundabout,,
1185548502,True,,CL-605,Plaza Fray Juan Gil,primary,False,5.968999999999999,"LINESTRING (-4.7204209 41.0595282, -4.7204273 41.0595546, -4.7204406 41.0595795)",roundabout,,
403530821,True,,AV-804,Paseo Alameda,secondary,False,22.985,"LINESTRING (-4.7206895 41.0594009, -4.7206631 41.059323, -4.7206256 41.0591999)",,,
1185548510,True,,CL-605,Plaza Fray Juan Gil,primary,False,6.047000000000001,"LINESTRING (-4.7206895 41.0594009, -4.7206567 41.0593896, -4.7206216 41.0593834)",roundabout,,
