osmid,lanes,ref,highway,oneway,reversed,length,name,maxspeed,geometry
638733002,2,R5,trunk,False,True,68.518,,,"LINESTRING (31.5436423 -18.1878288, 31.5429993 -18.187748)"
27390533,,,residential,False,False,116.14800000000001,Posselt Avenue,50,"LINESTRING (31.5436423 -18.1878288, 31.5436122 -18.1880499, 31.5436095 -18.1881723, 31.5436307 -18.1882695, 31.5436926 -18.1884258, 31.5437892 -18.1885698, 31.5438911 -18.1887399, 31.54392 -18.1888004)"
638733002,2,R5,trunk,False,False,237.973,,,"LINESTRING (31.5436423 -18.1878288, 31.5442345 -18.1878894, 31.5446395 -18.1879404, 31.5458751 -18.1881106)"
579875060,2,R5,trunk,False,False,11.818,,120,"LINESTRING (31.5486293 -18.1885124, 31.5487399 -18.1885284)"
638733002,2,R5,trunk,False,True,294.367,,,"LINESTRING (31.5486293 -18.1885124, 31.5478889 -18.1884047, 31.5466151 -18.1882126, 31.5458751 -18.1881106)"
28047784,,,secondary,False,False,38.649,Ruzawi Street,70,"LINESTRING (31.5484616 -18.1908778, 31.5484268 -18.1905318)"
27390531,2,,tertiary,False,True,177.81099999999998,1 St,60,"LINESTRING (31.5484616 -18.1908778, 31.5481277 -18.1909485, 31.5478984 -18.1910472, 31.5476121 -18.1911894, 31.5473768 -18.1913347, 31.5469599 -18.1915714)"
28047784,,,secondary,False,True,187.116,Ruzawi Street,70,"LINESTRING (31.5484616 -18.1908778, 31.5484737 -18.1913256, 31.5485381 -18.1925589)"
640540960,,,secondary,True,False,5.042,Ruzawi Street,70,"LINESTRING (31.5485326 -18.1896978, 31.5485246 -18.1897425)"
689030667,,,residential,True,False,12.786999999999999,Palm Street,40,"LINESTRING (31.5485326 -18.1896978, 31.5485944 -18.1897094, 31.5486463 -18.1897341)"
274786665,,,residential,False,True,10.701,4th Street,,"LINESTRING (31.548703 -18.1886886, 31.5486032 -18.1886721)"
640540960,,,secondary,True,False,113.65299999999999,Ruzawi Street,70,"LINESTRING (31.548703 -18.1886886, 31.5486049 -18.1892814, 31.5485326 -18.1896978)"
27390549,,,residential,False,False,17.565,Pine Street,40,"LINESTRING (31.5458549 -18.1882674, 31.5458751 -18.1881106)"
274786665,,,residential,False,False,205.629,4th Street,,"LINESTRING (31.5458549 -18.1882674, 31.5477783 -18.1885516)"
27390549,,,residential,False,True,118.953,Pine Street,40,"LINESTRING (31.5458549 -18.1882674, 31.5457627 -18.188794, 31.545663 -18.1893215)"
274786665,,,residential,False,True,219.176,4th Street,,"LINESTRING (31.5458549 -18.1882674, 31.5452497 -18.1881926, 31.5450981 -18.1881977, 31.5449814 -18.1882423, 31.5448502 -18.1883156, 31.5445712 -18.1884694, 31.5439825 -18.1888502)"
274786665,,,residential,False,True,7.888,4th Street,,"LINESTRING (31.5439825 -18.1888502, 31.5439202 -18.1888893)"
274786665,,,residential,False,False,219.17600000000004,4th Street,,"LINESTRING (31.5439825 -18.1888502, 31.5445712 -18.1884694, 31.5448502 -18.1883156, 31.5449814 -18.1882423, 31.5450981 -18.1881977, 31.5452497 -18.1881926, 31.5458549 -18.1882674)"
689039651,,,residential,True,False,59.604,Posselt Avenue,50,"LINESTRING (31.5439825 -18.1888502, 31.5441379 -18.1890641, 31.544217 -18.1891711, 31.5442924 -18.1892976)"
27390538,,,residential,False,True,256.613,Morris Street,60,"LINESTRING (31.5409503 -18.1906796, 31.5413631 -18.1915991, 31.5416613 -18.1922714, 31.5419277 -18.1927917)"
274786665,,,residential,False,False,371.576,4th Street,,"LINESTRING (31.5409503 -18.1906796, 31.5423484 -18.1898216, 31.5439202 -18.1888893)"
27390538,,,residential,False,False,156.472,Morris Street,60,"LINESTRING (31.5424721 -18.1941004, 31.5419277 -18.1927917)"
27390531,2,,tertiary,False,False,179.106,1 St,60,"LINESTRING (31.5424721 -18.1941004, 31.5431435 -18.1938196, 31.5436977 -18.1935898, 31.5440172 -18.193438)"
27390549,,,residential,False,False,118.953,Pine Street,40,"LINESTRING (31.545663 -18.1893215, 31.5457627 -18.188794, 31.5458549 -18.1882674)"
