osmid,highway,oneway,reversed,length,lanes,name,maxspeed,geometry,ref,junction,bridge
309115522,unclassified,False,True,34.629,,,,"LINESTRING (15.614661 53.6383862, 15.6141935 53.6382442)",,,
23752092,residential,False,True,193.21800000000002,2,Siewna,50,"LINESTRING (15.614661 53.6383862, 15.6148606 53.638336, 15.6160775 53.6380297, 15.6171498 53.6377919, 15.6173813 53.6377406)",,,
23752148,unclassified,False,False,117.615,2,Spokojna,50,"LINESTRING (15.614661 53.6383862, 15.6153801 53.63872, 15.6155449 53.6388027, 15.6157192 53.638912, 15.6158447 53.6390057, 15.6159624 53.6391011)",,,
522113211,unclassified,False,False,37.766,2,Spokojna,50,"LINESTRING (15.6159624 53.6391011, 15.6162628 53.6393903)",,,
23752148,unclassified,False,True,117.61500000000001,2,Spokojna,50,"LINESTRING (15.6159624 53.6391011, 15.6158447 53.6390057, 15.6157192 53.638912, 15.6155449 53.6388027, 15.6153801 53.63872, 15.614661 53.6383862)",,,
"[23752089, 522113210, 141687084]",residential,False,"[False, True]",349.19100000000003,2,Jana Kilińskiego,50,"LINESTRING (15.6159624 53.6391011, 15.6144449 53.63947, 15.6143752 53.6395273, 15.6143832 53.6396195, 15.6145001 53.6399756, 15.6149935 53.6404754, 15.6156283 53.6411664, 15.6157672 53.64132, 15.6158485 53.6414099)",,,
23752080,residential,False,True,104.48,,,,"LINESTRING (15.6162628 53.6393903, 15.6176811 53.638971)",,,
522113211,unclassified,False,True,37.766,2,Spokojna,50,"LINESTRING (15.6162628 53.6393903, 15.6159624 53.6391011)",,,
522113211,unclassified,False,False,116.56800000000001,2,Spokojna,50,"LINESTRING (15.6162628 53.6393903, 15.6165877 53.6397446, 15.6170285 53.6402141, 15.617116 53.6403085)",,,
1022630051,secondary,True,False,28.734,2,Niepodległości,50,"LINESTRING (15.6176181 53.6347089, 15.6177606 53.6348343, 15.6178559 53.6349254)",151,,
23752113,secondary,False,False,129.266,2,Generała Józefa Bema,,"LINESTRING (15.6188987 53.6421934, 15.6192518 53.6420738, 15.6194593 53.6419965, 15.6199236 53.6418234, 15.6203447 53.6416665, 15.6205532 53.6415711)",148,,
162547353,secondary,False,False,127.468,2,Generała Józefa Bema,50,"LINESTRING (15.6188987 53.6421934, 15.6186406 53.6422845, 15.6178625 53.6425341, 15.6177895 53.6425649, 15.6177641 53.6425756, 15.6175966 53.6426669, 15.6174511 53.6427842, 15.6173782 53.6428651)",148,,
522113212,unclassified,False,True,240.30700000000002,2,Spokojna,50,"LINESTRING (15.6188987 53.6421934, 15.6188217 53.6421192, 15.6182396 53.6414833, 15.6172582 53.6404561, 15.617116 53.6403085)",,,
23752088,residential,False,False,184.94099999999997,,Kwiatowa,,"LINESTRING (15.6170487 53.6356423, 15.61763 53.6363819, 15.6177048 53.6365529, 15.6178025 53.6367761, 15.6178267 53.6371328, 15.6178508 53.6371488, 15.6178516 53.6371493, 15.61792 53.6371947)",,,
174743510,tertiary,False,False,155.03799999999998,2,Niepodległości,50,"LINESTRING (15.6190742 53.6367877, 15.6189823 53.6366535, 15.6181644 53.635502)",,,
174743510,tertiary,False,True,83.843,2,Niepodległości,50,"LINESTRING (15.6190742 53.6367877, 15.6191998 53.6369211, 15.6196145 53.6373616, 15.6196964 53.6374453)",,,
