osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,ref,maxspeed,junction
32716959,Czwartek,living_street,False,False,200.358,"LINESTRING (21.5539504 51.5819438, 21.5547157 51.581563, 21.5549398 51.5814366, 21.5550336 51.5812916, 21.5550067 51.581055, 21.5550577 51.5808933, 21.5552616 51.5806943, 21.5555244 51.5805616)",,,,,
172896437,,residential,False,False,51.638999999999996,"LINESTRING (21.5539504 51.5819438, 21.554224 51.582145, 21.5544425 51.5822932)",,,,,
172896437,,residential,False,True,80.026,"LINESTRING (21.5539504 51.5819438, 21.5538354 51.581865, 21.553615 51.5817058, 21.5534149 51.5815528, 21.5533128 51.5814673, 21.5532267 51.5813832)",,,,,
172891670,Radomska,residential,False,False,180.504,"LINESTRING (21.5536925 51.5871041, 21.5535846 51.5870334, 21.5534865 51.586969, 21.553308 51.5868562, 21.553043 51.5866889, 21.5526119 51.5864151, 21.5521665 51.5861305, 21.5518637 51.5859449)",,,,,
"[1019074232, 1019074233, 172896454]",Parkowa,residential,False,False,264.171,"LINESTRING (21.5536925 51.5871041, 21.5538446 51.5871186, 21.5539315 51.5870972, 21.5542357 51.5869839, 21.5545848 51.5868349, 21.5559806 51.5863946, 21.5564295 51.5862495, 21.5565439 51.5862212, 21.556866 51.5861378, 21.5571023 51.5860789)",yes,,,,
172896454,Parkowa,residential,False,True,154.211,"LINESTRING (21.5536925 51.5871041, 21.553572 51.5871689, 21.5530528 51.5874819, 21.5528955 51.5875786, 21.5522263 51.5879926, 21.5521414 51.5880338, 21.5520716 51.5880524)",,,,,
172896515,Sosnowa,residential,False,True,302.972,"LINESTRING (21.5465611 51.5884638, 21.5464324 51.5884193, 21.546264 51.5883107, 21.5459264 51.5881013, 21.5450875 51.5875862, 21.544263 51.5870689, 21.5440035 51.5869055, 21.5435996 51.5866602, 21.5435426 51.5866289, 21.5434346 51.5865583)",,,,,
286644639,Warszawska,primary,False,False,87.976,"LINESTRING (21.5465611 51.5884638, 21.5467004 51.5883686, 21.546879 51.5882598, 21.5470295 51.5881655, 21.5474579 51.5879023)",,2,79,50,
"[1101327157, 286644639]",Warszawska,primary,False,True,73.886,"LINESTRING (21.5465611 51.5884638, 21.5463077 51.5886177, 21.5457995 51.5889303)",,"['2', '3']",79,50,
138406798,Bohaterów Getta,residential,False,False,85.979,"LINESTRING (21.5531379 51.58422, 21.553265 51.5842562, 21.5533216 51.5842776, 21.553453 51.5843427, 21.5536033 51.5844531, 21.5540627 51.5847278)",,,,,
